BUSCO_id	Animals_Cele	Animals_Ggal	Fungi_Ncra	Fungi_Scer
1003258at2759	Complete	Complete	Complete	Complete
100698at2759	Complete	Complete	Complete	Complete
1010730at2759	Complete	Complete	Complete	Complete
1014314at2759	Complete	Complete	Complete	Complete
1018517at2759	Complete	Complete	Complete	Complete
1019762at2759	Complete	Complete	Complete	Complete
1041560at2759	Complete	Complete	Complete	Complete
1051021at2759	Complete	Complete	Complete	Complete
1065019at2759	Complete	Complete	Complete	Complete
1079827at2759	Complete	Complete	Complete	Complete
1094121at2759	Complete	Complete	Complete	Complete
1096688at2759	Complete	Complete	Complete	Complete
1138059at2759	Complete	Complete	Complete	Complete
1157302at2759	Complete	Complete	Complete	Complete
1161199at2759	Complete	Complete	Complete	Complete
1193442at2759	Complete	Complete	Complete	Complete
1194691at2759	Complete	Complete	Complete	Complete
1200489at2759	Complete	Complete	Complete	Complete
1217666at2759	Complete	Complete	Complete	Complete
1222562at2759	Complete	Complete	Complete	Complete
1249159at2759	Complete	Complete	Complete	Complete
1251252at2759	Complete	Complete	Complete	Complete
1257440at2759	Complete	Complete	Complete	Complete
1260807at2759	Complete	Complete	Complete	Complete
1264469at2759	Complete	Complete	Complete	Complete
1269244at2759	Complete	Complete	Complete	Complete
1269649at2759	Complete	Complete	Complete	Complete
1284731at2759	Complete	Complete	Complete	Complete
1287094at2759	Complete	Complete	Complete	Complete
1304061at2759	Complete	Complete	Complete	Complete
1323575at2759	Complete	Complete	Complete	Complete
1338131at2759	Complete	Complete	Complete	Complete
1339553at2759	Complete	Complete	Complete	Complete
1342242at2759	Complete	Complete	Complete	Complete
1346165at2759	Complete	Complete	Complete	Complete
1346432at2759	Complete	Complete	Complete	Complete
1355894at2759	Complete	Complete	Complete	Complete
1358374at2759	Complete	Complete	Complete	Complete
1370285at2759	Complete	Complete	Complete	Complete
1379600at2759	Complete	Complete	Complete	Complete
1404162at2759	Complete	Complete	Complete	Complete
1405073at2759	Complete	Complete	Complete	Complete
1407446at2759	Complete	Complete	Complete	Complete
1423847at2759	Complete	Complete	Complete	Complete
1428854at2759	Complete	Complete	Complete	Complete
1432328at2759	Complete	Complete	Complete	Complete
1434266at2759	Complete	Complete	Complete	Complete
1445102at2759	Complete	Complete	Complete	Complete
1459797at2759	Complete	Complete	Complete	Complete
1474000at2759	Complete	Complete	Complete	Complete
1488235at2759	Complete	Complete	Complete	Complete
1488436at2759	Complete	Complete	Complete	Complete
1504863at2759	Complete	Complete	Complete	Complete
1513531at2759	Complete	Complete	Complete	Complete
1525971at2759	Complete	Complete	Complete	Complete
1538526at2759	Complete	Complete	Complete	Complete
1552706at2759	Complete	Complete	Complete	Complete
156083at2759	Complete	Complete	Complete	Complete
1617752at2759	Complete	Complete	Complete	Complete
1620056at2759	Complete	Complete	Complete	Complete
1633672at2759	Complete	Complete	Complete	Complete
290630at2759	Complete	Complete	Complete	Complete
296129at2759	Complete	Complete	Complete	Complete
320059at2759	Complete	Complete	Complete	Complete
324863at2759	Complete	Complete	Complete	Complete
331411at2759	Complete	Complete	Complete	Complete
341721at2759	Complete	Complete	Complete	Complete
383503at2759	Complete	Complete	Complete	Complete
388820at2759	Complete	Complete	Complete	Complete
396755at2759	Complete	Complete	Complete	Complete
418107at2759	Complete	Complete	Complete	Complete
453044at2759	Complete	Complete	Complete	Complete
543764at2759	Complete	Complete	Complete	Complete
570797at2759	Complete	Complete	Complete	Complete
582756at2759	Complete	Complete	Complete	Complete
621827at2759	Complete	Complete	Complete	Complete
655400at2759	Complete	Complete	Complete	Complete
664730at2759	Complete	Complete	Complete	Complete
673132at2759	Complete	Complete	Complete	Complete
674160at2759	Complete	Complete	Complete	Complete
687505at2759	Complete	Complete	Complete	Complete
719531at2759	Complete	Complete	Complete	Complete
720340at2759	Complete	Complete	Complete	Complete
734666at2759	Complete	Complete	Complete	Complete
759498at2759	Complete	Complete	Complete	Complete
761109at2759	Complete	Complete	Complete	Complete
777920at2759	Complete	Complete	Complete	Complete
814241at2759	Complete	Complete	Complete	Complete
836599at2759	Complete	Complete	Complete	Complete
855834at2759	Complete	Complete	Complete	Complete
866359at2759	Complete	Complete	Complete	Complete
869548at2759	Complete	Complete	Complete	Complete
87842at2759	Complete	Complete	Complete	Complete
891751at2759	Complete	Complete	Complete	Complete
901894at2759	Complete	Complete	Complete	Complete
924753at2759	Complete	Complete	Complete	Complete
931188at2759	Complete	Complete	Complete	Complete
974865at2759	Complete	Complete	Complete	Complete
975158at2759	Complete	Complete	Complete	Complete
981902at2759	Complete	Complete	Complete	Complete
996662at2759	Complete	Complete	Complete	Complete
