sample	label	predicted_tissue	predicted_corr	second_tissue	second_corr
Bladder	Bladder	Bladder	0.465073	Lung	0.216632
Brain	Brain	Brain	0.511981	GallBladder	0.11341
Cloaca	Cloaca	Stomach	0.334563	Cloaca	0.14724
GallBladder	GallBladder	GallBladder	0.421838	Lung	0.179144
Gill	Gill	Gill	0.479042	Cloaca	0.229096
Heart	Heart	Heart	0.644667	Lung	0.0511388
Intestine	Intestine	Intestine	0.309492	Cloaca	0.188131
Kidney	Kidney	Kidney	0.421099	Brain	0.241071
Limb	Limb	Gill	0.166667	Bladder	0.137609
Liver	Liver	Liver	0.383134	GallBladder	0.0573735
Lung	Lung	Lung	0.343683	Spleen	0.140218
Pancreas	Pancreas	GallBladder	0.293595	Pancreas	0.269069
Prostate	Prostate	Prostate	0.625576	Liver	0.156806
Spleen	Spleen	Spleen	0.605239	Liver	0.129954
Stomach	Stomach	Cloaca	0.516724	Liver	0.310453
