sample	tissue	pearson_correlation
Bladder	Bladder	0.465073
Bladder	Brain	0.173114
Bladder	Cloaca	-0.236255
Bladder	GallBladder	0.010005
Bladder	Gill	0.0763458
Bladder	Heart	0.105384
Bladder	Intestine	-0.184477
Bladder	Kidney	0.0587465
Bladder	Limb	-0.040152
Bladder	Liver	-0.291861
Bladder	Lung	0.216632
Bladder	Pancreas	-0.0612433
Bladder	Prostate	-0.121504
Bladder	Spleen	-0.12546
Bladder	Stomach	-0.000250143
Brain	Bladder	0.0179052
Brain	Brain	0.511981
Brain	Cloaca	-0.260667
Brain	GallBladder	0.11341
Brain	Gill	-0.134855
Brain	Heart	0.101011
Brain	Intestine	-0.0941388
Brain	Kidney	0.0750428
Brain	Limb	0.00449166
Brain	Liver	-0.246589
Brain	Lung	-0.0368228
Brain	Pancreas	0.0580127
Brain	Prostate	-0.156866
Brain	Spleen	-0.204053
Brain	Stomach	-0.148996
Cloaca	Bladder	-0.0862204
Cloaca	Brain	-0.0863233
Cloaca	Cloaca	0.14724
Cloaca	GallBladder	-0.153421
Cloaca	Gill	-0.0163535
Cloaca	Heart	-0.161845
Cloaca	Intestine	0.137589
Cloaca	Kidney	-0.140688
Cloaca	Limb	-0.0545586
Cloaca	Liver	0.147045
Cloaca	Lung	-0.0602672
Cloaca	Pancreas	0.0779202
Cloaca	Prostate	0.0580362
Cloaca	Spleen	-0.0807571
Cloaca	Stomach	0.334563
GallBladder	Bladder	0.171689
GallBladder	Brain	0.156141
GallBladder	Cloaca	-0.217336
GallBladder	GallBladder	0.421838
GallBladder	Gill	0.0719498
GallBladder	Heart	0.0439269
GallBladder	Intestine	-0.0879617
GallBladder	Kidney	0.156069
GallBladder	Limb	0.0332014
GallBladder	Liver	-0.269807
GallBladder	Lung	0.179144
GallBladder	Pancreas	0.157958
GallBladder	Prostate	-0.183699
GallBladder	Spleen	-0.249893
GallBladder	Stomach	-0.0337363
Gill	Bladder	-0.0361648
Gill	Brain	-0.182697
Gill	Cloaca	0.229096
Gill	GallBladder	-0.116762
Gill	Gill	0.479042
Gill	Heart	0.00607948
Gill	Intestine	0.0954227
Gill	Kidney	-0.134997
Gill	Limb	-0.0100688
Gill	Liver	0.044545
Gill	Lung	0.0419853
Gill	Pancreas	-0.102645
Gill	Prostate	0.0159912
Gill	Spleen	0.115143
Gill	Stomach	0.0480529
Heart	Bladder	-0.053161
Heart	Brain	0.0105382
Heart	Cloaca	-0.136941
Heart	GallBladder	-0.106358
Heart	Gill	-0.113932
Heart	Heart	0.644667
Heart	Intestine	-0.128454
Heart	Kidney	-0.090685
Heart	Limb	-0.0277929
Heart	Liver	-0.0935515
Heart	Lung	0.0511388
Heart	Pancreas	-0.104377
Heart	Prostate	-0.132437
Heart	Spleen	-0.0157469
Heart	Stomach	-0.164261
Intestine	Bladder	-0.141702
Intestine	Brain	-0.116439
Intestine	Cloaca	0.188131
Intestine	GallBladder	0.0733709
Intestine	Gill	-0.0326292
Intestine	Heart	-0.192777
Intestine	Intestine	0.309492
Intestine	Kidney	-0.0302314
Intestine	Limb	-0.0277002
Intestine	Liver	0.146317
Intestine	Lung	-0.117675
Intestine	Pancreas	0.103805
Intestine	Prostate	-0.0412729
Intestine	Spleen	-0.0764982
Intestine	Stomach	0.0341904
Kidney	Bladder	0.20317
Kidney	Brain	0.241071
Kidney	Cloaca	-0.293021
Kidney	GallBladder	0.164488
Kidney	Gill	-0.0498015
Kidney	Heart	0.031614
Kidney	Intestine	-0.128042
Kidney	Kidney	0.421099
Kidney	Limb	-0.030627
Kidney	Liver	-0.270994
Kidney	Lung	0.111525
Kidney	Pancreas	0.0435848
Kidney	Prostate	-0.0637728
Kidney	Spleen	-0.170636
Kidney	Stomach	0.0188726
Limb	Bladder	0.137609
Limb	Brain	0.0171671
Limb	Cloaca	-0.154611
Limb	GallBladder	0.113038
Limb	Gill	0.166667
Limb	Heart	0.107634
Limb	Intestine	-0.190809
Limb	Kidney	0.0661527
Limb	Limb	0.126142
Limb	Liver	-0.169263
Limb	Lung	0.0368117
Limb	Pancreas	-0.119893
Limb	Prostate	-0.154012
Limb	Spleen	0.0508143
Limb	Stomach	-0.14441
Liver	Bladder	-0.161463
Liver	Brain	-0.107536
Liver	Cloaca	0.0450784
Liver	GallBladder	0.0573735
Liver	Gill	-0.0853058
Liver	Heart	-0.285482
Liver	Intestine	0.041856
Liver	Kidney	-0.0120597
Liver	Limb	0.0205382
Liver	Liver	0.383134
Liver	Lung	-0.163989
Liver	Pancreas	0.030098
Liver	Prostate	-0.0129287
Liver	Spleen	0.0180605
Liver	Stomach	-0.0656557
Lung	Bladder	0.000844698
Lung	Brain	-0.0787509
Lung	Cloaca	-0.0412871
Lung	GallBladder	-0.166152
Lung	Gill	-0.0324662
Lung	Heart	0.12651
Lung	Intestine	-0.0949922
Lung	Kidney	-0.098705
Lung	Limb	-0.0297277
Lung	Liver	-0.0263224
Lung	Lung	0.343683
Lung	Pancreas	-0.111009
Lung	Prostate	-0.0521072
Lung	Spleen	0.140218
Lung	Stomach	-0.0319391
Pancreas	Bladder	0.0361908
Pancreas	Brain	-0.0158453
Pancreas	Cloaca	-0.103884
Pancreas	GallBladder	0.293595
Pancreas	Gill	-0.0435102
Pancreas	Heart	0.101444
Pancreas	Intestine	0.00841705
Pancreas	Kidney	0.116296
Pancreas	Limb	-0.0215919
Pancreas	Liver	-0.131188
Pancreas	Lung	0.046847
Pancreas	Pancreas	0.269069
Pancreas	Prostate	-0.137399
Pancreas	Spleen	-0.122138
Pancreas	Stomach	-0.0119788
Prostate	Bladder	-0.0283753
Prostate	Brain	-0.0575076
Prostate	Cloaca	0.129218
Prostate	GallBladder	-0.284671
Prostate	Gill	-0.0860968
Prostate	Heart	-0.115063
Prostate	Intestine	0.0367523
Prostate	Kidney	-0.0273285
Prostate	Limb	0.0333171
Prostate	Liver	0.156806
Prostate	Lung	-0.123547
Prostate	Pancreas	-0.127638
Prostate	Prostate	0.625576
Prostate	Spleen	0.0893987
Prostate	Stomach	0.0741354
Spleen	Bladder	-0.0959746
Spleen	Brain	-0.127867
Spleen	Cloaca	0.0304227
Spleen	GallBladder	-0.300429
Spleen	Gill	-0.070961
Spleen	Heart	-0.179659
Spleen	Intestine	-0.0398923
Spleen	Kidney	-0.109982
Spleen	Limb	-0.0224414
Spleen	Liver	0.129954
Spleen	Lung	-0.20883
Spleen	Pancreas	-0.174114
Spleen	Prostate	0.113417
Spleen	Spleen	0.605239
Spleen	Stomach	-0.0373005
Stomach	Bladder	-0.226583
Stomach	Brain	-0.216616
Stomach	Cloaca	0.516724
Stomach	GallBladder	-0.125727
Stomach	Gill	-0.000955329
Stomach	Heart	-0.285972
Stomach	Intestine	0.219289
Stomach	Kidney	-0.14489
Stomach	Limb	0.0497918
Stomach	Liver	0.310453
Stomach	Lung	-0.140994
Stomach	Pancreas	-0.0228793
Stomach	Prostate	0.087825
Stomach	Spleen	-0.0167463
Stomach	Stomach	0.0564703
