sample	subcluster	pearson_correlation
Bladder	Urothelial cell	0.465073
Bladder	Fibroblast_GPRC6A	0.394001
Bladder	Basal cell	0.381968
Bladder	Mesothelial cell	0.320414
Bladder	Neuron_NR4A1	0.269849
Bladder	H+ secreting cell	0.257678
Bladder	Lung fibroblast	0.210816
Bladder	Astrocyte	0.183998
Bladder	Podocyte	0.148065
Bladder	Endothelial_RGS5	0.134474
Bladder	Meningeal cell	0.130893
Bladder	Smooth muscle cell	0.116285
Bladder	Epicardial cell	0.116281
Bladder	Pulmonary epithelium	0.111931
Bladder	Endothelial_MAS1	0.100804
Bladder	Cardiac muscle	0.0898148
Bladder	Oligodendrocyte progenitor	0.0784235
Bladder	Respiratory epithelial cell	0.0763458
Bladder	Adipocyte	0.0714545
Bladder	Pancreatic ductal cell	0.0703212
Bladder	T cell	0.0364408
Bladder	Endocardial endothelial cell	0.0253232
Bladder	Cholangiocyte	0.010005
Bladder	Oligodendrocyte	0.007444
Bladder	Myoblast	0.00190233
Bladder	Neuron_UNC5A	-0.01089
Bladder	Inhibitory neuron	-0.0199096
Bladder	Megakaryocyte	-0.0342106
Bladder	Proximal tubule	-0.0433741
Bladder	Neuroendocrine	-0.0525448
Bladder	Myofibroblast	-0.0734689
Bladder	Osteoblast	-0.0735188
Bladder	Endocrine cell	-0.0834491
Bladder	Foveolar cell	-0.091211
Bladder	Chondrocyte	-0.0921108
Bladder	Erythroid cell	-0.0969794
Bladder	Acinar cell	-0.109319
Bladder	B cell	-0.112475
Bladder	vas deferens epithelial cell	-0.121504
Bladder	Goblet cell	-0.134009
Bladder	Fibroblast	-0.14098
Bladder	Capillary endothelial cell	-0.1424
Bladder	Parietal cell	-0.143961
Bladder	Lymphatic endothelial cell	-0.144682
Bladder	Enterocyte	-0.148077
Bladder	Hepatic stellate cell	-0.188802
Bladder	Macrophage	-0.200145
Bladder	Liver sinusoidal endothelial cell	-0.203999
Bladder	Hepatocyte	-0.229988
Bladder	Cloaca epithelial cell	-0.236255
Brain	Neuron_UNC5A	0.545915
Brain	Inhibitory neuron	0.45447
Brain	Astrocyte	0.338081
Brain	Neuroendocrine	0.290202
Brain	Oligodendrocyte	0.225389
Brain	Neuron_NR4A1	0.153786
Brain	Endocrine cell	0.139017
Brain	Mesothelial cell	0.12361
Brain	Cholangiocyte	0.11341
Brain	Podocyte	0.113146
Brain	Epicardial cell	0.110325
Brain	Fibroblast_GPRC6A	0.100828
Brain	Basal cell	0.0936781
Brain	Meningeal cell	0.0875533
Brain	Lung fibroblast	0.0814197
Brain	Oligodendrocyte progenitor	0.0735887
Brain	Cardiac muscle	0.0630658
Brain	H+ secreting cell	0.0600887
Brain	Smooth muscle cell	0.0581849
Brain	Endocardial endothelial cell	0.0542424
Brain	Endothelial_MAS1	0.0367133
Brain	Endothelial_RGS5	0.022313
