cell_type	requested	present	genes
astrocyte	7	7	GFAP,AQP4,ALDH1L1,SLC1A2,SLC1A3,GJA1,CLU
microglial cell	9	9	P2RY12,TMEM119,CX3CR1,GPR34,SALL1,C1QA,C1QB,C1QC,TREM2
RPE cell	9	9	RPE65,BEST1,LRAT,RGR,RDH5,TYR,TYRP1,PMEL,MITF
cone cell	8	8	OPN1LW,OPN1MW,OPN1SW,ARR3,GNAT2,PDE6C,CNGB3,GNGT2
rod cell	8	8	RHO,GNAT1,PDE6A,PDE6B,PDE6G,NRL,SAG,CNGA1
horizontal cell	7	7	ONECUT1,ONECUT2,LHX1,CALB1,PROX1,GAD1,GAD2
bipolar cell	7	7	VSX2,VSX1,PRKCA,GRM6,TRPM1,CABP5,OTX2
RGC	8	8	RBPMS,SNCG,POU4F1,POU4F2,POU4F3,THY1,NEFL,NEFM
T cells	9	9	CD3D,CD3E,CD3G,TRAC,LCK,IL7R,CCL5,TRBC1,TRBC2
macrophage	9	9	CD14,FCGR3A,LILRB1,LILRB2,CTSD,LGALS3,SPP1,APOC1,MSR1
Schwann cell	7	7	SOX10,MPZ,PMP22,PLP1,S100B,S100A1,MOBP
Pericyte	8	8	RGS5,CSPG4,PDGFRB,MCAM,DES,NOTCH3,ABCC9,KCNJ8
B cell	8	8	CD79A,CD79B,MS4A1,CD19,CD22,CD37,CD74,HLA-DRA
fibroblast	8	8	COL1A1,COL1A2,COL3A1,DCN,LUM,COL6A1,COL6A2,PDGFRA
muller glia cell	8	8	RLBP1,GLUL,SLC1A3,RGR,APOE,CA2,SLC1A1,CLU
endothelial cell	8	8	PECAM1,VWF,KDR,EMCN,CLDN5,RAMP2,PLVAP,ESAM
