cell_type	program	gene	cpm_eye1	cpm_eye2	log2fc_eye2_vs_eye1
astrocyte	nfkb_cytokine	IL1B	51.0374522103857	0	-6.68754931322003
astrocyte	nfkb_cytokine	TNF	0	0	0
astrocyte	nfkb_cytokine	NFKBIA	115.994209569058	9.29298936882016	-3.57236511782666
astrocyte	nfkb_cytokine	NFKBIZ	30.9317892184155	39.0305553490447	0.330743824920083
astrocyte	nfkb_cytokine	CCL2	27.838610296574	1.85859787376403	-3.58676763720305
astrocyte	nfkb_cytokine	CCL3	0	0	0
astrocyte	nfkb_cytokine	CCL4	1.54658946092078	0	-2.03322173152855
astrocyte	nfkb_cytokine	CXCL2	21.6522524528909	18.5859787376403	-0.214940229736967
astrocyte	nfkb_cytokine	CXCL3	0	0	0
astrocyte	nfkb_cytokine	CXCL8	10.8261262264454	0	-4.50158260833972
astrocyte	nfkb_cytokine	ICAM1	134.553283100108	1.85859787376403	-5.83945543245017
astrocyte	nfkb_cytokine	PTGS2	0	0	0
astrocyte	nfkb_cytokine	RELB	1.54658946092078	1.85859787376403	0.204707737502735
astrocyte	nfkb_cytokine	IER3	32.4783786793363	11.1515872425842	-1.50099397306787
astrocyte	interferon	ISG15	4.63976838276233	5.5757936212921	0.241369518485974
astrocyte	interferon	IFIT1	10.8261262264454	7.43439149505613	-0.513463024312344
astrocyte	interferon	IFIT2	0	3.71719574752807	3.07628398804669
astrocyte	interferon	IFIT3	3.09317892184156	3.71719574752807	0.231023212120291
astrocyte	interferon	MX1	1.54658946092078	1.85859787376403	0.204707737502735
astrocyte	interferon	OAS1	3.09317892184156	0	-2.8452607759264
astrocyte	interferon	OAS2	0	0	0
astrocyte	interferon	OAS3	0	0	0
astrocyte	interferon	STAT1	34.0249681402571	46.4649468441008	0.443944293165864
astrocyte	interferon	IRF7	43.3045049057818	1.85859787376403	-4.21507787173336
astrocyte	interferon	GBP1	0	3.71719574752807	3.07628398804669
astrocyte	interferon	CXCL10	54.1306311322272	0	-6.77163818506723
astrocyte	antigen_processing	B2M	46.3976838276233	40.8891532228087	-0.180263940104215
astrocyte	antigen_processing	HLA-A	37.1181470620987	24.1617723589324	-0.60915230339233
astrocyte	antigen_processing	HLA-B	44.8510943667025	42.7477510965727	-0.0685122509520049
astrocyte	antigen_processing	HLA-C	54.1306311322272	44.6063489703368	-0.276379575028373
astrocyte	antigen_processing	HLA-E	12.3727156873662	13.0101851163482	0.0697309993289085
astrocyte	antigen_processing	TAP1	0	3.71719574752807	3.07628398804669
astrocyte	antigen_processing	TAP2	13.919305148287	3.71719574752807	-1.77364575108142
astrocyte	antigen_processing	PSMB8	1.54658946092078	1.85859787376403	0.204707737502735
astrocyte	antigen_processing	PSMB9	6.18635784368311	3.71719574752807	-0.664936579815012
cone cell	nfkb_cytokine	IL1B	0	0	0
cone cell	nfkb_cytokine	TNF	0	0	0
cone cell	nfkb_cytokine	NFKBIA	5.81799434043412	4.21466778144629	-0.422310529608107
cone cell	nfkb_cytokine	NFKBIZ	2.68522815712344	4.74150125412708	0.718583366996804
cone cell	nfkb_cytokine	CCL2	0	0	0
cone cell	nfkb_cytokine	CCL3	0	0	0
cone cell	nfkb_cytokine	CCL4	0	0	0
cone cell	nfkb_cytokine	CXCL2	0	0	0
cone cell	nfkb_cytokine	CXCL3	0	0	0
cone cell	nfkb_cytokine	CXCL8	0	0	0
cone cell	nfkb_cytokine	ICAM1	0	0	0
cone cell	nfkb_cytokine	PTGS2	0	0.526833472680787	1.03820223071381
cone cell	nfkb_cytokine	RELB	0.89507605237448	0	-1.48034377251522
cone cell	nfkb_cytokine	IER3	1.34261407856172	3.16100083608472	0.990484161964355
cone cell	interferon	ISG15	0.44753802618724	1.05366694536157	0.713421523771553
cone cell	interferon	IFIT1	20.586749204613	11.5903363989773	-0.802482315766411
cone cell	interferon	IFIT2	0	0	0
cone cell	interferon	IFIT3	0	0.526833472680787	1.03820223071381
cone cell	interferon	MX1	0.44753802618724	0	-0.922255747173072
cone cell	interferon	OAS1	0	0	0
cone cell	interferon	OAS2	0	0	0
cone cell	interferon	OAS3	0.44753802618724	0	-0.922255747173072
cone cell	interferon	STAT1	21.9293632831748	25.8148401613586	0.230487965512051
cone cell	interferon	IRF7	1.34261407856172	4.74150125412708	1.50822614192187
cone cell	interferon	GBP1	0.44753802618724	0	-0.922255747173072
cone cell	interferon	CXCL10	0	0	0
cone cell	antigen_processing	B2M	20.586749204613	14.751337235062	-0.467400958639587
cone cell	antigen_processing	HLA-A	5.37045631424688	10.0098359809349	0.840195600028986
cone cell	antigen_processing	HLA-B	13.4261407856172	17.385504598466	0.360995307794389
cone cell	antigen_processing	HLA-C	24.167053414111	34.2441757242511	0.494185764797708
cone cell	antigen_processing	HLA-E	0.44753802618724	2.10733389072315	1.46031959659268
cone cell	antigen_processing	TAP1	0.89507605237448	1.58050041804236	0.576586805753332
cone cell	antigen_processing	TAP2	7.16060841899584	6.84883514485023	-0.0599433898887159
cone cell	antigen_processing	PSMB8	0	0	0
