cluster	cell_type	gene	cells	fraction_detected	mean_logcp10k
0	rod cell	RHO	3268	0.855569155446756	2.21292095188144
0	rod cell	GNAT1	3268	0.718788249694002	1.72490790905134
0	rod cell	PDE6A	3268	0.99969400244798	4.72884446968786
0	rod cell	PDE6B	3268	0.755507955936353	1.71862463898129
0	rod cell	PDE6G	3268	0.863219094247246	2.2346794360416
0	rod cell	NRL	3268	0.66187270501836	1.49478585022381
0	rod cell	SAG	3268	0.966034271725826	3.16898460977906
0	rod cell	CNGA1	3268	0.739596083231334	1.73339524323624
1	rod cell	RHO	3099	0.837366892545983	2.13186243145117
1	rod cell	GNAT1	3099	0.729590190383995	1.73791859534969
1	rod cell	PDE6A	3099	0.999677315262988	4.61662483634387
1	rod cell	PDE6B	3099	0.76702161987738	1.76030225200711
1	rod cell	PDE6G	3099	0.864472410454985	2.21979517891503
1	rod cell	NRL	3099	0.635043562439497	1.41087721207609
1	rod cell	SAG	3099	0.947402387867054	2.98156603018287
1	rod cell	CNGA1	3099	0.699257825104873	1.58340418696169
10	horizontal cell	ONECUT1	270	0.0148148148148148	0.0143112094353682
10	horizontal cell	ONECUT2	270	0.0222222222222222	0.0171234618494524
10	horizontal cell	LHX1	270	0.0148148148148148	0.00950091553333906
10	horizontal cell	CALB1	270	0.0703703703703704	0.0594746286980542
10	horizontal cell	PROX1	270	0.0851851851851852	0.0956532051074583
10	horizontal cell	GAD1	270	0.737037037037037	1.1551259091103
10	horizontal cell	GAD2	270	0.796296296296296	1.1975027566061
11	horizontal cell	ONECUT1	230	0.956521739130435	2.12757876213234
11	horizontal cell	ONECUT2	230	0.917391304347826	1.66992718944273
11	horizontal cell	LHX1	230	0.617391304347826	0.774740888717552
11	horizontal cell	CALB1	230	0.195652173913043	0.37456669984583
11	horizontal cell	PROX1	230	0.739130434782609	1.12294980154237
11	horizontal cell	GAD1	230	0.0130434782608696	0.0131911863724556
11	horizontal cell	GAD2	230	0.00869565217391304	0.0132926044076331
12	bipolar cell	VSX2	181	0.331491712707182	0.588223464924893
12	bipolar cell	VSX1	181	0.0939226519337017	0.15860103415832
12	bipolar cell	PRKCA	181	0.895027624309392	2.26552242757225
12	bipolar cell	GRM6	181	0.806629834254144	1.83326115205433
12	bipolar cell	TRPM1	181	0.889502762430939	2.3340432125189
12	bipolar cell	CABP5	181	0.292817679558011	0.538994774994388
12	bipolar cell	OTX2	181	0.596685082872928	1.21896546887801
13	bipolar cell	VSX2	169	0.177514792899408	0.283021382409313
13	bipolar cell	VSX1	169	0.0828402366863905	0.145473285519671
13	bipolar cell	PRKCA	169	0.627218934911243	1.24602597312067
13	bipolar cell	GRM6	169	0.881656804733728	2.18997188152732
13	bipolar cell	TRPM1	169	0.875739644970414	2.08376423324097
13	bipolar cell	CABP5	169	0.739644970414201	1.53438982932466
13	bipolar cell	OTX2	169	0.751479289940828	1.44427340521552
14	horizontal cell	ONECUT1	168	0.0178571428571429	0.0258505843637403
14	horizontal cell	ONECUT2	168	0.0416666666666667	0.060785190251669
14	horizontal cell	LHX1	168	0	0
14	horizontal cell	CALB1	168	0.0714285714285714	0.122942140581386
14	horizontal cell	PROX1	168	0.410714285714286	0.744465172343242
14	horizontal cell	GAD1	168	0	0
14	horizontal cell	GAD2	168	0.00595238095238095	0.00991351929485511
15	horizontal cell	ONECUT1	167	0.0598802395209581	0.069835698165789
15	horizontal cell	ONECUT2	167	0.461077844311377	0.535575519287898
15	horizontal cell	LHX1	167	0	0
15	horizontal cell	CALB1	167	0.748502994011976	1.13748969916233
15	horizontal cell	PROX1	167	0.688622754491018	0.930401458844032
15	horizontal cell	GAD1	167	0.029940119760479	0.026912236453851
15	horizontal cell	GAD2	167	0.0538922155688623	0.0554890642640843
16	bipolar cell	VSX2	156	0.25	0.381027582369356
16	bipolar cell	VSX1	156	0.833333333333333	1.77297932511582
16	bipolar cell	PRKCA	156	0.0705128205128205	0.0908296957456778
16	bipolar cell	GRM6	156	0.525641025641026	0.944031407744894
16	bipolar cell	TRPM1	156	1	3.18133764211937
16	bipolar cell	CABP5	156	0.0769230769230769	0.109897603798389
16	bipolar cell	OTX2	156	0.666666666666667	1.28884575649632
17	horizontal cell	ONECUT1	148	0	0
17	horizontal cell	ONECUT2	148	0.00675675675675676	0.00631898542006027
17	horizontal cell	LHX1	148	0	0
17	horizontal cell	CALB1	148	0.77027027027027	1.62629055881299
17	horizontal cell	PROX1	148	0.243243243243243	0.407267434933701
17	horizontal cell	GAD1	148	0.0135135135135135	0.0204407831491962
17	horizontal cell	GAD2	148	0	0
18	rod cell	RHO	145	0.772413793103448	1.91578185226581
18	rod cell	GNAT1	145	0.662068965517241	1.59863864907702
18	rod cell	PDE6A	145	1	4.59203275163093
18	rod cell	PDE6B	145	0.76551724137931	1.81132448879074
18	rod cell	PDE6G	145	0.862068965517241	2.16159269887796
