cell_type	program	n_eye1	n_eye2	mean_eye1	mean_eye2	delta_eye2_minus_eye1
astrocyte	cytokine	468	572	0.233593201861617	0.0119618129934562	-0.221631388868161
astrocyte	interferon	468	572	0.0476679584513049	-0.0215009592313893	-0.0691689176826941
astrocyte	antigen	468	572	0.0046720969022725	-0.00326715465687339	-0.00793925155914589
astrocyte	complement	468	572	0.0519773902740177	0.000755877430811514	-0.0512215128432062
microglial cell	cytokine	83	102	-0.0157501470819409	-0.0456748117039446	-0.0299246646220037
microglial cell	interferon	83	102	-0.0208205164815585	-0.0255166301461451	-0.00469611366458662
microglial cell	antigen	83	102	0.00591997933108386	0.0141465734007503	0.00822659406966644
microglial cell	complement	83	102	-0.019169880679087	-0.0586691797479623	-0.0394992990688754
RPE cell	cytokine	317	373	-0.00485581564960037	-0.0391176292174583	-0.0342618135678579
RPE cell	interferon	317	373	-0.0238608769125505	-0.0396259713614973	-0.0157650944489468
RPE cell	antigen	317	373	-0.0808209223504919	-0.0372653057636077	0.0435556165868842
RPE cell	complement	317	373	-0.0384501943011388	-0.0409418163144538	-0.00249162201331499
cone cell	cytokine	467	665	-0.0596741677113487	-0.0557256578005125	0.00394850991083612
cone cell	interferon	467	665	-0.0237332665379511	-0.0340818773550503	-0.0103486108170992
cone cell	antigen	467	665	-0.0771230349525503	-0.0579845442720085	0.0191384906805418
cone cell	complement	467	665	-0.0192869842490823	-0.00919057087408649	0.0100964133749958
rod cell	cytokine	3714	3393	-0.0544174922712468	-0.0509013797712154	0.00351611250003135
rod cell	interferon	3714	3393	-0.0392779758807419	-0.0324588465007095	0.0068191293800324
rod cell	antigen	3714	3393	-0.0670859044902655	-0.040128270653225	0.0269576338370405
rod cell	complement	3714	3393	-0.0280700636324639	-0.0356042928041325	-0.00753422917166852
horizontal cell	cytokine	464	523	-0.0218740651244505	-0.0203230272854908	0.00155103783895972
horizontal cell	interferon	464	523	0.0644337797614489	0.0226950148295739	-0.041738764931875
horizontal cell	antigen	464	523	0.188943935545148	0.149212291405994	-0.0397316441391546
horizontal cell	complement	464	523	0.0198980166803306	0.0034291479156996	-0.016468868764631
bipolar cell	cytokine	1097	1035	-0.0553850599959556	-0.0614995440947402	-0.00611448409878456
bipolar cell	interferon	1097	1035	-0.0178105094727047	-0.0369333797770084	-0.0191228703043037
bipolar cell	antigen	1097	1035	0.0351003617023719	0.0269189616714576	-0.0081814000309143
bipolar cell	complement	1097	1035	-0.0304583814683906	-0.032261648471828	-0.0018032670034374
RGC	cytokine	320	481	-0.0487620217336187	-0.046625484595968	0.00213653713765068
RGC	interferon	320	481	-0.0122744357474068	-0.0340735077835583	-0.0217990720361515
RGC	antigen	320	481	-0.0155192633779952	-0.0133854913503052	0.00213377202769
RGC	complement	320	481	-0.00117781535014672	-0.0355094085538443	-0.0343315932036976
T cells	cytokine	182	134	0.334036127382802	-0.075449804777036	-0.409485932159838
T cells	interferon	182	134	0.153840362523413	-0.0687351507807765	-0.222575513304189
T cells	antigen	182	134	0.0321938947895465	-0.0196685261914547	-0.0518624209810013
T cells	complement	182	134	0.0445468918101358	-0.0524782816013682	-0.0970251734115039
macrophage	cytokine	218	376	0.00691121868082433	-0.050014093722356	-0.0569253124031803
macrophage	interferon	218	376	-0.0403874935081212	-0.0432929132951179	-0.00290541978699668
macrophage	antigen	218	376	-0.00783497154930635	-0.0287713603161193	-0.0209363887668129
macrophage	complement	218	376	-0.0148614124518358	-0.0128612716334901	0.00200014081834571
Schwann cell	cytokine	184	195	0.0029573515883538	-0.0184046278648158	-0.0213619794531696
Schwann cell	interferon	184	195	0.0128648506221308	-0.035691226279053	-0.0485560769011838
Schwann cell	antigen	184	195	-0.00911668829144494	-0.0321544423753539	-0.023037754083909
Schwann cell	complement	184	195	-0.02187071924148	0.0136114405059577	0.0354821597474377
Pericyte	cytokine	96	140	0.0825474556360471	0.0199888066302172	-0.0625586490058299
Pericyte	interferon	96	140	0.0407756531284829	-0.0243685149213822	-0.0651441680498651
Pericyte	antigen	96	140	-0.0607216457730188	-0.00921299411077003	0.0515086516622488
Pericyte	complement	96	140	-0.024335011062874	0.0388849519735998	0.0632199630364738
B cell	cytokine	283	457	-0.0674550073115629	-0.0641774014079372	0.00327760590362572
B cell	interferon	283	457	-0.0423607892446925	-0.0379629488113377	0.00439784043335481
B cell	antigen	283	457	-0.0568240839998215	-0.0398370983584216	0.0169869856413999
B cell	complement	283	457	-0.0365108180338635	-0.0345091612556328	0.00200165677823073
fibroblast	cytokine	74	95	0.0879138539481564	-0.0136353142271056	-0.101549168175262
fibroblast	interferon	74	95	0.0726048276516907	-0.000148250413639458	-0.0727530780653302
fibroblast	antigen	74	95	0.102489664033874	0.0397222317391301	-0.0627674322947435
fibroblast	complement	74	95	-0.00356936191837302	0.0162893938536843	0.0198587557720574
muller glia cell	cytokine	614	718	0.486379790883732	0.104205504313217	-0.382174286570515
muller glia cell	interferon	614	718	0.152969727823859	0.00266127387469272	-0.150308453949167
muller glia cell	antigen	614	718	0.0561375982916865	0.0827677522177376	0.0266301539260511
muller glia cell	complement	614	718	0.0413236894826978	0.0324256261285571	-0.00889806335414076
endothelial cell	cytokine	65	96	-0.0553510120909011	-0.0360278715958601	0.019323140495041
endothelial cell	interferon	65	96	-0.0360127960445063	-0.0327509184763208	0.00326187756818555
endothelial cell	antigen	65	96	-0.0160345197185256	0.00587764873254024	0.0219121684510658
endothelial cell	complement	65	96	-0.0199598555813293	-0.0222937588127282	-0.00233390323139891
