cell_type	program	gene	cpm_eye1	cpm_eye2	log2fc_eye2_vs_eye1
bipolar cell	nfkb_cytokine	IL1B	0.497175545724738	0	-0.99591940838505
bipolar cell	nfkb_cytokine	TNF	0	0	0
bipolar cell	nfkb_cytokine	NFKBIA	5.46893100297212	4.49181815323388	-0.257907197980359
bipolar cell	nfkb_cytokine	NFKBIZ	8.70057205018291	9.28309085001669	0.0885667751141525
bipolar cell	nfkb_cytokine	CCL2	0.248587772862369	0.598909087097851	0.553828647731099
bipolar cell	nfkb_cytokine	CCL3	0	0	0
bipolar cell	nfkb_cytokine	CCL4	0	0	0
bipolar cell	nfkb_cytokine	CXCL2	0.497175545724738	0.598909087097851	0.140152628476836
bipolar cell	nfkb_cytokine	CXCL3	0	0.598909087097851	1.13607203686189
bipolar cell	nfkb_cytokine	CXCL8	0	0	0
bipolar cell	nfkb_cytokine	ICAM1	1.24293886431184	0.299454543548926	-1.12443405560369
bipolar cell	nfkb_cytokine	PTGS2	0	0	0
bipolar cell	nfkb_cytokine	RELB	0	0.299454543548926	0.677087910474383
bipolar cell	nfkb_cytokine	IER3	0.497175545724738	1.1978181741957	0.76776255508067
bipolar cell	interferon	ISG15	0.745763318587107	0	-1.31702999810883
bipolar cell	interferon	IFIT1	13.9209152802927	10.4809090242124	-0.39316524500888
bipolar cell	interferon	IFIT2	1.74011441003658	2.09618180484248	0.212818998240314
bipolar cell	interferon	IFIT3	4.22599213866027	2.39563634839141	-0.706736798109773
bipolar cell	interferon	MX1	3.72881659293553	2.39563634839141	-0.546373559530538
bipolar cell	interferon	OAS1	0	0	0
bipolar cell	interferon	OAS2	0	0	0
bipolar cell	interferon	OAS3	0	0	0
bipolar cell	interferon	STAT1	30.5762960620714	21.5607271355226	-0.494334217442241
bipolar cell	interferon	IRF7	1.49152663717421	1.1978181741957	-0.23019281277775
bipolar cell	interferon	GBP1	0.248587772862369	0	-0.582243389130787
bipolar cell	interferon	CXCL10	0	0	0
bipolar cell	antigen_processing	B2M	24.6101895133745	26.9509089194033	0.128581001636005
bipolar cell	antigen_processing	HLA-A	42.5085091594651	40.426363379105	-0.0715916448136675
bipolar cell	antigen_processing	HLA-B	25.604540604824	34.4372725081264	0.420466214018477
bipolar cell	antigen_processing	HLA-C	67.6158742185643	66.4789086678615	-0.0242841841207042
bipolar cell	antigen_processing	HLA-E	1.24293886431184	3.29399997903818	1.12219770470044
bipolar cell	antigen_processing	TAP1	2.48587772862369	3.29399997903818	0.345564582305381
bipolar cell	antigen_processing	TAP2	10.1920986873571	10.4809090242124	0.0384524300753779
bipolar cell	antigen_processing	PSMB8	0.994351091449476	0.598909087097851	-0.443447106169067
bipolar cell	antigen_processing	PSMB9	1.24293886431184	0.898363630646777	-0.317782397986093
horizontal cell	nfkb_cytokine	IL1B	0	0	0
horizontal cell	nfkb_cytokine	TNF	0	0	0
horizontal cell	nfkb_cytokine	NFKBIA	18.8389820784193	17.6689855687037	-0.0900339878521911
horizontal cell	nfkb_cytokine	NFKBIZ	12.8447605080131	18.2782609331418	0.492790045900292
horizontal cell	nfkb_cytokine	CCL2	1.14175648960117	0.30463768221903	-1.02882895006912
horizontal cell	nfkb_cytokine	CCL3	0	0	0
horizontal cell	nfkb_cytokine	CCL4	0	0	0
horizontal cell	nfkb_cytokine	CXCL2	0.570878244800584	0	-1.09879445991287
horizontal cell	nfkb_cytokine	CXCL3	0.285439122400292	0.609275364438059	0.498046176917325
horizontal cell	nfkb_cytokine	CXCL8	0	0	0
horizontal cell	nfkb_cytokine	ICAM1	1.71263473440175	1.82782609331418	0.0732179735661075
horizontal cell	nfkb_cytokine	PTGS2	0.570878244800584	0.30463768221903	-0.412383251987651
horizontal cell	nfkb_cytokine	RELB	1.99807385680204	0.30463768221903	-1.63440492365111
horizontal cell	nfkb_cytokine	IER3	1.42719561200146	3.0463768221903	0.879842824879199
horizontal cell	interferon	ISG15	2.28351297920233	2.13246377553321	-0.0804931314048331
horizontal cell	interferon	IFIT1	24.2623254040248	18.8875362975798	-0.353017320598243
horizontal cell	interferon	IFIT2	9.70493016160992	5.78811596216156	-0.698566580801035
horizontal cell	interferon	IFIT3	15.6991517320161	10.053043513228	-0.618259134106889
horizontal cell	interferon	MX1	5.99422157040613	1.52318841109515	-1.68252592913426
horizontal cell	interferon	OAS1	0.285439122400292	0.609275364438059	0.498046176917325
horizontal cell	interferon	OAS2	0.570878244800584	1.21855072887612	0.682397978482136
horizontal cell	interferon	OAS3	0.285439122400292	0.30463768221903	0.0348398429707413
horizontal cell	interferon	STAT1	35.3944511776362	28.0266667641507	-0.331449655941186
horizontal cell	interferon	IRF7	0.570878244800584	0.913913046657089	0.400898939573956
horizontal cell	interferon	GBP1	0	0	0
horizontal cell	interferon	CXCL10	0	0	0
horizontal cell	antigen_processing	B2M	32.8254990760336	32.5962319974362	-0.00995950528779578
horizontal cell	antigen_processing	HLA-A	45.955698706447	56.0533335283015	0.28375648375214
horizontal cell	antigen_processing	HLA-B	69.6471458656712	69.4573915459387	-0.00390790745982808
horizontal cell	antigen_processing	HLA-C	129.018483324932	118.808696065422	-0.118458796011297
horizontal cell	antigen_processing	HLA-E	4.85246508080496	2.74173913997127	-0.723435475509803
horizontal cell	antigen_processing	TAP1	2.85439122400292	4.26492755106641	0.506403317845371
horizontal cell	antigen_processing	TAP2	6.27966069280642	6.39739132659962	0.0248377496153015
horizontal cell	antigen_processing	PSMB8	2.85439122400292	1.82782609331418	-0.527067679071157
horizontal cell	antigen_processing	PSMB9	0.570878244800584	0.609275364438059	0.0508230819589322
muller glia cell	nfkb_cytokine	IL1B	70.1435128346777	0	-7.14248517942473
muller glia cell	nfkb_cytokine	TNF	0	0	0
muller glia cell	nfkb_cytokine	NFKBIA	192.993733053605	10.5617393072291	-4.12863668800074
muller glia cell	nfkb_cytokine	NFKBIZ	37.2513570986424	43.5671746423201	0.223175893627239
muller glia cell	nfkb_cytokine	CCL2	52.3104163512851	2.64043482680728	-4.07178628087036
muller glia cell	nfkb_cytokine	CCL3	0	0	0
muller glia cell	nfkb_cytokine	CCL4	0.396291032964281	0	-0.842039168242652
muller glia cell	nfkb_cytokine	CXCL2	7.92582065928561	15.8426089608437	0.955749201998623
muller glia cell	nfkb_cytokine	CXCL3	0.396291032964281	3.96065224021092	2.31521550937349
muller glia cell	nfkb_cytokine	CXCL8	18.2293875163569	0	-5.22723181659526
muller glia cell	nfkb_cytokine	ICAM1	199.730680613997	8.80144942269093	-4.42806369429714
muller glia cell	nfkb_cytokine	PTGS2	0	0.440072471134546	0.910843885005293
muller glia cell	nfkb_cytokine	RELB	3.56661929667853	3.52057976907637	-0.0164263832696932
muller glia cell	nfkb_cytokine	IER3	34.8736109008567	36.9660875753019	0.0829118356628029
muller glia cell	interferon	ISG15	15.8516413185712	18.4830437876509	0.215275880658482
muller glia cell	interferon	IFIT1	11.4924399559641	9.24152189382547	-0.299906132538158
muller glia cell	interferon	IFIT2	2.77403723074996	2.20036235567273	-0.277917715193831
muller glia cell	interferon	IFIT3	3.17032826371425	1.76028988453819	-0.699401287725391
muller glia cell	interferon	MX1	3.56661929667853	3.96065224021092	0.133424740787595
muller glia cell	interferon	OAS1	1.58516413185712	1.76028988453819	0.116346863043715
