cell_type	eye	cells	median_margin	median_own_score
astrocyte	eye1	468	0.123235363211792	0.39435948464323
astrocyte	eye2	572	0.129521832299775	0.411047970882294
microglial cell	eye1	83	0.319719848980128	0.843782841203635
microglial cell	eye2	102	0.382600449733088	0.84409442120465
RPE cell	eye1	317	0.257296126806999	0.648480497280516
RPE cell	eye2	373	0.217366369390644	0.63279909063012
cone cell	eye1	467	1.44380579666992	2.05937469497451
cone cell	eye2	665	1.0270805835025	1.76780055254373
rod cell	eye1	3714	0.371114096280324	0.59653357204021
rod cell	eye2	3393	0.328310483169498	0.547443128672692
horizontal cell	eye1	464	0.675223570713488	1.3314633212909
horizontal cell	eye2	523	0.610955915664384	1.00482842923153
bipolar cell	eye1	1097	0.68055856532882	1.16483729090202
bipolar cell	eye2	1035	0.586201756044408	1.02796235596505
RGC	eye1	320	0.338032869102479	0.857285972460442
RGC	eye2	481	0.367765687465081	0.856898656416717
T cells	eye1	182	0.229533509109032	0.476204185625368
T cells	eye2	134	0.160298440195249	0.397315844314873
macrophage	eye1	218	0.241438190496009	0.443970978209418
macrophage	eye2	376	0.215526968052315	0.436302889519817
Schwann cell	eye1	184	0.43567775934163	1.08254059391754
Schwann cell	eye2	195	0.426476794991361	1.08254059391754
Pericyte	eye1	96	0.319644299727425	0.957819662519515
Pericyte	eye2	140	0.424383240012165	0.957819662519515
B cell	eye1	283	0.0162491131171189	-0.0311300209243784
B cell	eye2	457	0.0162491131171189	-0.0311300209243784
fibroblast	eye1	74	0.228113922191693	0.960905511856128
fibroblast	eye2	95	0.44559442971605	0.960905511856128
muller glia cell	eye1	614	0.236255449382659	0.969837443533089
muller glia cell	eye2	718	0.240337298285629	0.79453775794582
endothelial cell	eye1	65	0.339257402017394	0.956158664461916
endothelial cell	eye2	96	0.326255143908713	0.957022410091044
