cell_type	program	n_eye1	n_eye2	cell_score_delta_eye2_minus_eye1	pseudobulk_mean_log2fc	pseudobulk_median_log2fc
bipolar cell	nfkb_cytokine	1027	1043	-0.00223012931480911	0.0703721351264233	0
bipolar cell	interferon	1027	1043	-0.0234090028283124	-0.338104751822373	-0.311679028893315
bipolar cell	antigen_processing	1027	1043	-0.010876032030497	0.133128511071794	0.0384524300753779
horizontal cell	nfkb_cytokine	618	666	0.00283410098749035	-0.165753468015002	0
horizontal cell	interferon	618	666	-0.0442385645788563	-0.179010734503524	-0.0402465657024165
horizontal cell	antigen_processing	618	666	0.00235859327318585	-0.0574454144631263	-0.00390790745982808
muller glia cell	nfkb_cytokine	495	448	-0.725050909168943	-1.52634092035951	-0.00821319163484662
muller glia cell	interferon	495	448	-0.365442499959933	-1.00718019110748	-0.0807854260750578
muller glia cell	antigen_processing	495	448	0.0282310231233715	-0.00633931629884464	0.0370985593563646
rod cell	nfkb_cytokine	6151	6783	0.00438916559614952	0.17210345634266	0.047939452887146
rod cell	interferon	6151	6783	0.00578562025187444	0.129334507448125	0.145593850592965
rod cell	antigen_processing	6151	6783	0.0157218780584813	0.214514972852917	0.198952851297669
cone cell	nfkb_cytokine	322	386	0.000272304230525822	0.0340781632665682	0
cone cell	interferon	322	386	-0.0182813878196346	-0.117645766797342	0
cone cell	antigen_processing	322	386	0.0176805021561748	0.270982260565792	0.0946644728294072
