cell_type	program	n_eye1	n_eye2	cell_score_delta_eye2_minus_eye1	pseudobulk_mean_log2fc	pseudobulk_median_log2fc	concordant_gene_fraction
astrocyte	nfkb_cytokine	133	126	-0.418068668306414	-1.95724460578216	-0.857967101402417	0.571428571428571
astrocyte	interferon	133	126	-0.155831924015073	-0.589318926639258	0.102353868751367	0.333333333333333
astrocyte	antigen_processing	133	126	-0.0254434767457094	-0.0246852972772245	-0.180263940104215	0.666666666666667
cone cell	nfkb_cytokine	343	412	0.00165003940196515	0.0603296755394028	0	0.214285714285714
cone cell	interferon	343	412	-0.0166480268319579	-0.00657597461386199	0	0.333333333333333
cone cell	antigen_processing	343	412	0.0184592251604849	0.306977464959708	0.360995307794389	0.555555555555556
rod cell	nfkb_cytokine	3546	3272	0.00390988873777037	0.0610540918057463	0	0.285714285714286
rod cell	interferon	3546	3272	0.00630060291719219	0.105775927701375	0.0531902540532116	0.5
rod cell	antigen_processing	3546	3272	0.0195057565460498	0.256616077838752	0.307119117363612	0.777777777777778
horizontal cell	nfkb_cytokine	279	268	0.0194320422973149	0.133447809027533	0	0.357142857142857
horizontal cell	interferon	279	268	-0.0386481816161905	-0.509649184268401	-0.23481918830207	0.583333333333333
horizontal cell	antigen_processing	279	268	-0.044929271601913	-0.239262148756948	-0.198554967979091	0.888888888888889
bipolar cell	nfkb_cytokine	1028	951	0.00154324803769881	0.112255506939171	0	0.428571428571429
bipolar cell	interferon	1028	951	-0.0185063186174236	-0.212030200086635	-0.0670440736102173	0.5
bipolar cell	antigen_processing	1028	951	0.0044213332898403	0.201271830094874	0.137823291392524	0.666666666666667
RGC	nfkb_cytokine	50	59	-0.0163357068032665	-0.132425189926116	0	0.142857142857143
RGC	interferon	50	59	-0.128751208245584	-0.51025310433784	0	0.333333333333333
RGC	antigen_processing	50	59	-0.045665431560314	0.142770745431497	-0.35825463079057	0.666666666666667
macrophage	nfkb_cytokine	48	66	-0.249139661574472	-1.47519918426455	0	0.428571428571429
macrophage	interferon	48	66	-0.0754400131950935	-1.38106430476795	0	0.333333333333333
macrophage	antigen_processing	48	66	0.0236952093201907	0.430039343867276	0	0.333333333333333
muller glia cell	nfkb_cytokine	534	535	-0.477587628918364	-1.3336354278752	0	0.357142857142857
muller glia cell	interferon	534	535	-0.224654411626403	-0.712816204100921	-0.0567020224316128	0.5
muller glia cell	antigen_processing	534	535	0.00767430676603813	0.036709878784662	-0.0672628159383259	0.444444444444444
