cell_type	program	genes	median_log2fc_eye2_vs_eye1	mean_log2fc_eye2_vs_eye1
astrocyte	cytokine	13	-0.784304686296363	-1.56353613604125
astrocyte	interferon	12	0.00290035845206072	-0.741853407463668
astrocyte	antigen	8	-0.359352756459187	-0.215106618370106
astrocyte	complement	6	-0.42595517853037	-0.25655031107206
microglial cell	cytokine	13	0	-0.239941336113695
microglial cell	interferon	12	0	-0.0969579282857249
microglial cell	antigen	8	-0.0846893578375109	0.00104305198168945
microglial cell	complement	6	-0.00710920828889828	-0.896145423713055
RPE cell	cytokine	13	0	-0.863836164105187
RPE cell	interferon	12	0	-0.284305027114619
RPE cell	antigen	8	0.888993780191693	0.680759162738997
RPE cell	complement	6	-0.176250528883862	0.0291883128083264
cone cell	cytokine	13	0	0.0718154230738556
cone cell	interferon	12	0	0.0549050891585004
cone cell	antigen	8	0.343223759450255	0.273053661394712
cone cell	complement	6	0.282788012825675	0.353295964068044
rod cell	cytokine	13	0	-0.00121425497581141
rod cell	interferon	12	0.0337620629137377	0.0555651927970547
rod cell	antigen	8	0.308851579417557	0.283698169512983
rod cell	complement	6	-0.106336164769621	-0.123299638729778
horizontal cell	cytokine	13	0	0.160355951278702
horizontal cell	interferon	12	-0.289125112028424	-0.371168919846116
horizontal cell	antigen	8	-0.226382846871081	-0.213629243045475
horizontal cell	complement	6	-0.098860260361344	-0.236851239390701
bipolar cell	cytokine	13	0	-0.0547520464203422
bipolar cell	interferon	12	-0.0679467302792057	-0.196968295245183
bipolar cell	antigen	8	0.070353326637288	0.128926187407666
bipolar cell	complement	6	0.0449904416633164	-0.0277719611519107
RGC	cytokine	13	0	-0.0763429083790872
RGC	interferon	12	0	-0.330131083005375
RGC	antigen	8	-0.048987588529346	0.0462336171026717
RGC	complement	6	-0.378676954021896	-0.451542395569708
T cells	cytokine	13	-2.50225972546757	-2.68230608700936
T cells	interferon	12	-0.98310903276575	-1.69167159527063
T cells	antigen	8	-0.389282994967855	-0.364564923656444
T cells	complement	6	-1.73772785388776	-1.35661796575948
macrophage	cytokine	13	-1.3972352880535	-1.08699460191729
macrophage	interferon	12	0	-0.569721127227921
macrophage	antigen	8	-0.0353188358334128	-0.123599126995597
macrophage	complement	6	0	0.590861873083372
Schwann cell	cytokine	13	0	-0.266108107350553
Schwann cell	interferon	12	-0.137550616454103	-0.359377535490941
Schwann cell	antigen	8	-0.173257880331767	-0.280830354557485
Schwann cell	complement	6	1.1568290323777	0.832701879169429
Pericyte	cytokine	13	0	-0.703963312247163
Pericyte	interferon	12	-0.254999468223726	-0.543913903483449
Pericyte	antigen	8	0.703429110800734	0.621273962012718
Pericyte	complement	6	0.824819369677182	0.475902542953439
B cell	cytokine	13	0	0.192081825724489
B cell	interferon	12	0	-0.144687013257902
B cell	antigen	8	0.0632790180606723	-0.0336418184246956
B cell	complement	6	0.468613980328515	0.145279657784671
fibroblast	cytokine	13	-0.485702280850785	-0.776279597113926
fibroblast	interferon	12	0	-0.193566034549693
fibroblast	antigen	8	-0.0697985818696033	-0.809224829996997
fibroblast	complement	6	0	0.153116360877598
muller glia cell	cytokine	13	-0.467040195609357	-1.60174662296702
muller glia cell	interferon	12	-0.076465794566511	-0.649268881514862
muller glia cell	antigen	8	0.106283882054709	0.277032675793168
muller glia cell	complement	6	0.0708745750068967	-0.0613940844863228
endothelial cell	cytokine	13	0	0.00758518991814159
endothelial cell	interferon	12	0	-0.110960900806852
endothelial cell	antigen	8	0.186725838937326	0.627604337222968
endothelial cell	complement	6	-0.460673234279458	-0.535473529778198
