cell_type	n_eye1	n_eye2	mean_program_delta	mean_abs_program_delta	median_pseudobulk_log2fc	mean_abs_pseudobulk_log2fc
T cells	182	134	-0.195237259964133	0.195237259964133	-1.36041844332676	1.40309490177223
muller glia cell	614	718	-0.128687662486943	0.142002739449968	-0.00279560977980713	0.180166111809368
astrocyte	468	572	-0.0874902677383017	0.0874902677383017	-0.392653967494779	0.393128244934495
fibroblast	74	95	-0.0543027306908196	0.0642321085768482	-0.0348992909348016	0.138875215680097
Pericyte	96	140	-0.00324355058924312	0.0606078579386044	0.351714555400367	0.44581198717541
Schwann cell	184	195	-0.0143684126727062	0.032109492546425	-0.0687753082270516	0.366909382290892
horizontal cell	464	523	-0.0240970599991752	0.0248725789186551	-0.162621553616213	0.153592054815212
RPE cell	317	373	-0.00224072836080888	0.024018536654251	0	0.266311077268889
macrophage	218	376	-0.0196917450346611	0.0206918154438339	-0.0176594179167064	0.358138530971729
microglial cell	83	102	-0.0164733708214498	0.020586667856283	-0.00355460414444914	0.0229496415316023
RGC	320	481	-0.0129650890186271	0.0151002436012975	-0.024493794264673	0.106916135637811
endothelial cell	65	96	0.0105408208207234	0.0117077724364228	0	0.161849768304196
rod cell	3714	3393	0.00743966163635892	0.0112067762221932	0.0168810314568688	0.112237451775229
cone cell	467	665	0.00570870078731863	0.0108830061958682	0.141394006412837	0.156502943068982
bipolar cell	1097	1035	-0.00880550535935999	0.00880550535935999	0.0224952208316582	0.0458226246449525
B cell	283	457	0.0066660221891528	0.0066660221891528	0.0316395090303361	0.132973249597297
