cell_type	eye	gene	n	fraction_detected
T cells	eye1	CD3D	6	0
T cells	eye1	CD3E	6	0
T cells	eye1	CD3G	6	0.666666666666667
T cells	eye1	TRAC	6	1
T cells	eye1	LCK	6	0.166666666666667
T cells	eye1	TRBC1	6	0
T cells	eye1	TRBC2	6	0.166666666666667
T cells	eye2	CD3D	3	0
T cells	eye2	CD3E	3	0.333333333333333
T cells	eye2	CD3G	3	0
T cells	eye2	TRAC	3	1
T cells	eye2	LCK	3	0.333333333333333
T cells	eye2	TRBC1	3	0
T cells	eye2	TRBC2	3	0.333333333333333
muller glia cell	eye1	RLBP1	534	0.647940074906367
muller glia cell	eye1	GLUL	534	0.915730337078652
muller glia cell	eye1	SLC1A3	534	0.647940074906367
muller glia cell	eye1	RGR	534	0.608614232209738
muller glia cell	eye1	CA2	534	0.423220973782772
muller glia cell	eye1	SLC1A1	534	0.0749063670411985
muller glia cell	eye2	RLBP1	535	0.631775700934579
muller glia cell	eye2	GLUL	535	0.899065420560748
muller glia cell	eye2	SLC1A3	535	0.613084112149533
muller glia cell	eye2	RGR	535	0.549532710280374
muller glia cell	eye2	CA2	535	0.368224299065421
muller glia cell	eye2	SLC1A1	535	0.0747663551401869
astrocyte	eye1	GFAP	133	0.488721804511278
astrocyte	eye1	AQP4	133	0.488721804511278
astrocyte	eye1	ALDH1L1	133	0.390977443609023
astrocyte	eye1	SLC1A2	133	0.954887218045113
astrocyte	eye1	GJA1	133	0.0075187969924812
astrocyte	eye2	GFAP	126	0.611111111111111
astrocyte	eye2	AQP4	126	0.436507936507937
astrocyte	eye2	ALDH1L1	126	0.285714285714286
astrocyte	eye2	SLC1A2	126	0.785714285714286
astrocyte	eye2	GJA1	126	0
macrophage	eye1	CD14	48	0.270833333333333
macrophage	eye1	FCGR3A	48	0.0208333333333333
macrophage	eye1	LILRB1	48	0
macrophage	eye1	LILRB2	48	0
macrophage	eye1	CTSD	48	0.5
macrophage	eye1	LGALS3	48	0.375
macrophage	eye1	SPP1	48	0.645833333333333
macrophage	eye1	APOC1	48	0.125
macrophage	eye1	MSR1	48	0.291666666666667
macrophage	eye2	CD14	66	0.0757575757575758
macrophage	eye2	FCGR3A	66	0.0303030303030303
macrophage	eye2	LILRB1	66	0
macrophage	eye2	LILRB2	66	0
macrophage	eye2	CTSD	66	0.439393939393939
macrophage	eye2	LGALS3	66	0.439393939393939
macrophage	eye2	SPP1	66	0.621212121212121
macrophage	eye2	APOC1	66	0.212121212121212
macrophage	eye2	MSR1	66	0.303030303030303
microglial cell	eye1	P2RY12	2	0
microglial cell	eye1	TMEM119	2	0
microglial cell	eye1	CX3CR1	2	0
microglial cell	eye1	GPR34	2	1
microglial cell	eye1	SALL1	2	0.5
microglial cell	eye1	C1QA	2	0.5
microglial cell	eye1	C1QB	2	0
microglial cell	eye1	C1QC	2	0
microglial cell	eye2	P2RY12	5	0.4
microglial cell	eye2	TMEM119	5	0
microglial cell	eye2	CX3CR1	5	0
microglial cell	eye2	GPR34	5	0.2
microglial cell	eye2	SALL1	5	0.2
microglial cell	eye2	C1QA	5	0.6
microglial cell	eye2	C1QB	5	0.4
microglial cell	eye2	C1QC	5	0.2
