	BLAG01000003	BLAG01000002	BLAG90100880
0.1	17748.000000	4666.500000	11204.000000
0.2	17835.000000	5807.000000	3366.000000
0.3	13704.000000	3660.000000	386.000000
0.4	2829.000000	6851.000000	15716.000000
0.5	15641.000000	9080.000000	9445.000000
0.6	17762.000000	6627.000000	962.000000
0.7	16129.000000	5073.500000	1952.000000
0.8	2010.000000	6120.500000	17365.000000
0.9	16948.000000	7353.500000	320.000000
0.10	16982.000000	3736.000000	2614.000000
0.11	16050.000000	4545.500000	16526.000000
0.12	14519.000000	4402.500000	2406.000000
endoderm	16516.000000	1766.500000	16600.000000
endostyle_csg	16584.000000	2276.500000	16781.000000
epidermal_neural	13163.500000	1830.000000	16386.000000
epidermis	10165.000000	2056.000000	16850.000000
mesodermal_notochord	14416.000000	4210.500000	16376.500000
muscular_somites	16498.500000	2430.000000	15163.500000
neural	14092.000000	1911.500000	16183.000000
neural_like	7991.000000	3184.500000	17181.000000
putative_neuro_endo	15255.000000	4034.500000	9989.500000
somite	15213.500000	587.500000	16109.000000
tailbud	14467.000000	1845.000000	17074.000000
tailbud_neural	12716.500000	1459.000000	15876.500000
