bioproject	run_accession	study_accession	experiment_accession	sample_accession	biosample	organism_taxid	organism_name	library_strategy	library_source	library_selection	library_layout	instrument_model	run_total_spots	run_total_bases	release_date	load_date	platform	library_name	sample_name	center_name	submission	run_hash	read_hash
PRJNA1339024	SRR35763874	SRP630949	SRX30813153	SRS26825012	SAMN52624388	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	91086	25378645	2025-10-31 03:15:19	2025-10-09 13:23:06	ILLUMINA	T7533-mock-LG-1-5	T7533-mock-LG-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	8975E9BF3A331A707309856A801E7E80	7E7D331E2E7DBB4B8F10141AAE7FD788
PRJNA1339024	SRR35763873	SRP630949	SRX30813154	SRS26825013	SAMN52624389	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	96090	25910706	2025-10-31 03:15:19	2025-10-09 13:23:17	ILLUMINA	T7533-mock-NT-1-5	T7533-mock-NT-1-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	62C0C3C12E4D7A6877F589406E98F4CA	2BEC628529F5DC9D802868497E3638B8
PRJNA1339024	SRR35763870	SRP630949	SRX30813157	SRS26825014	SAMN52624390	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	71826	20140533	2025-10-31 03:15:19	2025-10-09 13:23:07	ILLUMINA	T7534-48hr-OST-NT-15-5	T7534-48hr-OST-NT-15-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	81FE67661DD0C89346BD721B6E88FD7F	99DC452F6871DE18110C8A4352E00FA1
PRJNA1339024	SRR35763869	SRP630949	SRX30813158	SRS26825015	SAMN52624391	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	69223	18905752	2025-10-31 03:15:19	2025-10-09 13:23:20	ILLUMINA	T7535-24hr-OST-LG-6-5	T7535-24hr-OST-LG-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	040EF577853EC5ACE41E1BD7E128F72A	433B4B5269F360D104F6D7ADCB830F8E
PRJNA1339024	SRR35763868	SRP630949	SRX30813159	SRS26825017	SAMN52624392	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	75238	20867346	2025-10-31 03:15:19	2025-10-09 13:23:08	ILLUMINA	T7535-24hr-OST-NT-6-5	T7535-24hr-OST-NT-6-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	6358A4140BB810F3A05FCD376A5CD93E	4659F035AE2BB09EBA2AE87C7457850D
PRJNA1339024	SRR35763867	SRP630949	SRX30813160	SRS26825020	SAMN52624393	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	97618	26084593	2025-10-31 03:15:22	2025-10-09 13:23:18	ILLUMINA	T7538-mock-NT-4-5	T7538-mock-NT-4-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	013CCBCDE0DAD8340CD86104F096A16F	747346731F29462B430B0B433C197B90
PRJNA1339024	SRR35763866	SRP630949	SRX30813161	SRS26825023	SAMN52624394	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	100257	27559454	2025-10-31 03:15:20	2025-10-09 13:23:07	ILLUMINA	T7542-48hr-OST-NT-13-5	T7542-48hr-OST-NT-13-5	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	3B19158C2F5B47548DD5E8B938E2B6C8	71D65B1BF0FF46B628F7AD8C2BD5041A
PRJNA1339024	SRR35763865	SRP630949	SRX30813162	SRS26825022	SAMN52624395	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	87173	23623090	2025-10-31 03:15:20	2025-10-09 13:22:54	ILLUMINA	T7543-24hr-OST-NT-7-4	T7543-24hr-OST-NT-7-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	58C44C7FAFC332524C4B484287A0F1ED	676EE22DE83B613F9B6FDF33DE533C97
PRJNA1339024	SRR35763864	SRP630949	SRX30813163	SRS26825021	SAMN52624396	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	63845	17520803	2025-10-31 03:15:20	2025-10-09 13:23:05	ILLUMINA	T7544-mock-LG-2-4	T7544-mock-LG-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	96C7F8A3A7F26F0924DA71078A49C0AD	7855124B34CA6EE86C6783193B46B218
PRJNA1339024	SRR35763863	SRP630949	SRX30813164	SRS26825019	SAMN52624397	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	79346	21133174	2025-10-31 03:15:20	2025-10-09 13:22:55	ILLUMINA	T7544-mock-NT-2-4	T7544-mock-NT-2-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	91F304DCBC5B52BCC972146E9825D80C	4863357BD2A252F65216BD154B6C4730
PRJNA1339024	SRR35763872	SRP630949	SRX30813155	SRS26825018	SAMN52624398	11320	Influenza A virus	AMPLICON	VIRAL RNA	PCR	PAIRED	Illumina iSeq 100	77527	21268792	2025-10-31 03:15:20	2025-10-09 13:23:39	ILLUMINA	T7545-48hr-OST-NT-14-4	T7545-48hr-OST-NT-14-4	CENTERS FOR DISEASE CONTROL AND PREVENTION	SRA2245655	DB4A8599FD6C8A5AF7438C2D6CF657BA	8D43324C09C7FC9B5FF14BE9056E454E
