target	n_guides	n_cells	primary_delta_mean	primary_delta_median	primary_p_less	canonical_delta_mean	canonical_delta_median	canonical_p_less	guide_fraction_negative	median_ifng_gene_fraction_down	median_ifng_gene_delta	median_target_gene_delta	primary_fdr	canonical_fdr	passes_robust_filter	robust_rank_key
ISG15	1	50	-1.20354561970626	-1.17141434702564	9.46141088550471e-32	-2.08846075425309	-2.07471348508907	9.46141088550471e-32	1	0.758620689655172	-0.546597102266993	-0.785154003892977	3.78456435420188e-30	3.78456435420188e-30	TRUE	-1.32940768867178
STAT1	1	5	-4.50134704039951	-5.5481477539323	0.00942533263099699	-7.71548232586315	-9.66950978043912	0.00838777371597783	1	0.724137931034483	-2.00154650184775	-2.68350289764125	0.18850665261994	0.167755474319557	FALSE	-4.62376083350295
SOX28	1	50	-0.0368704939383849	-0.0442172337955628	0.133251053026834	-0.0676891376600907	-0.0810017089385675	0.0314639127455207	1	0.586206896551724	-0.00583731030242163	0.0415779115592323	0.670348707645174	0.419518836606942	FALSE	-0.145491183593557
MAPK1	1	50	-0.0366756746020482	-0.0260280348722627	0.17737448390591	-0.0347462308733278	-0.00924686009799099	0.315871309587905	1	0.586206896551724	-0.00914618749481688	-0.121244278635566	0.670348707645174	0.922865184337517	FALSE	-0.145296364257221
CD39	1	50	-0.0348791909478955	-0.0346000688332311	0.0820885939709398	-0.0749418115325838	-0.0590807359509712	0.0455301175491972	1	0.586206896551724	-0.00974324658521075	0.19537326139636	0.670348707645174	0.455301175491972	FALSE	-0.143499880603068
ZNF264	1	50	-0.0253762932366619	-0.0434543532955725	0.131054400206737	-0.0322283585384418	0.00910578299543695	0.234876789553694	1	0.586206896551724	-0.00870820564453645	-0.0428933950905011	0.670348707645174	0.922865184337517	FALSE	-0.133996982891834
ZNF159	1	50	-0.0286254374716196	-0.0347176576717563	0.145677706784979	-0.00990191711200684	0.0326624121272708	0.442670216138687	1	0.551724137931034	-0.0115783680306403	0.0360670235697094	0.670348707645174	0.922865184337517	FALSE	-0.133797851264723
TRIM23	1	50	-0.0231431787765316	-0.0176537380366567	0.319198215257555	0.00379789380600608	0.0618201783194844	0.667350215836849	1	0.586206896551724	-0.00734279486470246	-0.0933064072153251	0.851195240686812	0.922865184337517	FALSE	-0.131763868431704
TRIM5	1	50	-0.0258334512787978	-0.0224853649581086	0.158183415074744	0.0107502476684089	-0.0103446319974321	0.605780537139846	1	0.551724137931034	-0.00230797311514808	-0.122901675314042	0.670348707645174	0.922865184337517	FALSE	-0.131005865071901
ZNF115	1	50	-0.0257920553119673	-0.0401755227232448	0.201104612293552	0.0226222416751732	-0.00295907991929133	0.650229625137345	1	0.551724137931034	-0.00637535423861557	0.010377195622302	0.670348707645174	0.922865184337517	FALSE	-0.130964469105071
ATP49	1	50	-0.0257213551491591	-0.0124467287715884	0.269714054178872	-0.011953965182381	-0.0309796926469104	0.372487349006488	1	0.551724137931034	-0.00731461015650803	0.0663153241554788	0.770611583368205	0.922865184337517	FALSE	-0.130893768942263
ZNF326	1	50	-0.0258632663776687	-0.0114920559510271	0.160447981613827	0.0100496228804178	-0.00879135358186588	0.590256261895555	1	0.517241379310345	-0.00633115941618634	0.0423640211161271	0.670348707645174	0.922865184337517	FALSE	-0.127587404308703
ZNF271	1	50	-0.0264934683426676	-0.0306510457975167	0.147176657320525	-0.0450870380520194	-0.0670082095735462	0.0851004239587806	1	0.448275862068966	0.00122074654808646	0.0308635527944072	0.670348707645174	0.567336159725204	FALSE	-0.121321054549564
CD149	1	50	-0.0163455899824117	-0.0221295324078547	0.197454374254401	-0.035452323877894	-0.0345931166204752	0.125576243652122	1	0.517241379310345	-0.0147954362542437	0.0372085786289342	0.670348707645174	0.627881218260609	FALSE	-0.118069727913446
MAPK2	1	50	-0.00834116256862538	0.00694150790077157	0.545514059412064	-0.000707352278998732	0.0298619306011029	0.623975665294306	1	0.551724137931034	-0.00642670281655056	0.227232947320638	0.958399060772155	0.922865184337517	FALSE	-0.113513576361729
TRIM33	1	50	-0.00477919358174352	-0.0324308360688655	0.434575738943663	0.0334532551279091	0.00773340554884846	0.736114313738842	1	0.517241379310345	-0.00617178627040227	-0.137128485938856	0.958399060772155	0.922865184337517	FALSE	-0.106503331512778
ZNF315	1	50	-0.0135515952504512	-0.0373005384412629	0.257820691828459	-0.0430878848092327	-0.0772282316442873	0.103578178204837	1	0.413793103448276	0.00448744281803259	NA	0.770611583368205	0.591875304027642	FALSE	-0.104930905595279
ZNF209	1	50	-0.00365634349166068	-0.0149764586698654	0.435310520840029	0.0234455740804506	0.0135475848175145	0.813002884055228	1	0.482758620689655	0.00165444096208933	0.000694406098659339	0.958399060772155	0.922865184337517	FALSE	-0.101932205560626
ZNF359	1	50	-0.00189506357990866	0.0189805712438554	0.556961257465514	0.00264977165751935	0.0257833740520543	0.572026833475302	1	0.482758620689655	0.010592723312326	-0.0853110070644254	0.958399060772155	0.922865184337517	FALSE	-0.100170925648874
ATP27	1	50	-0.001319430782897	-0.0100383106726108	0.402865157085788	-0.0524684747121694	-0.0592880460007705	0.0763068867654157	1	0.448275862068966	0.00696235261767564	-0.0685378321457946	0.958399060772155	0.567336159725204	FALSE	-0.0961470169897936
ZNF101	1	50	0.000124305393126578	-0.00999540749416238	0.518052955920232	-0.0285120261407711	-0.0460003353139939	0.220507329968732	0	0.517241379310345	-0.000247891329377747	0.0915683347908347	0.958399060772155	0.922865184337517	FALSE	-0.00159983253790791
CD83	1	50	0.00389747443788378	-0.0151165221386287	0.483435053222558	0.0512883837112935	0.0446079295915036	0.876721925120642	0	0.517241379310345	-0.00260178839765368	-0.00417970214822105	0.958399060772155	0.922865184337517	FALSE	0.0021733365068493
CD92	1	50	0.0064179537621244	-0.0114057903047028	0.610084205663936	0.00241159784531868	0.00643361590016187	0.605061986103546	0	0.517241379310345	-0.00166875015952961	0.0439115288218881	0.958399060772155	0.922865184337517	FALSE	0.00469381583108991
HOXA1	1	50	0.00404750344635773	-0.0129457460372026	0.538108045768993	-0.00283923485570477	-0.0122405806961823	0.45152781376435	0	0.482758620689655	0.00307112133665344	0.0480857068379339	0.958399060772155	0.922865184337517	FALSE	0.00577164137739221
ZNF20	1	50	0.0094509202871412	0.0156796489812921	0.776436684414618	0.0338362308236384	0.0251449503484741	0.815749115235637	0	0.517241379310345	-0.00105757855483812	0.0484455669341521	0.958399060772155	0.922865184337517	FALSE	0.00772678235610672
ATP9	1	50	0.00809127951674616	0.00565633259267339	0.626806102781691	0.0265834083396126	0.0296531351406897	0.716545810866595	0	0.482758620689655	0.00325379258706482	-0.114789617915099	0.958399060772155	0.922865184337517	FALSE	0.00981541744778064
