rank	experiment	analysis	mapped_reads	signal_file	signal_size	biosample_term	biosample_summary	selected_bins	signal_nonzero	pearson_raw	pearson_log1p	spearman
1	ENCSR597URK	ENCAN981QZM	78558518	ENCFF186BOY	598562242	T-cell	Homo sapiens T-cell female adult (28 years)	711	682	0.99321817	0.97520196	0.98894111
2	ENCSR497NLU	ENCAN346QLW	81673586	ENCFF829JMH	587100377	T-cell	Homo sapiens T-cell male adult (28 years)	711	683	0.98630336	0.97332473	0.97253128
3	ENCSR111LTT	ENCAN848SEQ	91741902	ENCFF372KSU	606208798	T-cell	Homo sapiens T-cell male adult (55 years)	711	683	0.98680184	0.97248980	0.96951689
4	ENCSR296TFH	ENCAN870ZML	78670480	ENCFF907EIG	561352696	naive thymus-derived CD8-positive, alpha-beta T cell	Homo sapiens naive thymus-derived CD8-positive, alpha-beta T cell male adult (24 years)	711	684	0.97952019	0.97065385	0.96278923
5	ENCSR740DJQ	ENCAN688XVP	82509208	ENCFF414WEG	584374031	activated CD4-positive, alpha-beta T cell	Homo sapiens activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 50 U/mL Interleukin-2 for 1 hour	711	683	0.97492949	0.97049944	0.95987317
6	ENCSR541PUY	ENCAN578MOX	79899966	ENCFF565PXG	619064398	T-cell	Homo sapiens T-cell male adult (30 years)	711	684	0.98694385	0.96943587	0.96721417
7	ENCSR058ELM	ENCAN712YGD	79041522	ENCFF771ULB	575367627	T-helper 1 cell	Homo sapiens T-helper 1 cell male adult (30 years)	711	683	0.96751832	0.96674470	0.95597579
8	ENCSR457JOG	ENCAN257HGN	81701162	ENCFF635EBG	595360795	activated CD4-positive, alpha-beta T cell	Homo sapiens activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 50 U/mL Interleukin-2 for 48 hours	711	684	0.95734084	0.96235555	0.95044694
9	ENCSR531UVE	ENCAN611JRE	78570568	ENCFF627GLJ	623113521	stimulated activated CD4-positive, alpha-beta T cell	Homo sapiens stimulated activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour	711	684	0.96687528	0.96163561	0.95597868
10	ENCSR420HOT	ENCAN071CDF	76608288	ENCFF907ITJ	622888578	T-cell	Homo sapiens T-cell male adult (38 years)	711	684	0.95301598	0.96027640	0.95033395
11	ENCSR747RGR	ENCAN929BUJ	94552760	ENCFF917NQK	610561346	T-helper 17 cell	Homo sapiens T-helper 17 cell male adult (24 years)	711	684	0.94736086	0.95600410	0.95008087
12	ENCSR164PQJ	ENCAN728DXS	82430344	ENCFF563TJP	645665479	thymus	Homo sapiens thymus tissue male embryo (127 days)	711	682	0.95136182	0.95056066	0.93400540
13	ENCSR694DOX	ENCAN344TWW	84549926	ENCFF130TYS	630735978	posterior cingulate gyrus	Homo sapiens posterior cingulate gyrus tissue male adult (83 years)	711	684	0.94210234	0.94421352	0.94179183
14	ENCSR646JBR	ENCAN571KFE	89660794	ENCFF860TZJ	644124170	head of caudate nucleus	Homo sapiens with Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	711	681	0.94299670	0.94241251	0.94613354
15	ENCSR763XBU	ENCAN650LCY	89688954	ENCFF013AMD	634838337	dorsolateral prefrontal cortex	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (88 years)	711	680	0.93447936	0.94168145	0.93967558
16	ENCSR455GUW	ENCAN719VIJ	83201100	ENCFF717OQE	638079523	Peyer's patch	Homo sapiens Peyer's patch tissue male adult (54 years)	711	684	0.94537586	0.94163360	0.94449773
17	ENCSR122VUW	ENCAN450CRC	86838783	ENCFF861NNR	541648185	common myeloid progenitor, CD34-positive	Homo sapiens common myeloid progenitor, CD34-positive female adult (27 years)	711	680	0.93126579	0.94105524	0.91605973
18	ENCSR659JPP	ENCAN082HCH	88837942	ENCFF851FKA	610158759	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue male adult (84 years)	711	682	0.93026259	0.94007617	0.93448915
19	ENCSR422IIZ	ENCAN131EWS	82032010	ENCFF707HLC	619122688	ascending aorta	Homo sapiens ascending aorta tissue female adult (51 years)	711	680	0.93968705	0.93732170	0.94717859
20	ENCSR000EPK	ENCAN204MPS	76326299	ENCFF389PZY	619118579	CD14-positive monocyte	Homo sapiens CD14-positive monocyte female	711	681	0.93111358	0.93712444	0.92709697
21	ENCSR649MJI	ENCAN171VCK	87133288	ENCFF539NFV	647453151	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	711	681	0.93519555	0.93329367	0.94390744
22	ENCSR385AMY	ENCAN093DOE	77622158	ENCFF641EOS	608712455	hindlimb muscle	Homo sapiens hindlimb muscle tissue male embryo (120 days)	711	684	0.93193823	0.93248554	0.90720664
23	ENCSR796SJV	ENCAN272RCW	79390571	ENCFF988XLP	628769535	large intestine	Homo sapiens large intestine tissue female embryo (98 days)	711	680	0.93608024	0.93236710	0.92139584
24	ENCSR935EVZ	ENCAN709LZL	88030893	ENCFF799EDE	607626728	left lung	Homo sapiens left lung tissue male embryo (115 days)	711	683	0.92865535	0.93221968	0.90698472
25	ENCSR339TVH	ENCAN445MLE	83340024	ENCFF576ZEH	644314347	head of caudate nucleus	Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue female adult (90 or above years)	711	679	0.92794957	0.93087558	0.93483973
26	ENCSR033STL	ENCAN511VYT	88142740	ENCFF619PMY	637462863	muscle of back	Homo sapiens muscle of back tissue female embryo (105 days)	711	680	0.93100887	0.93022119	0.90333667
27	ENCSR634YVQ	ENCAN907ZIN	83681250	ENCFF299RIU	589505916	HK-2	Homo sapiens HK-2	711	682	0.90277018	0.92837917	0.92268724
28	ENCSR163GMC	ENCAN001QCQ	82385210	ENCFF831JZM	618528834	head of caudate nucleus	Homo sapiens with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue male adult (84 years)	711	684	0.92402153	0.92720761	0.93630021
29	ENCSR517NHP	ENCAN273LMB	82513740	ENCFF681LTR	623697989	muscle of arm	Homo sapiens muscle of arm tissue female embryo (105 days)	711	680	0.92594405	0.92402497	0.89652381
30	ENCSR000EQK	ENCAN303BFR	82810043	ENCFF308FQH	658568510	CD4-positive, CD25-positive, alpha-beta regulatory T cell	Homo sapiens CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (28 years)	711	681	0.88240703	0.90929465	0.87578057
31	ENCSR000EOS	ENCAN955TZR	91573550	ENCFF794WMH	601217239	Jurkat, Clone E6-1	Homo sapiens Jurkat, Clone E6-1	711	681	0.86338795	0.88601593	0.89176745
32	ENCSR434OBM	ENCAN261KXH	82010714	ENCFF226ROM	632762514	foreskin melanocyte	Homo sapiens foreskin melanocyte male newborn	711	681	0.87538485	0.87735677	0.87786808
33	ENCSR000EMD	ENCAN678SOC	93360371	ENCFF051WNA	560777351	BE2C	Homo sapiens BE2C	711	680	0.84606779	0.86373586	0.87326434
34	ENCSR837VHE	ENCAN325ZBV	92927401	ENCFF469BXZ	554407837	A549	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 2 hours	711	682	0.81719397	0.85778214	0.88530422
35	ENCSR000EQL	ENCAN750VNN	76217668	ENCFF510GZG	555798054	WERI-Rb-1	Homo sapiens WERI-Rb-1	711	680	0.81761673	0.85319777	0.87705786
36	ENCSR136DNA	ENCAN416VGY	95025247	ENCFF186FMX	529391114	A549	Homo sapiens A549	711	679	0.82044735	0.85005079	0.86181793
