rank	analysis	experiment	replicates	mapped_reads	expected_difference	lineage	signal_files	signal_sizes	signal_urls	biosample_term	biosample_summary	description
1	ENCAN204MPS	ENCSR000EPK	1	76326299	-4523657.6	myeloid	ENCFF389PZY	619118579	https://www.encodeproject.org/files/ENCFF389PZY/@@download/ENCFF389PZY.bigWig	CD14-positive monocyte	Homo sapiens CD14-positive monocyte female	DNase-seq on human Monocytes CD14+ (RO01746)
2	ENCAN450CRC	ENCSR122VUW	2	86838783	5988826.4	myeloid	ENCFF861NNR,ENCFF789FRC	541648185,601349614	https://www.encodeproject.org/files/ENCFF861NNR/@@download/ENCFF861NNR.bigWig,https://www.encodeproject.org/files/ENCFF789FRC/@@download/ENCFF789FRC.bigWig	common myeloid progenitor, CD34-positive	Homo sapiens common myeloid progenitor, CD34-positive female adult (27 years)	
3	ENCAN346QLW	ENCSR497NLU	1	81673586	823629.4	other	ENCFF829JMH	587100377	https://www.encodeproject.org/files/ENCFF829JMH/@@download/ENCFF829JMH.bigWig	T-cell	Homo sapiens T-cell male adult (28 years)	
4	ENCAN257HGN	ENCSR457JOG	1	81701162	851205.4	other	ENCFF635EBG	595360795	https://www.encodeproject.org/files/ENCFF635EBG/@@download/ENCFF635EBG.bigWig	activated CD4-positive, alpha-beta T cell	Homo sapiens activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 50 U/mL Interleukin-2 for 48 hours	
5	ENCAN578MOX	ENCSR541PUY	1	79899966	-949990.6	other	ENCFF565PXG	619064398	https://www.encodeproject.org/files/ENCFF565PXG/@@download/ENCFF565PXG.bigWig	T-cell	Homo sapiens T-cell male adult (30 years)	
6	ENCAN261KXH	ENCSR434OBM	1	82010714	1160757.4	other	ENCFF226ROM	632762514	https://www.encodeproject.org/files/ENCFF226ROM/@@download/ENCFF226ROM.bigWig	foreskin melanocyte	Homo sapiens foreskin melanocyte male newborn	
7	ENCAN131EWS	ENCSR422IIZ	1	82032010	1182053.4	other	ENCFF707HLC	619122688	https://www.encodeproject.org/files/ENCFF707HLC/@@download/ENCFF707HLC.bigWig	ascending aorta	Homo sapiens ascending aorta tissue female adult (51 years)	
8	ENCAN272RCW	ENCSR796SJV	1	79390571	-1459385.6	other	ENCFF988XLP	628769535	https://www.encodeproject.org/files/ENCFF988XLP/@@download/ENCFF988XLP.bigWig	large intestine	Homo sapiens large intestine tissue female embryo (98 days)	
9	ENCAN001QCQ	ENCSR163GMC	1	82385210	1535253.4	other	ENCFF831JZM	618528834	https://www.encodeproject.org/files/ENCFF831JZM/@@download/ENCFF831JZM.bigWig	head of caudate nucleus	Homo sapiens with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue male adult (84 years)	
10	ENCAN728DXS	ENCSR164PQJ	1	82430344	1580387.4	other	ENCFF563TJP	645665479	https://www.encodeproject.org/files/ENCFF563TJP/@@download/ENCFF563TJP.bigWig	thymus	Homo sapiens thymus tissue male embryo (127 days)	
11	ENCAN688XVP	ENCSR740DJQ	1	82509208	1659251.4	other	ENCFF414WEG	584374031	https://www.encodeproject.org/files/ENCFF414WEG/@@download/ENCFF414WEG.bigWig	activated CD4-positive, alpha-beta T cell	Homo sapiens activated CD4-positive, alpha-beta T cell male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 50 U/mL Interleukin-2 for 1 hour	
