rank	analysis	experiment	replicate_count	mapped_reads	excess_over_track	ratio	alignment_files	signal_files	signal_urls	biosample_summary
1	ENCAN204MPS	ENCSR000EPK	1	76326299	50440	1.00066128	ENCFF254VNR	ENCFF389PZY	https://www.encodeproject.org/files/ENCFF389PZY/@@download/ENCFF389PZY.bigWig	female
2	ENCAN750VNN	ENCSR000EQL	2	76217668	-58191	0.99923710	ENCFF505BXT,ENCFF816ZVF	ENCFF510GZG,ENCFF667GPM	https://www.encodeproject.org/files/ENCFF510GZG/@@download/ENCFF510GZG.bigWig,https://www.encodeproject.org/files/ENCFF667GPM/@@download/ENCFF667GPM.bigWig	
3	ENCAN071CDF	ENCSR420HOT	1	76608288	332429	1.00435825	ENCFF425CQF	ENCFF907ITJ	https://www.encodeproject.org/files/ENCFF907ITJ/@@download/ENCFF907ITJ.bigWig	male adult (38 years)
4	ENCAN093DOE	ENCSR385AMY	1	77622158	1346299	1.01765039	ENCFF609ONB	ENCFF641EOS	https://www.encodeproject.org/files/ENCFF641EOS/@@download/ENCFF641EOS.bigWig	male embryo (120 days)
5	ENCAN981QZM	ENCSR597URK	1	78558518	2282659	1.02992636	ENCFF051GHB	ENCFF186BOY	https://www.encodeproject.org/files/ENCFF186BOY/@@download/ENCFF186BOY.bigWig	female adult (28 years)
6	ENCAN611JRE	ENCSR531UVE	1	78570568	2294709	1.03008434	ENCFF300YHK	ENCFF627GLJ	https://www.encodeproject.org/files/ENCFF627GLJ/@@download/ENCFF627GLJ.bigWig	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour
7	ENCAN870ZML	ENCSR296TFH	1	78670480	2394621	1.03139422	ENCFF199RZW	ENCFF907EIG	https://www.encodeproject.org/files/ENCFF907EIG/@@download/ENCFF907EIG.bigWig	male adult (24 years)
8	ENCAN364MSW	ENCSR000EQE	2	73827151	-2448708	0.96789668	ENCFF210NAE,ENCFF843XXF	ENCFF863TXC,ENCFF330CGT	https://www.encodeproject.org/files/ENCFF863TXC/@@download/ENCFF863TXC.bigWig,https://www.encodeproject.org/files/ENCFF330CGT/@@download/ENCFF330CGT.bigWig	male adult (33 years)
9	ENCAN712YGD	ENCSR058ELM	1	79041522	2765663	1.03625869	ENCFF663ZYE	ENCFF771ULB	https://www.encodeproject.org/files/ENCFF771ULB/@@download/ENCFF771ULB.bigWig	male adult (30 years)
10	ENCAN723HWA	ENCSR173BJC	1	73373814	-2902045	0.96195330	ENCFF642YUG	ENCFF380MCL	https://www.encodeproject.org/files/ENCFF380MCL/@@download/ENCFF380MCL.bigWig	male adult (42 years) treated with 50 U/mL Interleukin-2 for 16 hours
