gene_symbol	eye1_cpm	eye2_cpm	eye1_pct	eye2_pct	log2fc_eye1_vs_eye2
HLA-DRA	0.0238871200252305	0.0317958127798459	0.613000231320842	0.833778727952966	-0.302621385086709
HLA-DPA1	0.01610782191093	0.0162054089355391	0.520471894517696	0.406199893105291	-0.0053825190105251
HLA-DPB1	0.0460184145635148	0.0506381194852708	1.49201943095073	1.19722073757349	-0.114323860466669
HLA-DQA1	0.00168012589015852	0.00428348562736596	0.0578302105019662	0.128273650454303	-0.290292262181086
HLA-DQB1	0.00681022173156859	0.0140932660302939	0.208188757807078	0.384820951362908	-0.519291221153849
CCL2	0.031550876579779	0.00380797533289642	1.33009484154522	0.138963121325494	1.58937712084668
CCL3	0	0	0	0	0
CCL4	0.000466200478684235	0	0.0231320842007865	0	0.0657377989624046
CCL5	0.262830219087326	0.00467560242773241	4.92713393476752	0.138963121325494	4.21651181656506
CXCL8	0.0118199665684475	0.000452943680982707	0.49733981031691	0.0106894708711919	1.06173961056044
CXCL10	0.0488685277912829	0.000657813592073346	1.91996298866528	0.0106894708711919	2.46558504326154
CXCL11	0.0336024013765564	0	1.38792505204719	0	2.12440759276931
IL1B	0.0418352268053062	0.000405672518830811	1.66551006245663	0.0106894708711919	2.31656266572098
TNF	0	0	0	0	0
IFIT1	0.0766168340089907	0.0639446049336757	2.84524635669674	2.04168893639765	0.228202549630013
IFIT2	0.0156615728433713	0.0121094365121163	0.578302105019662	0.427578834847675	0.214947341824531
IFIT3	0.0261137871951932	0.0147363164829009	0.92528336803146	0.51309460181721	0.545919038634092
IFITM3	0.633477920680007	0.924603624984557	15.6604210039325	18.6531266702298	-0.53846398604043
ISG15	0.0147941588178592	0.016676546332638	0.624566273421235	0.545163014430786	-0.105571620324497
MX1	0.012056058868444	0.00708126611089255	0.474207726116123	0.267236771779797	0.368760107586996
STAT1	0.420113703592255	0.48598059869187	10.8489474901689	10.8391234633886	-0.205565590864137
IRF7	0.0832448538484331	0.0498972648339889	2.76428406199399	1.23997862105826	0.638533980844545
NFKBIA	0.188317963958326	0.078328137895529	5.40134166088365	2.2340994120791	1.16687036260177
SOCS3	0.00632960102755398	0.0119144145837013	0.254452926208651	0.320684126135756	-0.424390596845159
SPP1	0.418266439208196	0.450729885915413	9.51885264862364	9.95189738107964	-0.105412557595353
