eye	population	cell_type	population_cells	mean_identity_marker_count	pct_population_identity_ge_1	pct_population_identity_ge_2	mean_identity_score	mean_activation_score
eye1	CCL5_positive	astrocyte	426	2.34507042253521	97.4178403755868	80.2816901408451	15.9869976631113	13.3051612183309
eye1	CCL5_negative	astrocyte	8220	0.609732360097324	57.3844282238443	3.13868613138686	4.51427231692534	0.427068185068888
eye1	CCL5_and_CD69_positive	astrocyte	269	2.46468401486989	98.8847583643123	84.3866171003718	16.5920537395906	14.4593834939298
eye1	CCL5_positive	microglial cell	426	0.345070422535211	29.5774647887324	4.22535211267606	0.810181401763897	13.3051612183309
eye1	CCL5_negative	microglial cell	8220	0.0698296836982968	6.67883211678832	0.255474452554745	0.259602111389913	0.427068185068888
eye1	CCL5_and_CD69_positive	microglial cell	269	0.390334572490706	33.0855018587361	5.20446096654275	0.836075498882481	14.4593834939298
eye1	CCL5_positive	RPE cell	426	1.67136150234742	89.2018779342723	55.3990610328638	6.80301193524045	13.3051612183309
eye1	CCL5_negative	RPE cell	8220	0.391970802919708	32.2749391727494	5.9367396593674	1.71134879843462	0.427068185068888
eye1	CCL5_and_CD69_positive	RPE cell	269	1.84386617100372	91.449814126394	62.8252788104089	7.09080092181477	14.4593834939298
eye1	CCL5_positive	cone cell	426	0.802816901408451	52.3474178403756	20.18779342723	2.53598777827135	13.3051612183309
eye1	CCL5_negative	cone cell	8220	1.09172749391727	72.5912408759124	22.4087591240876	9.86137511253854	0.427068185068888
eye1	CCL5_and_CD69_positive	cone cell	269	0.936802973977695	57.6208178438662	24.5353159851301	2.67071301571945	14.4593834939298
eye1	CCL5_positive	rod cell	426	3.17370892018779	81.924882629108	57.7464788732394	30.400659394205	13.3051612183309
eye1	CCL5_negative	rod cell	8220	5.25255474452555	94.0024330900243	86.654501216545	138.274030461569	0.427068185068888
eye1	CCL5_and_CD69_positive	rod cell	269	3.53531598513011	86.9888475836431	60.9665427509294	30.7250289206026	14.4593834939298
eye1	CCL5_positive	horizontal cell	426	0.36150234741784	27.2300469483568	7.74647887323944	0.923580979913792	13.3051612183309
eye1	CCL5_negative	horizontal cell	8220	0.268734793187348	18.4063260340633	6.7639902676399	1.45517965936316	0.427068185068888
eye1	CCL5_and_CD69_positive	horizontal cell	269	0.431226765799257	31.9702602230483	10.0371747211896	0.981999334852875	14.4593834939298
eye1	CCL5_positive	bipolar cell	426	1.41549295774648	75.1173708920188	38.4976525821596	5.32804574979058	13.3051612183309
eye1	CCL5_negative	bipolar cell	8220	1.519099756691	76.338199513382	39.6593673965937	11.1389500012559	0.427068185068888
