rank	gene_id	gene_symbol	eye1_cpm	eye2_cpm	eye1_pct	eye2_pct	log2fc_eye1_vs_eye2	eye1_raw_counts	eye2_raw_counts
1	CCL5	CCL5	0.262830219087326	0.00467560242773241	4.92713393476752	0.138963121325494	4.21651181656506	1178	13
2	PTGER2	PTGER2	0.17919888124243	0.00184610145992856	4.11751098773999	0.0427578834847675	3.99741930500026	811	5
3	CD69	CD69	0.142473474259021	0	3.5970390932223	0	3.93048637439203	618	0
4	PTGIR	PTGIR	0.149003740009958	0.000964753688735729	3.96715244043488	0.0106894708711919	3.85811539137837	643	1
5	IL18RAP	IL18RAP	0.133754740456402	0	3.62017117742309	0	3.84553762604127	590	0
6	CMKLR1	CMKLR1	0.118440710323691	0	3.28475595651168	0	3.68303064371234	516	0
7	CSF3R	CSF3R	0.115887130147908	5.95314706571167e-05	3.37728429331483	0.0106894708711919	3.64549578183055	526	1
8	MEP1A	MEP1A	0.116495465552507	0.000296189273238899	3.31945408281286	0.0106894708711919	3.61890328509658	526	1
9	P2RY2	P2RY2	0.123351159923004	0.000879060212829959	3.44668054591719	0.0427578834847675	3.61560453394774	527	4
10	MYC	MYC	0.115169858451408	0.000289244195845496	3.28475595651168	0.0427578834847675	3.60467827868374	517	4
11	ICAM4	ICAM4	0.108788389711315	0	3.14596345130696	0	3.57032192997845	498	0
12	HPN	HPN	0.221494702576301	0.00949771194588263	4.6148507980569	0.309994655264564	3.5696024409264	963	30
13	APLNR	APLNR	0.107406482786789	0	3.12283136710618	0	3.55344016624959	465	0
14	SELL	SELL	0.12105767320341	0.00118626620404636	3.31945408281286	0.0320684126135756	3.55040135012745	515	3
15	TPBG	TPBG	0.114595401903054	0.000785074708152271	3.27318991441129	0.0427578834847675	3.53014275261348	488	5
16	SLAMF1	SLAMF1	0.10547962213531	0	3.04186907240342	0	3.52956638689147	461	0
17	HAS2	HAS2	0.111145203479826	0.000666010646180179	3.22692574600972	0.0106894708711919	3.50564470681968	485	1
