rank	gene	ccl5_positive_cpm	ccl5_negative_cpm	ccl5_positive_pct	ccl5_negative_pct	log2fc_ccl5_positive_vs_negative
1	CCL5	5.33434289725122	0	100	0	9.06186876500688
2	IL1R1	5.58061232122937	0.061042132551911	86.150234741784	0.97323600973236	6.29818760575699
3	PTGER2	3.04725231983271	0.0305625351549042	70.8920187793427	0.656934306569343	6.23594399132636
4	HAS2	1.9207647857743	0.0173619988499663	57.2769953051643	0.425790754257908	6.1408549834408
5	CMKLR1	2.02858202561302	0.0194479852247553	57.7464788732394	0.462287104622871	6.11325326593845
6	CCRL2	1.26962345239041	0.00853430377318227	45.0704225352113	0.255474452554745	6.10937760623079
7	ICAM4	1.8689620859993	0.0175677091007702	55.3990610328638	0.437956204379562	6.09081276270418
8	FOXP2	18.1691531424711	0.259513401240982	93.1924882629108	1.75182481751825	6.07578417328014
9	IL18RAP	2.25333375696917	0.0239079447101194	64.5539906103286	0.462287104622871	6.06068219379423
10	LIF	1.43486253545803	0.0118489280385121	49.5305164319249	0.291970802919708	6.0472259313649
11	MEP1A	1.97675396939059	0.0200879080543289	58.9201877934272	0.437956204379562	6.0450856138423
12	SELL	2.04680275455038	0.0212562857759389	58.4507042253521	0.462287104622871	6.04011328593136
13	MYC	1.94704233245484	0.0202334017694778	57.7464788732394	0.462287104622871	6.01638783705964
14	CD69	2.3717288848575	0.0269427194031873	63.1455399061033	0.510948905109489	6.01057531961475
15	CSF3R	1.95570154181999	0.020539083995559	59.6244131455399	0.462287104622871	6.00824368962579
16	EGF	6.20026693560516	0.0869272083661082	78.8732394366197	1.35036496350365	6.0016097704785
17	SPHK1	5.41914237549619	0.0759573388441463	86.6197183098592	1.53284671532847	5.98095968879796
18	APLNR	1.81254800400095	0.0190378346070768	54.6948356807512	0.450121654501217	5.97187913039113
19	FFAR2	1.74482534572475	0.0179747476752817	56.1032863849765	0.401459854014599	5.97105852034444
20	MET	2.93431408077011	0.0371737619913913	71.5962441314554	0.875912408759124	5.96380311011095
21	HKDC1	6.21719153179014	0.0897983860108867	75.5868544600939	1.338199513382	5.96342135935123
22	IL15	5.90370161814128	0.0849368071077451	88.4976525821596	1.3625304136253	5.96095011221199
23	OLR1	1.58493171872614	0.0157364389738925	51.6431924882629	0.413625304136253	5.95353840262061
24	SERPINE1	1.81625946296255	0.0195153650993489	55.6338028169014	0.510948905109489	5.95128175055049
25	ABCB11	2.81565185193657	0.0357090914628452	45.3051643192488	0.632603406326034	5.94995876870977
26	PIK3R5	1.7642616510258	0.0187312462242218	52.5821596244132	0.474452554744526	5.94845439842996
27	IL4R	1.51066119036356	0.0146739240588632	50	0.389294403892944	5.94556776487821
28	AXL	2.6564646961916	0.0334219610511022	65.7276995305164	0.827250608272506	5.94035953337472
29	SLAMF1	1.77091434357163	0.0191687716083182	53.5211267605634	0.425790754257908	5.93204968780582
30	P2RY2	2.0446047015465	0.0237825457220786	59.8591549295775	0.523114355231144	5.92643899295602
31	TLR1	1.90363886033412	0.0215091530152106	58.4507042253521	0.547445255474453	5.92440380720647
32	LINC00511	4.55785870361612	0.0660167994677354	67.1361502347418	1.11922141119221	5.90905592990863
33	INHBA	3.10263101191707	0.0427723448852444	70.4225352112676	0.815085158150852	5.88220866222405
34	GPR132	1.5912792331277	0.0172976934229015	52.8169014084507	0.401459854014599	5.87430204589327
35	LYN	5.7364345414735	0.0881152730546457	88.7323943661972	1.88564476885645	5.87204555221179
36	BDKRB1	1.48595056287122	0.0156878718789993	49.5305164319249	0.389294403892944	5.86383131401167
37	PTGIR	2.40924971428238	0.0318669048469346	67.8403755868545	0.656934306569343	5.85260561546716
38	AC078923.1	3.84130956070547	0.0572413840579678	61.2676056338028	1.08272506082725	5.83985585808228
39	ITGB3	2.23171945066425	0.0293494527545149	63.6150234741784	0.790754257907543	5.83211835527487
40	HPN	3.49039752464375	0.0520844103377694	74.4131455399061	0.997566909975669	5.81714391462542
41	CCL20	1.14808378847059	0.0107099600155038	42.2535211267606	0.304136253041363	5.80527105907982
42	TPBG	1.86843850185669	0.0237028032923179	56.8075117370892	0.498783454987834	5.80052147897952
43	ROS1	1.77486963199059	0.0222660371970958	54.6948356807512	0.498783454987834	5.78965849061896
44	TLR3	1.93787036305441	0.0253140308477919	58.9201877934272	0.547445255474453	5.78551235049315
45	UST	4.91741195852362	0.0794861056119696	70.4225352112676	1.35036496350365	5.78302258920938
46	GCH1	1.41249164747759	0.0160228958547435	47.1830985915493	0.450121654501217	5.77249485559544
