eye	cell_type	anchor_markers_found	cells_anchor_ge2	pct_all_cells_anchor_ge2	mean_anchor_cpm_all	mean_state_cpm_anchor_ge2	pct_anchor_ge2_CCL5_positive	pct_anchor_ge2_CD69_positive	pct_anchor_ge2_CCL5_and_CD69_positive	median_state_marker_count_anchor_ge2
eye1	astrocyte	5	325	3.75896368262781	4.43772310434921	22.075578634202	59.0769230769231	45.2307692307692	40.3076923076923	7
eye1	microglial cell	7	8	0.092528336803146	0.107420564450122	25.9599083215201	75	75	75	11
eye1	RPE cell	7	397	4.59171871385612	1.50958413925234	7.72572752920829	20.9068010075567	17.8841309823678	15.8690176322418	0
eye1	cone cell	6	509	5.88711542910016	2.92674340898812	2.58315513058709	5.69744597249509	5.30451866404715	4.91159135559921	0
eye1	rod cell	7	7209	83.3795975017349	126.576397219321	1.45354057092993	3.20432792342905	2.44139270356499	2.17783326397559	0
eye1	horizontal cell	6	369	4.26786953504511	1.1096301096808	2.93485766872478	6.77506775067751	5.42005420054201	5.42005420054201	0
eye1	bipolar cell	6	2907	33.6224843858432	9.2581240280274	1.92975984622069	4.81596147230822	3.71517027863777	3.57757137942896	0
eye1	RGC	7	308	3.56234096692112	1.38745116093425	2.30602240229408	5.51948051948052	4.54545454545455	3.8961038961039	0
eye1	T cells	12	58	0.670830441822808	0.21259392733206	30.8279148293828	84.4827586206897	79.3103448275862	68.9655172413793	10
eye1	macrophage	10	1081	12.5028915105251	2.53084469090801	12.0827924412088	29.5097132284921	21.7391304347826	19.4264569842738	1
eye1	Schwann cell	7	472	5.45917187138561	6.42114806330238	5.73461124628122	13.771186440678	11.0169491525424	10.3813559322034	0
eye1	Pericyte	7	89	1.029377746935	0.213310000833647	30.6169030467392	86.5168539325843	69.6629213483146	68.5393258426966	10
eye1	B cell	7	0	0	0.0426366657881751	NA	NA	NA	NA	NA
eye1	fibroblast	7	19	0.219754799907472	0.0632425785841199	27.7449796910232	73.6842105263158	73.6842105263158	68.4210526315789	11
eye1	muller glia cell	7	1910	22.0911404117511	5.33662475141252	8.60094540532139	21.3089005235602	15.8638743455497	13.717277486911	0
eye1	endothelial cell	8	17	0.196622715706685	0.251648711063955	18.2347083974012	47.0588235294118	47.0588235294118	47.0588235294118	3
eye2	astrocyte	5	205	2.19134152859433	3.8773315741067	2.13745727700217	0.48780487804878	0	0	1
eye2	microglial cell	7	7	0.0748262960983431	0.091279944995244	6.92184942417389	0	0	0	2
eye2	RPE cell	7	296	3.1640833778728	1.8455793135273	0.89810264460873	0.337837837837838	0	0	0
eye2	cone cell	6	574	6.13575628006414	2.78140501553554	0.718296208280582	0.174216027874564	0	0	0
eye2	rod cell	7	7891	84.3506146445751	117.063107725613	0.618201785349466	0.114053985553162	0	0	0
eye2	horizontal cell	6	302	3.22822020309995	0.890029524726735	1.01157052000735	0	0	0	0
eye2	bipolar cell	6	2834	30.2939604489578	8.7184038339027	0.608806128782344	0.247000705716302	0	0	0
eye2	RGC	7	285	3.04649919828968	1.45729692612499	0.571509919841913	0.350877192982456	0	0	0
eye2	T cells	12	3	0.0320684126135756	0.135499141679875	0	0	0	0	0
eye2	macrophage	10	897	9.58845537145911	2.57777324137661	2.44443292365037	0.445930880713489	0	0	1
eye2	Schwann cell	7	466	4.98129342597541	7.94962096196321	1.18406267277692	0.858369098712446	0	0	0
eye2	Pericyte	7	73	0.780331373597007	0.196158850634808	4.34527865298208	1.36986301369863	0	0	1
eye2	B cell	7	1	0.0106894708711919	0.0728126502801852	6.82477392936359	0	0	0	2
eye2	fibroblast	7	13	0.138963121325494	0.0726509128848577	5.70235251407996	0	0	0	1
eye2	muller glia cell	7	1809	19.3372528059861	4.85113908471752	1.47249470234559	0.276395798783859	0	0	0
eye2	endothelial cell	8	12	0.128273650454303	0.188723698948005	2.00415998507838	0	0	0	0.5
