cell_type	marker	ccl5_positive_pct	ccl5_negative_pct	ccl5_positive_cpm	ccl5_negative_cpm	log2fc
astrocyte	GFAP	17.8403755868545	1.13138686131387	0.470820945582805	0.03575721930994	3.3934284577183
astrocyte	AQP4	25.8215962441315	0.900243309002433	0.715618349021871	0.027573346575206	4.27142941389069
astrocyte	ALDH1L1	23.943661971831	0.413625304136253	0.625360811389525	0.0157057424629924	4.62741352098457
astrocyte	SLC1A2	83.3333333333333	55.7299270072993	4.57523072079172	4.2572998257298	0.103670849911709
astrocyte	GJA1	0	0.0121654501216545	0	0.000364453269072933	-0.0516440154535268
muller glia cell	RLBP1	75.3521126760563	4.24574209245742	4.12137276392471	0.178606306169393	4.45317141766441
muller glia cell	GLUL	93.6619718309859	24.8540145985401	15.2935865967194	1.23976912824608	3.61413629373327
muller glia cell	KCNJ10	7.981220657277	0.462287104622871	0.213939549550608	0.016184396719249	3.09633007138522
muller glia cell	RAX	20.6572769953052	4.00243309002433	0.543179870977512	0.126586860344048	2.01792995784191
muller glia cell	CLU	73.943661971831	19.0267639902676	6.41198166252153	0.845402349764487	2.90834347019185
muller glia cell	SLC1A3	83.5680751173709	2.78588807785888	9.5999668363254	0.177571729578325	5.67901714296635
muller glia cell	VIM	61.7370892018779	22.4087591240876	3.84220108491912	0.954721603539597	1.99749843488149
macrophage	LGMN	4.69483568075117	4.80535279805353	0.0864064580872853	0.176891464913408	-0.954998986376603
macrophage	CD68	0	0.0608272506082725	0	0.00190028427240492	-0.250996036851738
macrophage	CTSB	8.21596244131455	4.65936739659367	0.141700603326154	0.144524996528883	-0.0266134093197436
macrophage	CTSD	8.45070422535211	6.0705596107056	0.166539786056718	0.190009834077879	-0.180077581654476
macrophage	MSR1	25.8215962441315	5.57177615571776	0.624831457719173	0.490573705260669	0.342791110229299
macrophage	CD14	37.793427230047	0.62043795620438	0.980521570097471	0.0210403097100296	4.99597353486452
macrophage	SPP1	57.0422535211268	7.05596107055961	3.21573396089926	0.273288195383331	3.50928506761452
macrophage	APOE	61.9718309859155	19.0510948905109	3.26000611814637	0.799918714614104	2.01344430695414
macrophage	MARCO	38.4976525821596	0.291970802919708	0.982533107032847	0.0131625508558787	5.42124917677598
macrophage	ADGRE1	35.6807511737089	0.340632603406326	0.937167728650047	0.0119533776004612	5.43110510173474
microglial cell	TMEM119	0	0	0	0	0
microglial cell	P2RY12	24.1784037558685	1.38686131386861	0.618949065361774	0.0387182708138214	3.69040835417273
microglial cell	AIF1	0	0.158150851581509	0	0.00575462173688113	-0.655775116153171
microglial cell	CX3CR1	0	0.048661800486618	0	0.00135581389226279	-0.18343111038226
microglial cell	C1QA	0.704225352112676	0.328467153284672	0.00796608209883825	0.0126074154125106	-0.331520234126197
microglial cell	C1QB	0.938967136150235	0.401459854014599	0.0124834194079269	0.015519212400777	-0.182722338288767
microglial cell	C1QC	0.469483568075117	0.158150851581509	0.0111763670589504	0.00531635411146481	0.467382186460861
T cells	CD3D	0	0	0	0	0
T cells	CD3E	0	0	0	0	0
T cells	CD3G	0	0.0851581508515815	0	0.00352178468794407	-0.435285579913192
T cells	TRBC1	0	0	0	0	0
T cells	TRBC2	0.469483568075117	0.0364963503649635	0.0109435423157542	0.00130443741076152	0.889616280074306
T cells	CD2	0	0	0	0	0
T cells	CD247	2.58215962441315	1.69099756690998	0.0552238061452573	0.0707794173453751	-0.308589107815499
T cells	CD4	3.05164319248826	1.66666666666667	0.0427048354846852	0.0657481368929038	-0.523275074213069
T cells	CD8A	0	0.0608272506082725	0	0.000797402016200569	-0.11068422449743
T cells	CD8B	0	0.0608272506082725	0	0.00145736514741845	-0.196275305367859
T cells	IL7R	17.1361502347418	0.109489051094891	0.377414950331979	0.00315661927702493	4.880018901477
T cells	LCK	34.7417840375587	0.24330900243309	0.826758036176172	0.00879807969191552	5.47615330475994
rod cell	RHO	51.4084507042254	70.5717761557178	2.73651375164661	8.26746792260401	-1.59158799943407
rod cell	GNAT1	37.793427230047	61.6180048661801	1.90280841675351	6.45104172042791	-1.7560744075507
rod cell	PDE6A	51.4084507042254	83.1508515815085	15.5904808739908	82.0230708224487	-2.39461513541076
rod cell	PDE6B	27.9342723004695	63.1143552311435	1.07189110842849	5.67655462964253	-2.39399951675088
rod cell	SAG	41.7840375586854	78.5401459854015	4.28063013904039	20.5385925142403	-2.25977813085753
rod cell	NRL	46.0093896713615	61.7153284671533	2.23920158745394	5.63501183090188	-1.32756363439871
rod cell	NR2E3	18.3098591549296	44.4647201946472	0.486363280957047	3.07740527710985	-2.63692657537864
