eye	cell_type	identity_cells	gene	pct_identity_cells	cpm_within_identity
eye1	astrocyte	600	CCL5	57	2.8967471813832
eye1	astrocyte	600	CD69	42.8333333333333	1.49491334579659
eye1	astrocyte	600	CCL4	0.166666666666667	0.00282059121848412
eye1	astrocyte	600	CCL3	0	0
eye1	astrocyte	600	NKG7	0	0
eye1	astrocyte	600	GZMK	0	0
eye1	astrocyte	600	GZMB	0	0
eye1	astrocyte	600	IFNG	0	0
eye1	astrocyte	600	TNF	0	0
eye1	astrocyte	600	IL7R	13.1666666666667	0.267956165755992
eye1	astrocyte	600	HLA-DRA	1.5	0.0253853209663571
eye1	astrocyte	600	CXCL10	23.5	0.521809375419563
eye1	astrocyte	600	ISG15	5.16666666666667	0.0959001014284602
eye1	astrocyte	600	IFIT1	5.5	0.0959001014284602
eye1	astrocyte	600	SPP1	45.1666666666667	2.20852292407307
eye1	microglial cell	39	CCL5	46.1538461538462	2.59576100941246
eye1	microglial cell	39	CD69	35.8974358974359	1.38252488544794
eye1	microglial cell	39	CCL4	2.56410256410256	0.0282147935805702
eye1	microglial cell	39	CCL3	0	0
eye1	microglial cell	39	NKG7	0	0
eye1	microglial cell	39	GZMK	0	0
eye1	microglial cell	39	GZMB	0	0
eye1	microglial cell	39	IFNG	0	0
eye1	microglial cell	39	TNF	0	0
eye1	microglial cell	39	IL7R	17.9487179487179	0.197503555063991
eye1	microglial cell	39	HLA-DRA	28.2051282051282	0.310362729386272
eye1	microglial cell	39	CXCL10	20.5128205128205	0.310362729386272
eye1	microglial cell	39	ISG15	7.69230769230769	0.112859174322281
eye1	microglial cell	39	IFIT1	10.2564102564103	0.112859174322281
eye1	microglial cell	39	SPP1	48.7179487179487	1.94682075705934
eye1	RPE cell	724	CCL5	32.5966850828729	1.65719524895828
eye1	RPE cell	724	CD69	26.1049723756906	0.882591454645702
eye1	RPE cell	724	CCL4	0	0
eye1	RPE cell	724	CCL3	0	0
eye1	RPE cell	724	NKG7	0	0
eye1	RPE cell	724	GZMK	0	0
eye1	RPE cell	724	GZMB	0	0
eye1	RPE cell	724	IFNG	0	0
eye1	RPE cell	724	TNF	0	0
eye1	RPE cell	724	IL7R	7.4585635359116	0.139137946967675
eye1	RPE cell	724	HLA-DRA	0.828729281767956	0.0124601146538217
eye1	RPE cell	724	CXCL10	14.2265193370166	0.288659322813535
eye1	RPE cell	724	ISG15	3.31491712707182	0.0519171443909236
eye1	RPE cell	724	IFIT1	5.66298342541436	0.0913741741280256
eye1	RPE cell	724	SPP1	31.2154696132597	1.36230586881784
eye1	cone cell	1928	CCL5	4.46058091286307	0.397565374996732
eye1	cone cell	1928	CD69	3.63070539419087	0.193881196573749
eye1	cone cell	1928	CCL4	0.0518672199170125	0.0010892202054705
eye1	cone cell	1928	CCL3	0	0
eye1	cone cell	1928	NKG7	0	0
eye1	cone cell	1928	GZMK	0	0
eye1	cone cell	1928	GZMB	0	0
eye1	cone cell	1928	IFNG	0	0
eye1	cone cell	1928	TNF	0	0
eye1	cone cell	1928	IL7R	1.29668049792531	0.034855046575056
eye1	cone cell	1928	HLA-DRA	0.829875518672199	0.019605963698469
eye1	cone cell	1928	CXCL10	2.43775933609959	0.0751561941774645
eye1	cone cell	1928	ISG15	0.778008298755187	0.017427523287528
eye1	cone cell	1928	IFIT1	4.30497925311203	0.0969405982868745
eye1	cone cell	1928	SPP1	13.0186721991701	0.541342442118838
eye1	rod cell	7369	CCL5	3.33830913285385	0.336323121317729
eye1	rod cell	7369	CD69	2.53765775546207	0.176881048989324
eye1	rod cell	7369	CCL4	0.0271407246573484	0.000830427460043775
eye1	rod cell	7369	CCL3	0	0
eye1	rod cell	7369	NKG7	0	0
eye1	rod cell	7369	GZMK	0	0
eye1	rod cell	7369	GZMB	0	0
eye1	rod cell	7369	IFNG	0	0
eye1	rod cell	7369	TNF	0	0
eye1	rod cell	7369	IL7R	0.773510652734428	0.029480174831554
eye1	rod cell	7369	HLA-DRA	0.610666304790338	0.0199302590410506
eye1	rod cell	7369	CXCL10	1.46559913149681	0.0597907771231518
eye1	rod cell	7369	ISG15	0.407110869860225	0.0128716256306785
eye1	rod cell	7369	IFIT1	2.33410232053196	0.0768145400540492
eye1	rod cell	7369	SPP1	8.68503189035147	0.448015614693617
eye1	horizontal cell	589	CCL5	5.60271646859083	0.395872987225597
eye1	horizontal cell	589	CD69	4.58404074702886	0.174577528528058
eye1	horizontal cell	589	CCL4	0	0
eye1	horizontal cell	589	CCL3	0	0
eye1	horizontal cell	589	NKG7	0	0
eye1	horizontal cell	589	GZMK	0	0
eye1	horizontal cell	589	GZMB	0	0
eye1	horizontal cell	589	IFNG	0	0
eye1	horizontal cell	589	TNF	0	0
eye1	horizontal cell	589	IL7R	1.35823429541596	0.0221295458697539
eye1	horizontal cell	589	HLA-DRA	1.35823429541596	0.0221295458697539
eye1	horizontal cell	589	CXCL10	3.3955857385399	0.0958946987689334
eye1	horizontal cell	589	ISG15	1.35823429541596	0.0196707074397812
eye1	horizontal cell	589	IFIT1	12.5636672325976	0.238507327707347
eye1	horizontal cell	589	SPP1	19.8641765704584	0.646674507082807
eye1	bipolar cell	3424	CCL5	4.78971962616822	0.425837576476434
eye1	bipolar cell	3424	CD69	3.76752336448598	0.223412401013074
eye1	bipolar cell	3424	CCL4	0.0292056074766355	0.000677007275797193
eye1	bipolar cell	3424	CCL3	0	0
eye1	bipolar cell	3424	NKG7	0	0
eye1	bipolar cell	3424	GZMK	0	0
eye1	bipolar cell	3424	GZMB	0	0
eye1	bipolar cell	3424	IFNG	0	0
eye1	bipolar cell	3424	TNF	0	0
eye1	bipolar cell	3424	IL7R	1.16822429906542	0.0345273710656568
eye1	bipolar cell	3424	HLA-DRA	0.671728971962617	0.0169251818949298
eye1	bipolar cell	3424	CXCL10	2.13200934579439	0.0724397785102997
eye1	bipolar cell	3424	ISG15	0.700934579439252	0.0169251818949298
eye1	bipolar cell	3424	IFIT1	3.97196261682243	0.103582113196971
eye1	bipolar cell	3424	SPP1	11.1857476635514	0.531450711500796
eye1	RGC	368	CCL5	6.52173913043478	0.456263597274161
eye1	RGC	368	CD69	5.43478260869565	0.222826407971102
eye1	RGC	368	CCL4	0.271739130434783	0.00353692711065241
eye1	RGC	368	CCL3	0	0
eye1	RGC	368	NKG7	0	0
eye1	RGC	368	GZMK	0	0
eye1	RGC	368	GZMB	0	0
eye1	RGC	368	IFNG	0	0
eye1	RGC	368	TNF	0	0
eye1	RGC	368	IL7R	2.17391304347826	0.0424431253278289
eye1	RGC	368	HLA-DRA	1.35869565217391	0.0247584897745669
eye1	RGC	368	CXCL10	3.53260869565217	0.0707385422130482
eye1	RGC	368	ISG15	1.6304347826087	0.0247584897745669
eye1	RGC	368	IFIT1	10.8695652173913	0.166235574200663
