group	rcv	ortholog
animal	0	1001705at2759
animal	0.1835	1003258at2759
animal	0.049000000000000002	100698at2759
animal	0.11559999999999999	1010730at2759
animal	0.1129	1014314at2759
animal	0.082699999999999996	1018517at2759
animal	0.10929999999999999	1019762at2759
animal	0	1025450at2759
animal	0	1030907at2759
animal	0	1032689at2759
animal	0.1452	1038775at2759
animal	0.108	1041560at2759
animal	0.072300000000000003	1049599at2759
animal	0.10929999999999999	1051021at2759
animal	0.1091	1053181at2759
animal	0.1178	1065019at2759
animal	0	1076134at2759
animal	0.094299999999999995	1079130at2759
animal	0.1002	1079827at2759
animal	0.1226	1085752at2759
animal	0	1087488at2759
animal	0	1090038at2759
animal	0.18160000000000001	1094121at2759
animal	0.15079999999999999	1096688at2759
animal	0	1106766at2759
animal	0	1107630at2759
animal	0	1108845at2759
animal	0.1152	1111142at2759
animal	0.13189999999999999	1112002at2759
animal	0.049599999999999998	1128607at2759
animal	0.1883	1129824at2759
animal	0.088099999999999998	1138059at2759
animal	0.058000000000000003	1157302at2759
animal	0.14849999999999999	1161199at2759
animal	0.14499999999999999	1173229at2759
animal	0.12870000000000001	1178688at2759
animal	0	1182451at2759
animal	0.1239	1193442at2759
animal	0.0814	1194691at2759
animal	0.085300000000000001	1194797at2759
animal	0	1197019at2759
animal	0.1648	1200489at2759
animal	0.095500000000000002	1217666at2759
animal	0.1472	1220881at2759
animal	0.15859999999999999	1222562at2759
animal	0	1223488at2759
animal	0.2087	1228942at2759
animal	0	1236198at2759
animal	0	1247641at2759
animal	0.074899999999999994	1248958at2759
animal	0.124	1249159at2759
animal	0.16400000000000001	1251252at2759
animal	0.098400000000000001	1257440at2759
animal	0.10780000000000001	1258856at2759
animal	0.13089999999999999	1259741at2759
animal	0.112	1260807at2759
animal	0.17680000000000001	1264469at2759
animal	0.10390000000000001	1266231at2759
animal	0.12920000000000001	1269244at2759
animal	0.1323	1269649at2759
animal	0.083799999999999999	1275837at2759
animal	0.22889999999999999	1284731at2759
animal	0.1215	1287094at2759
