sample	samp	samtype	celltype	batch	sex
CHC096CD14	CHC096	refsamp	CD14	1	M
THC040CD14	THC040	refsamp	CD14	1	F
CHC177CD14	CHC177	refsamp	CD14	1	F
L618CD14	L618	refsamp	CD14	1	F
L619CD14	L619	refsamp	CD14	1	F
CHC042CD14	CHC042	nonrefsamp	CD14	1	M
L631CD14_1	L631_1	nonrefsamp	CD14	1	F
A054CD14	A054	nonrefsamp	CD14	1	M
L106CD14_2	L106_2	nonrefsamp	CD14	2	M
A140CD14	A140	refsamp	CD14	2	M
L056CD14	L056	refsamp	CD14	2	F
L220CD14	L220	nonrefsamp	CD14	2	F
L075CD14	L075	nonrefsamp	CD14	2	F
CHC077CD14	CHC077	refsamp	CD14	2	F
THC006CD14	THC006	refsamp	CD14	2	M
A094CD14	A094	refsamp	CD14	2	F
A101CD14	A101	refsamp	CD14	2	F
L092CD14	L092	nonrefsamp	CD14	2	F
A104CD14	A104	refsamp	CD14	2	F
A082CD14_1	A082_1	refsamp	CD14	2	F
L047CD14	L047	nonrefsamp	CD14	2	F
AHC041CD14	AHC041	refsamp	CD14	2	F
AHC108CD14	AHC108	refsamp	CD14	2	M
A040CD14	A040	refsamp	CD14	2	F
L241CD14_2	L241_2	refsamp	CD14	2	F
A045CD14	A045	nonrefsamp	CD14	2	F
A018CD14_2	A018_2	nonrefsamp	CD14	2	M
A030CD14_2	A030_2	refsamp	CD14	2	F
A070CD14_2	A070_2	refsamp	CD14	2	F
A008CD14	A008	nonrefsamp	CD14	2	F
L479CD14	L479	nonrefsamp	CD14	2	F
A012CD14	A012	refsamp	CD14	2	M
A160CD14	A160	nonrefsamp	CD14	2	M
A085CD14	A085	nonrefsamp	CD14	2	M
A163CD14	A163	refsamp	CD14	2	M
A161CD14	A161	nonrefsamp	CD14	2	M
L015CD14	L015	nonrefsamp	CD14	2	F
L610CD14	L610	nonrefsamp	CD14	2	M
A162CD14	A162	refsamp	CD14	2	F
L631CD14_2	L631_2	refsamp	CD14	2	F
A133CD14	A133	nonrefsamp	CD14	2	M
L085CD14	L085	refsamp	CD14	3	M
L076CD14	L076	refsamp	CD14	3	M
A138CD14	A138	nonrefsamp	CD14	3	F
L030CD14	L030	refsamp	CD14	3	F
A107CD14	A107	refsamp	CD14	3	F
L060CD14	L060	nonrefsamp	CD14	3	M
L058CD14	L058	refsamp	CD14	3	M
L059CD14	L059	refsamp	CD14	3	M
L050CD14	L050	nonrefsamp	CD14	3	M
L065CD14	L065	refsamp	CD14	3	F
L605CD14	L605	refsamp	CD14	3	M
L055CD14	L055	nonrefsamp	CD14	3	F
L066CD14	L066	refsamp	CD14	3	F
CHC052CD14	CHC052	refsamp	CD14	3	M
L070CD14	L070	refsamp	CD14	3	M
L072CD14	L072	nonrefsamp	CD14	3	F
A102CD14	A102	refsamp	CD14	3	F
A105CD14	A105	refsamp	CD14	3	M
L653CD14	L653	nonrefsamp	CD14	3	F
L636CD14	L636	refsamp	CD14	3	M
L641CD14	L641	refsamp	CD14	3	F
A119CD14	A119	nonrefsamp	CD14	3	M
L025CD14	L025	refsamp	CD14	3	M
A005CD14	A005	refsamp	CD14	3	F
L021CD14	L021	nonrefsamp	CD14	3	F
A015CD14	A015	nonrefsamp	CD14	3	M
A166CD14	A166	refsamp	CD14	3	M
A090CD14	A090	refsamp	CD14	3	M
A014CD14	A014	nonrefsamp	CD14	3	M
L094CD14	L094	refsamp	CD14	3	M
L084CD14	L084	refsamp	CD14	3	F
A006CD14	A006	nonrefsamp	CD14	3	M
L652CD14	L652	nonrefsamp	CD14	3	F
A130CD14	A130	refsamp	CD14	3	M
L097CD14	L097	refsamp	CD14	3	M
L022CD14	L022	nonrefsamp	CD14	3	F
A145CD14	A145	refsamp	CD14	3	M
CHC121CD14	CHC121	nonrefsamp	CD14	3	M
A097CD14	A097	refsamp	CD14	3	F
L077CD14	L077	nonrefsamp	CD14	3	M
A047CD14	A047	refsamp	CD14	3	F
