sample	samp	samtype	celltype	batch	sex
CHC096CD4	CHC096	refsamp	CD4	1	M
CHC096CD8	CHC096	refsamp	CD8	1	M
CHC096CD14	CHC096	refsamp	CD14	1	M
CHC096CD19	CHC096	refsamp	CD19	1	M
CHC096PBMC	CHC096	refsamp	PBMC	1	M
THC040CD4	THC040	refsamp	CD4	1	F
THC040CD8	THC040	refsamp	CD8	1	F
THC040CD14	THC040	refsamp	CD14	1	F
THC040CD19	THC040	refsamp	CD19	1	F
THC040PBMC	THC040	refsamp	PBMC	1	F
CHC177CD4	CHC177	refsamp	CD4	1	F
CHC177CD8	CHC177	refsamp	CD8	1	F
CHC177CD14	CHC177	refsamp	CD14	1	F
CHC177CD19	CHC177	refsamp	CD19	1	F
CHC177PBMC	CHC177	refsamp	PBMC	1	F
L618CD4	L618	refsamp	CD4	1	F
L618CD8	L618	refsamp	CD8	1	F
L618CD14	L618	refsamp	CD14	1	F
L618CD19	L618	refsamp	CD19	1	F
L618PBMC	L618	refsamp	PBMC	1	F
L619CD4	L619	refsamp	CD4	1	F
L619CD8	L619	refsamp	CD8	1	F
L619CD14	L619	refsamp	CD14	1	F
L619CD19	L619	refsamp	CD19	1	F
L619PBMC	L619	refsamp	PBMC	1	F
CHC042CD4	CHC042	nonrefsamp	CD4	1	M
CHC042CD8	CHC042	nonrefsamp	CD8	1	M
CHC042CD14	CHC042	nonrefsamp	CD14	1	M
CHC042CD19	CHC042	nonrefsamp	CD19	1	M
CHC042PBMC	CHC042	nonrefsamp	PBMC	1	M
L631CD4_1	L631_1	nonrefsamp	CD4	1	F
L631CD14_1	L631_1	nonrefsamp	CD14	1	F
L631CD19_1	L631_1	nonrefsamp	CD19	1	F
L631PBMC_1	L631_1	nonrefsamp	PBMC	1	F
CHC165CD4	CHC165	nonrefsamp	CD4	1	F
CHC165PBMC	CHC165	nonrefsamp	PBMC	1	F
A070CD19_1	A070_1	nonrefsamp	CD19	1	F
A070PBMC_1	A070_1	nonrefsamp	PBMC	1	F
A054CD4	A054	nonrefsamp	CD4	1	M
A054CD8	A054	nonrefsamp	CD8	1	M
A054CD14	A054	nonrefsamp	CD14	1	M
A054CD19	A054	nonrefsamp	CD19	1	M
A054PBMC	A054	nonrefsamp	PBMC	1	M
L106PBMC_2	L106_2	nonrefsamp	PBMC	2	M
L106CD14_2	L106_2	nonrefsamp	CD14	2	M
L106CD19_2	L106_2	nonrefsamp	CD19	2	M
A140PBMC	A140	refsamp	PBMC	2	M
A140CD4	A140	refsamp	CD4	2	M
A140CD8	A140	refsamp	CD8	2	M
A140CD14	A140	refsamp	CD14	2	M
A140CD19	A140	refsamp	CD19	2	M
L056PBMC	L056	refsamp	PBMC	2	F
L056CD4	L056	refsamp	CD4	2	F
L056CD8	L056	refsamp	CD8	2	F
L056CD14	L056	refsamp	CD14	2	F
L056CD19	L056	refsamp	CD19	2	F
L220PBMC	L220	nonrefsamp	PBMC	2	F
L220CD4	L220	nonrefsamp	CD4	2	F
L220CD8	L220	nonrefsamp	CD8	2	F
L220CD14	L220	nonrefsamp	CD14	2	F
L220CD19	L220	nonrefsamp	CD19	2	F
L075PBMC	L075	nonrefsamp	PBMC	2	F
L075CD4	L075	nonrefsamp	CD4	2	F
L075CD8	L075	nonrefsamp	CD8	2	F
L075CD14	L075	nonrefsamp	CD14	2	F
CHC077PBMC	CHC077	refsamp	PBMC	2	F
CHC077CD4	CHC077	refsamp	CD4	2	F
CHC077CD8	CHC077	refsamp	CD8	2	F
CHC077CD14	CHC077	refsamp	CD14	2	F
CHC077CD19	CHC077	refsamp	CD19	2	F
A139PBMC	A139	nonrefsamp	PBMC	2	F
A139CD4	A139	nonrefsamp	CD4	2	F
A139CD8	A139	nonrefsamp	CD8	2	F
A139CD19	A139	nonrefsamp	CD19	2	F
THC006PBMC	THC006	refsamp	PBMC	2	M
