SECTION	INDEPENDENT_DISEASE_MARKER_SCORE
markers_detected	39
sample	marker_z_score	primary_cluster	assigned_status	bootstrap_assignment_agreement
Sample_1	0.870109	1	diseased	1.0000
Sample_2	-1.038327	2	healthy	1.0000
Sample_3	-1.060669	2	healthy	1.0000
Sample_4	0.885341	1	diseased	1.0000
Sample_5	-0.961083	2	healthy	1.0000
Sample_6	0.758306	1	diseased	1.0000
Sample_7	-1.030595	2	healthy	1.0000
Sample_8	0.709912	1	diseased	1.0000
Sample_9	0.867006	1	diseased	1.0000
SECTION	KEY_MARKER_LOG2_TPM_PLUS_1
gene	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
S100A7	12.38732	2.70663	2.10490	12.84662	3.83498	13.02480	3.44575	12.68110	12.86684
S100A8	13.42811	2.84896	3.56901	13.56493	3.99563	13.40352	4.09708	13.37952	13.74317
S100A9	13.86601	3.05883	3.61022	13.90969	4.39800	13.77874	4.22250	13.71086	14.15268
DEFB4A	10.15240	0.00000	0.27065	9.01570	0.33961	7.64613	0.07288	8.08300	8.75563
SERPINB4	11.70709	0.35844	0.69516	11.45841	0.98052	11.88154	0.65071	10.61843	12.06570
KRT16	13.49384	6.97533	6.04293	12.79397	5.13907	12.30731	5.22190	13.17892	12.62645
IL36G	9.25649	2.95771	3.32349	9.15640	4.43388	8.81884	3.55790	8.92371	8.89980
CXCL10	4.71881	0.53731	0.00000	3.26185	0.23504	4.33065	0.78691	3.31826	2.93973
MX1	6.87844	2.61661	2.77541	7.63125	3.48210	7.38657	3.41104	6.76415	7.51942
SECTION	BOOTSTRAP_COCUSTERING_500_RESAMPLES
sample	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
Sample_1	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000
Sample_2	0.0000	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
Sample_3	0.0000	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
Sample_4	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000
Sample_5	0.0000	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
Sample_6	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000
Sample_7	0.0000	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.0000
Sample_8	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000
Sample_9	1.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	1.0000
SECTION	FINAL_ANSWER
Sample_1,Sample_4,Sample_6,Sample_8,Sample_9
