SECTION	DATA_QC
sample	total_tpm	detected_genes
Sample_1	1000000.000000	26220
Sample_2	1000000.000000	29283
Sample_3	1000000.000000	28828
Sample_4	1000000.000000	28517
Sample_5	1000000.000000	29105
Sample_6	1000000.000000	28386
Sample_7	1000000.000000	29324
Sample_8	1000000.000000	29085
Sample_9	1000000.000000	26795
SECTION	PCA_TOP5000_VARIABLE_LOG2TPM
sample	PC1	PC2	PC3
Sample_1	-52.537391	-22.862508	-25.703876
Sample_2	63.083373	-0.408734	-0.869647
Sample_3	61.948295	26.002388	-18.891155
Sample_4	-58.062563	-6.547681	-1.317762
Sample_5	60.460226	-16.696615	12.016252
Sample_6	-44.703382	3.002030	22.290355
Sample_7	62.030216	-11.303130	5.940090
Sample_8	-44.396882	16.478347	3.574713
Sample_9	-47.821892	12.335903	2.961031
variance_fraction	0.769385	0.057787	0.047708	0.035307	0.028803
SECTION	PC1_TOP_LOADINGS
gene	loading	mean_tpm
SERPINB4	-0.0972501	1754.094795
S100A7A	-0.0903352	886.908144
S100A9	-0.0899795	8449.750894
SPRR2A	-0.0886873	765.873027
S100A8	-0.0883124	6487.640403
S100A7	-0.0869973	3902.364426
PI3	-0.0791072	730.912442
DEFB4A	-0.0770320	283.879042
SPRR2B	-0.0736803	246.564023
SPRR2F	-0.0733695	207.584032
TCN1	-0.0720176	180.967677
HEPHL1	-0.0714629	430.640431
KRT6C	-0.0711559	844.841754
RHCG	-0.0678058	208.375505
SERPINB3	-0.0646457	1416.430167
KRT16	-0.0628654	4395.356144
SPRR2D	-0.0580414	431.573425
TMPRSS11D	-0.0568912	71.162527
KRT6A	-0.0548910	8394.608318
G25746	0.0537919	43.068609
LCE3E	-0.0535054	90.459893
AKR1B10	-0.0534542	175.812172
IFI27	-0.0527728	309.559195
LCE3A	-0.0522760	36.130182
SPRR2G	-0.0521484	470.775929
LCE3D	-0.0520855	203.011965
LCN2	-0.0520667	114.521941
ATP12A	-0.0517646	187.584891
GDA	-0.0509086	85.584157
BTC	0.0505055	45.386736
GJB2	-0.0495926	2164.536414
IL36A	-0.0494366	27.559783
IL36G	-0.0488211	293.252307
SLC6A14	-0.0485949	318.882426
KRT77	0.0485831	207.046931
LTF	-0.0481524	109.712298
S100A12	-0.0480102	23.730663
KYNU	-0.0477138	71.425990
RAB3B	0.0443885	23.348268
OASL	-0.0441291	26.644417
C10orf99	-0.0438903	109.773964
SCARA5	0.0438082	65.134887
TNIP3	-0.0433195	19.261101
H19	0.0430986	45.061103
CHAC1	-0.0426123	16.634061
EPGN	-0.0425525	27.963170
KRT6B	-0.0422525	2167.363018
NOS2	-0.0420444	22.593580
OAS2	-0.0416524	57.863190
CHI3L2	-0.0416262	124.736134
IFI6	-0.0406277	77.762643
CXCL8	-0.0406019	16.603574
TNXB	0.0405606	159.585556
KLK6	-0.0401876	44.160161
ANKRD33B	0.0398232	44.324443
SPRR1B	-0.0395605	264.813040
C5orf46	0.0393788	43.034810
VNN3	-0.0392740	12.212084
GJB6	-0.0392358	585.527181
SNTB1	0.0384520	31.316338
SECTION	CORRELATION_MATRIX
sample	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
Sample_1	1.00000	0.69625	0.68493	0.95757	0.70448	0.93488	0.70630	0.93896	0.94027
Sample_2	0.69625	1.00000	0.95042	0.68617	0.95725	0.74171	0.96714	0.73508	0.70703
Sample_3	0.68493	0.95042	1.00000	0.68038	0.92548	0.73167	0.93444	0.73514	0.70579
Sample_4	0.95757	0.68617	0.68038	1.00000	0.69418	0.96019	0.69632	0.95228	0.95489
Sample_5	0.70448	0.95725	0.92548	0.69418	1.00000	0.75429	0.96136	0.73444	0.70466
Sample_6	0.93488	0.74171	0.73167	0.96019	0.75429	1.00000	0.75237	0.95935	0.95503
Sample_7	0.70630	0.96714	0.93444	0.69632	0.96136	0.75237	1.00000	0.73429	0.71818
Sample_8	0.93896	0.73508	0.73514	0.95228	0.73444	0.95935	0.73429	1.00000	0.96107
Sample_9	0.94027	0.70703	0.70579	0.95489	0.70466	0.95503	0.71818	0.96107	1.00000
SECTION	HCLUST_K2
leaf_order	Sample_1,Sample_8,Sample_9,Sample_4,Sample_6,Sample_3,Sample_5,Sample_2,Sample_7
cluster	Sample_1	1
cluster	Sample_2	2
cluster	Sample_3	2
cluster	Sample_4	1
cluster	Sample_5	2
cluster	Sample_6	1
cluster	Sample_7	2
cluster	Sample_8	1
cluster	Sample_9	1
silhouette_correlation_distance	0.825934
SECTION	PARTITION_STABILITY
setting	cluster1	cluster2	silhouette
median>=0.0;topvar=500	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	Sample_2,Sample_3,Sample_5,Sample_7	0.866982
