# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Bladder	bytes 0-31999999/7361379926	2984450	100000088
Brain	bytes 0-31999999/12048619808	3179755	61845012
Cloaca	bytes 0-31999999/4079467003	2044230	100000013
GallBladder	bytes 0-31999999/4980611273	2236809	100000052
Gill	bytes 0-31999999/11566811496	3108041	66937063
Heart	bytes 0-31999999/9197722750	3088381	80229041
Intestine	bytes 0-31999999/6322122007	3197124	100000000
Kidney	bytes 0-31999999/7755800716	3142063	95742327
Limb	bytes 0-31999999/11646072827	3235063	65717627
Liver	bytes 0-31999999/3644606637	1898583	100000006
Lung	bytes 0-31999999/9346073087	3091987	79006351
Pancreas	bytes 0-31999999/12518564809	3663388	63498255
Prostate	bytes 0-31999999/10002320152	3196740	66971736
Spleen	bytes 0-31999999/5192026012	2595029	100000088
Stomach	bytes 0-31999999/4355106294	2094785	100000088

# source_to_matrix_log1p_pearson
source_organ	matrix_label	pearson	common_bins	covered_end
Bladder	Bladder	0.9994237922	8969	100000000
Bladder	Limb	0.9603417770	8969	100000000
Bladder	Kidney	0.9373124345	8969	100000000
Bladder	Prostate	0.9283380023	8969	100000000
Bladder	Lung	0.9265574289	8969	100000000
Bladder	Spleen	0.9218308042	8969	100000000
Bladder	Brain	0.9217428247	8969	100000000
Bladder	Heart	0.9171176448	8969	100000000
Bladder	Gill	0.8976056125	8969	100000000
Bladder	Cloaca	0.8268020857	8969	100000000
Bladder	Intestine	0.8138475014	8969	100000000
Bladder	Stomach	0.8005661137	8969	100000000
Bladder	Pancreas	0.7933223781	8969	100000000
Bladder	Liver	0.7903400699	8969	100000000
Bladder	GallBladder	0.7150077946	8969	100000000
Brain	Brain	0.9993902346	5503	61840000
Brain	Kidney	0.9457598634	5503	61840000
Brain	Limb	0.9304656565	5503	61840000
Brain	Bladder	0.9175615702	5503	61840000
Brain	Gill	0.9102836520	5503	61840000
Brain	Prostate	0.9083075266	5503	61840000
Brain	Heart	0.9076817934	5503	61840000
Brain	Lung	0.9003848803	5503	61840000
Brain	Spleen	0.8810922207	5503	61840000
Brain	Intestine	0.8061435707	5503	61840000
Brain	Liver	0.8050317963	5503	61840000
Brain	Stomach	0.8047204429	5503	61840000
Brain	Cloaca	0.7970006221	5503	61840000
Brain	Pancreas	0.7811513467	5503	61840000
Brain	GallBladder	0.7308443641	5503	61840000
Cloaca	Stomach	0.9995317995	8969	100000000
Cloaca	Intestine	0.9293661653	8969	100000000
Cloaca	Cloaca	0.9225428559	8969	100000000
Cloaca	Liver	0.9064717705	8969	100000000
Cloaca	Pancreas	0.8966989315	8969	100000000
Cloaca	Gill	0.8288727286	8969	100000000
Cloaca	Lung	0.8222127908	8969	100000000
Cloaca	Heart	0.8186967732	8969	100000000
Cloaca	Limb	0.8135308082	8969	100000000
Cloaca	GallBladder	0.8074912168	8969	100000000
Cloaca	Prostate	0.8069352091	8969	100000000
Cloaca	Brain	0.8041189133	8969	100000000
Cloaca	Bladder	0.8005715609	8969	100000000
Cloaca	Spleen	0.7615328070	8969	100000000
Cloaca	Kidney	0.7585116126	8969	100000000
GallBladder	GallBladder	0.9996455895	8969	100000000
GallBladder	Pancreas	0.9201736494	8969	100000000
GallBladder	Liver	0.8688764493	8969	100000000
GallBladder	Intestine	0.8532836925	8969	100000000
GallBladder	Stomach	0.8066915176	8969	100000000
GallBladder	Cloaca	0.7977466566	8969	100000000
GallBladder	Brain	0.7548334058	8969	100000000
GallBladder	Kidney	0.7368821662	8969	100000000
GallBladder	Limb	0.7323039724	8969	100000000
GallBladder	Bladder	0.7145878584	8969	100000000
GallBladder	Lung	0.6933197718	8969	100000000
GallBladder	Heart	0.6907015424	8969	100000000
GallBladder	Gill	0.6830786139	8969	100000000
GallBladder	Prostate	0.6549068477	8969	100000000
GallBladder	Spleen	0.6495192463	8969	100000000
Gill	Gill	0.9995564399	5983	66930000
Gill	Lung	0.9588544923	5983	66930000
Gill	Limb	0.9574470870	5983	66930000
Gill	Heart	0.9573698028	5983	66930000
Gill	Prostate	0.9392550131	5983	66930000
Gill	Bladder	0.9379448812	5983	66930000
Gill	Spleen	0.9153578984	5983	66930000
Gill	Brain	0.9057534566	5983	66930000
Gill	Kidney	0.8890692509	5983	66930000
Gill	Cloaca	0.8347711104	5983	66930000
Gill	Stomach	0.8201488019	5983	66930000
Gill	Intestine	0.8167657646	5983	66930000
Gill	Liver	0.7797762464	5983	66930000
Gill	Pancreas	0.7645211794	5983	66930000
Gill	GallBladder	0.6717950009	5983	66930000
Heart	Heart	0.9995618416	7152	80220000
Heart	Lung	0.9630368288	7152	80220000
Heart	Gill	0.9523394434	7152	80220000
Heart	Limb	0.9469583985	7152	80220000
Heart	Bladder	0.9440225152	7152	80220000
Heart	Prostate	0.9202811569	7152	80220000
Heart	Spleen	0.9176304592	7152	80220000
Heart	Brain	0.9021178862	7152	80220000
Heart	Kidney	0.8994195575	7152	80220000
Heart	Cloaca	0.8351469902	7152	80220000
Heart	Intestine	0.8183621943	7152	80220000
Heart	Stomach	0.8089436832	7152	80220000
Heart	Liver	0.7852268425	7152	80220000
Heart	Pancreas	0.7742001585	7152	80220000
Heart	GallBladder	0.6801619724	7152	80220000
Intestine	Intestine	0.9994497073	8969	100000000
Intestine	Pancreas	0.9385313081	8969	100000000
Intestine	Cloaca	0.9298260062	8969	100000000
Intestine	Stomach	0.9296284400	8969	100000000
Intestine	Liver	0.9278818754	8969	100000000
Intestine	GallBladder	0.8545778139	8969	100000000
Intestine	Lung	0.8296502959	8969	100000000
Intestine	Heart	0.8276475382	8969	100000000
Intestine	Limb	0.8238331279	8969	100000000
Intestine	Gill	0.8225615309	8969	100000000
Intestine	Brain	0.8189439526	8969	100000000
Intestine	Bladder	0.8142978582	8969	100000000
Intestine	Prostate	0.8059840918	8969	100000000
Intestine	Kidney	0.7911195742	8969	100000000
Intestine	Spleen	0.7757595801	8969	100000000
Kidney	Kidney	0.9994399126	8559	95740000
Kidney	Brain	0.9416469893	8559	95740000
Kidney	Bladder	0.9367443426	8559	95740000
Kidney	Limb	0.9343102743	8559	95740000
Kidney	Prostate	0.8934910514	8559	95740000
Kidney	Spleen	0.8898454308	8559	95740000
Kidney	Lung	0.8853274664	8559	95740000
Kidney	Heart	0.8783044618	8559	95740000
Kidney	Gill	0.8518252377	8559	95740000
Kidney	Intestine	0.7898740137	8559	95740000
Kidney	Pancreas	0.7867493039	8559	95740000
