# source study: NCBI PRJNA1108679, UUATAC-seq organ panel
# matrix_rows	2430700
# supplied_chunks	63
# observed_chunks	63
# bad_coordinates	0
# source_groups	15
# missing_from_source	None
# extra_in_source	None

# source organ run-depth summaries
organ	run_count	sum_spots	median_spots	min_spots	max_spots	sum_bases	runs
Bladder	3	1142874294	352942199.0	295296370	494635725	178153130699	Axolotl_Bladder_A=352942199;Axolotl_Bladder_B=494635725;Axolotl_Bladder_C=295296370
Brain	3	1909397561	583864619.0	508755427	816777515	297056152985	Axolotl_Brain_A=583864619;Axolotl_Brain_B=816777515;Axolotl_Brain_C=508755427
Cloaca	3	825749186	298116163.0	195834871	331798152	125017737347	Axolotl_Cloaca_A=298116163;Axolotl_Cloaca_B=195834871;Axolotl_Cloaca_C=331798152
GallBladder	3	1104756810	396779775.0	264331977	443645058	169375066295	Axolotl_GallBladder_C=443645058;Axolotl_GallBladder_A=396779775;Axolotl_GallBladder_B=264331977
Gill	1	983842577	983842577.0	983842577	983842577	151697398370	Axolotl_Gill=983842577
Heart	1	852986594	852986594.0	852986594	852986594	132434048653	Axolotl_Heart=852986594
Intestine	3	1298779403	497279249.0	298042353	503457801	198634852215	Axolotl_Intestine_C=503457801;Axolotl_Intestine_B=298042353;Axolotl_Intestine_A=497279249
Kidney	3	1270648774	388955054.0	353063284	528630436	193490997207	Axolotl_Kidney_C=353063284;Axolotl_Kidney_B=528630436;Axolotl_Kidney_A=388955054
Limb	3	1953847124	627218393.0	490945320	835683411	294313047774	Axolotl_Limb_C=490945320;Axolotl_Limb_B=835683411;Axolotl_Limb_A=627218393
Liver	3	797645624	302189142.0	192768480	302688002	121270809921	Axolotl_Liver_B=192768480;Axolotl_Liver_C=302189142;Axolotl_Liver_A=302688002
Lung	1	789157773	789157773.0	789157773	789157773	122719973862	Axolotl_Lung=789157773
Pancreas	3	2653308798	980952992.0	636208256	1036147550	398069341811	Axolotl_Pancreas_C=1036147550;Axolotl_Pancreas_B=636208256;Axolotl_Pancreas_A=980952992
Prostate	3	1484997818	451155150.0	396811441	637031227	235300894252	Axolotl_Prostate_A=451155150;Axolotl_Prostate_B=637031227;Axolotl_Prostate_C=396811441
Spleen	3	788542278	244735461.0	209397413	334409404	124811115659	Axolotl_Spleen_C=209397413;Axolotl_Spleen_B=334409404;Axolotl_Spleen_A=244735461
Stomach	3	853086576	310556203.0	198616925	343913448	131550312307	Axolotl_Stomach_B=198616925;Axolotl_Stomach_A=310556203;Axolotl_Stomach_C=343913448

# matrix totals and ratios to source depth summaries
organ	matrix_total	source_sum	ratio_to_sum	source_median	ratio_to_median
Bladder	701506327	1142874294	0.61380882	352942199.0	1.9875955
Brain	1168148790	1909397561	0.61178919	583864619.0	2.0007186
Cloaca	484000505	825749186	0.58613501	298116163.0	1.6235299
GallBladder	565994637	1104756810	0.51232509	396779775.0	1.4264705
Gill	1094125058	983842577	1.1120936	983842577.0	1.1120936
Heart	868549497	852986594	1.0182452	852986594.0	1.0182452
Intestine	699794434	1298779403	0.53880931	497279249.0	1.4072464
Kidney	745602917	1270648774	0.58678915	388955054.0	1.9169385
Limb	1147926115	1953847124	0.58752095	627218393.0	1.8301857
Liver	398317869	797645624	0.49936696	302189142.0	1.3181078
Lung	877686879	789157773	1.1121818	789157773.0	1.1121818
Pancreas	1398702406	2653308798	0.52715402	980952992.0	1.4258608
Prostate	973845979	1484997818	0.6557895	451155150.0	2.1585611
Spleen	497829833	788542278	0.63132929	244735461.0	2.0341549
Stomach	455786546	853086576	0.53427936	310556203.0	1.4676459

# no-swap robust residuals after a common scale (sum and median models)
model	sum_abs_log_residual	max_abs_log_residual	median_scale
sum	2.685363687	0.6381670106	0.5875209482
median	3.041244083	0.385782159	1.467645926

# best two-label swaps by robust residual score
score	model	label1	label2	max_abs_log_residual	median_scale
2.370982767	sum	GallBladder	Heart	0.5976911478	0.6117891914
2.370982767	sum	GallBladder	Lung	0.5976119018	0.6117891914
2.448542146	median	Brain	Heart	0.385782159	1.467645926
2.453534473	sum	GallBladder	Gill	0.6381670106	0.5875209482
2.471787467	sum	Gill	Intestine	0.5976911478	0.6117891914
2.471787467	sum	Heart	Intestine	0.5976911478	0.6117891914
2.471787467	sum	Intestine	Lung	0.5976119018	0.6117891914
2.478022366	median	Brain	Lung	0.3772325877	1.480247461
2.529574143	sum	Lung	Stomach	0.6380877646	0.5875209482
2.540286001	sum	Spleen	Stomach	0.6394133526	0.5867891523
2.571272146	median	Heart	Limb	0.414238666	1.426470482
2.590814895	median	Limb	Lung	0.3946959166	1.454621819
2.640164321	sum	Cloaca	Lung	0.5976119018	0.6117891914
2.64239514	sum	Heart	Kidney	0.5976911478	0.6117891914
2.64239514	sum	Kidney	Lung	0.5976119018	0.6117891914
2.64239514	sum	Gill	Kidney	0.5976911478	0.6117891914
2.654829567	sum	Cloaca	Spleen	0.6123563942	0.6028826203
2.662406896	sum	Liver	Spleen	0.6381670106	0.5875209482
2.663967383	sum	Liver	Lung	0.6380877646	0.5875209482
2.667900358	sum	Brain	Limb	0.6207036817	0.5978711311
2.680477101	sum	Bladder	Intestine	0.6381670106	0.5875209482
2.685129272	sum	Heart	Stomach	0.6381670106	0.5875209482
2.685363687	sum	Bladder	Lung	0.6380877646	0.5875209482
2.685363687	sum	Cloaca	Stomach	0.6381670106	0.5875209482
2.685363687	sum	Gill	Prostate	0.6381670106	0.5875209482
2.685363687	sum	Intestine	Kidney	0.6381670106	0.5875209482
2.685363687	sum	Liver	Stomach	0.6381670106	0.5875209482
2.685363687	sum	Lung	Prostate	0.7421302691	0.5875209482
2.685363687	sum	Lung	Spleen	0.638947254	0.5875209482
2.685363687	sum	Bladder	Gill	0.6381670106	0.5875209482
