# source_dataset	GEO GSE273356, organ fragment BED files
# chromosome	chr1p_1
# window_end	100000000
# ranged_bytes	32000000
# matrix_bins	8969

# source_range_diagnostics
organ	content_range	decoded_lines	last_source_start
Bladder	bytes 0-31999999/7361379926	1131	146308
Brain	bytes 0-31999999/12048619808	1146	98135
Cloaca	bytes 0-31999999/4079467003	1129	253585
GallBladder	bytes 0-31999999/4980611273	1142	146275
Gill	bytes 0-31999999/11566811496	1153	113205
Heart	bytes 0-31999999/9197722750	1148	144395
Intestine	bytes 0-31999999/6322122007	1140	146225
Kidney	bytes 0-31999999/7755800716	1142	120269
Limb	bytes 0-31999999/11646072827	1147	95437
Liver	bytes 0-31999999/3644606637	1130	209574
Lung	bytes 0-31999999/9346073087	1158	79499
Pancreas	bytes 0-31999999/12518564809	1151	34192
Prostate	bytes 0-31999999/10002320152	1134	144311
Spleen	bytes 0-31999999/5192026012	1127	151214
Stomach	bytes 0-31999999/4355106294	1133	207906

# source_to_matrix_log1p_pearson
source_organ	matrix_label	pearson	common_bins
Bladder	Lung	-0.0252916564	8969
Bladder	Kidney	-0.0259896469	8969
Bladder	Spleen	-0.0265659002	8969
Bladder	Cloaca	-0.0291644660	8969
Bladder	GallBladder	-0.0295953020	8969
Bladder	Limb	-0.0301762896	8969
Bladder	Pancreas	-0.0316767537	8969
Bladder	Gill	-0.0327041697	8969
Bladder	Liver	-0.0329461747	8969
Bladder	Intestine	-0.0336896486	8969
Bladder	Brain	-0.0337388765	8969
Bladder	Stomach	-0.0343247806	8969
Bladder	Bladder	-0.0362265500	8969
Bladder	Prostate	-0.0363967797	8969
Bladder	Heart	-0.0379876203	8969
Brain	Lung	-0.0195452562	8969
Brain	Cloaca	-0.0204980627	8969
Brain	GallBladder	-0.0227912642	8969
Brain	Kidney	-0.0236898507	8969
Brain	Spleen	-0.0245687022	8969
Brain	Pancreas	-0.0252210828	8969
Brain	Liver	-0.0267330940	8969
Brain	Limb	-0.0284398025	8969
Brain	Stomach	-0.0293651084	8969
Brain	Intestine	-0.0296857362	8969
Brain	Gill	-0.0302758694	8969
Brain	Bladder	-0.0311124477	8969
Brain	Heart	-0.0333081048	8969
Brain	Brain	-0.0337215188	8969
Brain	Prostate	-0.0366287110	8969
Cloaca	Cloaca	-0.0382388656	8969
Cloaca	GallBladder	-0.0391122931	8969
Cloaca	Liver	-0.0397400192	8969
Cloaca	Spleen	-0.0399945498	8969
Cloaca	Lung	-0.0402237081	8969
Cloaca	Pancreas	-0.0437207519	8969
Cloaca	Stomach	-0.0449932002	8969
Cloaca	Intestine	-0.0471491733	8969
Cloaca	Kidney	-0.0476876378	8969
Cloaca	Gill	-0.0507132694	8969
Cloaca	Limb	-0.0510923549	8969
Cloaca	Prostate	-0.0513963418	8969
Cloaca	Brain	-0.0534212661	8969
Cloaca	Heart	-0.0542884105	8969
Cloaca	Bladder	-0.0561864045	8969
GallBladder	Lung	-0.0256686512	8969
GallBladder	Cloaca	-0.0278520843	8969
GallBladder	GallBladder	-0.0278727869	8969
GallBladder	Kidney	-0.0278932506	8969
GallBladder	Spleen	-0.0281580668	8969
GallBladder	Pancreas	-0.0300857824	8969
GallBladder	Liver	-0.0316842207	8969
GallBladder	Limb	-0.0317259890	8969
GallBladder	Intestine	-0.0326864155	8969
GallBladder	Stomach	-0.0334081994	8969
GallBladder	Gill	-0.0337840633	8969
GallBladder	Brain	-0.0363959345	8969
GallBladder	Bladder	-0.0381084105	8969
GallBladder	Prostate	-0.0382710300	8969
GallBladder	Heart	-0.0393383330	8969
Gill	Lung	-0.0190318179	8969
Gill	Cloaca	-0.0196939944	8969
Gill	GallBladder	-0.0220052901	8969
Gill	Kidney	-0.0238622783	8969
Gill	Pancreas	-0.0244893013	8969
Gill	Spleen	-0.0246935247	8969
Gill	Liver	-0.0260860272	8969
Gill	Limb	-0.0286050311	8969
Gill	Stomach	-0.0287116846	8969
Gill	Intestine	-0.0289481296	8969
Gill	Gill	-0.0302454076	8969
Gill	Bladder	-0.0313488535	8969
Gill	Heart	-0.0333411597	8969
Gill	Brain	-0.0343126695	8969
Gill	Prostate	-0.0370149240	8969
Heart	Lung	-0.0276147197	8969
Heart	Kidney	-0.0289273206	8969
Heart	Spleen	-0.0292637353	8969
Heart	Cloaca	-0.0304006208	8969
Heart	GallBladder	-0.0314720237	8969
Heart	Pancreas	-0.0327528866	8969
Heart	Limb	-0.0329676642	8969
Heart	Liver	-0.0338155268	8969
Heart	Gill	-0.0350385575	8969
Heart	Intestine	-0.0351092988	8969
Heart	Stomach	-0.0357303267	8969
Heart	Brain	-0.0371512631	8969
Heart	Prostate	-0.0392367070	8969
Heart	Bladder	-0.0393441693	8969
Heart	Heart	-0.0408618916	8969
Intestine	Lung	-0.0262406838	8969
Intestine	Cloaca	-0.0283378641	8969
Intestine	Kidney	-0.0283644263	8969
Intestine	Spleen	-0.0284938542	8969
Intestine	GallBladder	-0.0289920052	8969
Intestine	Pancreas	-0.0307164043	8969
Intestine	Liver	-0.0318549878	8969
Intestine	Limb	-0.0320601211	8969
Intestine	Intestine	-0.0327264092	8969
Intestine	Stomach	-0.0336788880	8969
Intestine	Gill	-0.0338935995	8969
Intestine	Brain	-0.0365603645	8969
Intestine	Prostate	-0.0384732509	8969
Intestine	Bladder	-0.0386610750	8969
Intestine	Heart	-0.0398730395	8969
Kidney	Lung	-0.0221358159	8969
