StrainNumber	Ratio	N	MeanArea	MeanCircularity	Strain1MeanArea	Strain1MeanCircularity	RelativeAreaDifference	RelativeCircularityDifference	RelativeEuclideanDistance	IsStrain1	IsMixedLabel
1	1:0	3	111959.666667	0.0613333333333	111959.666667	0.0613333333333	0	0	0	true	false
287	1:0	3	10271	0.737333333333	111959.666667	0.0613333333333	0.908261606114	11.0217391304	11.0590990865	false	false
287_98	1000:1	3	45435.3333333	0.302333333333	111959.666667	0.0613333333333	0.594181237886	3.92934782609	3.9740188326	false	true
287_98	100:1	3	74453.6666667	0.111333333333	111959.666667	0.0613333333333	0.33499563831	0.815217391304	0.881363416969	false	true
287_98	10:1	3	184367.333333	0.0423333333333	111959.666667	0.0613333333333	0.646729923574	0.309782608696	0.717094734813	false	true
287_98	1:1	3	43223.6666667	0.197	111959.666667	0.0613333333333	0.613935375537	2.21195652174	2.29557580999	false	true
287_98	1:2	3	26811.3333333	0.389	111959.666667	0.0613333333333	0.760526856398	5.34239130435	5.39625295442	false	true
287_98	1:3	3	18760.6666667	0.607	111959.666667	0.0613333333333	0.832433703804	8.89673913043	8.93559807882	false	true
287_98	2:1	3	87056.6666667	0.0963333333333	111959.666667	0.0613333333333	0.222428314959	0.570652173913	0.612468986061	false	true
287_98	3:1	3	89125.3333333	0.0856666666667	111959.666667	0.0613333333333	0.203951422983	0.396739130435	0.446092053902	false	true
287_98	4:1	3	152298	0.055	111959.666667	0.0613333333333	0.360293439006	0.103260869565	0.374798838545	false	true
287_98	500:1	3	10046.3333333	0.818666666667	111959.666667	0.0613333333333	0.910268281137	12.347826087	12.3813326188	false	true
287_98	50:1	3	93919	0.095	111959.666667	0.0613333333333	0.161135408882	0.548913043478	0.572075300372	false	true
287_98	5:1	3	118086.333333	0.0666666666667	111959.666667	0.0613333333333	0.0547220874184	0.0869565217391	0.102742121471	false	true
98	1:0	3	14535.6666667	0.49	111959.666667	0.0613333333333	0.870170507832	6.98913043478	7.04309171793	false	false
