query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	7.91412243241171e-06	196	119	14	0.117647058823529	0.0714285714285714	GO:0001666	GO:BP	response to hypoxia	12886	364	GO:0006950,GO:0036293
query_1	TRUE	7.91412243241171e-06	206	119	14	0.117647058823529	0.0679611650485437	GO:0036293	GO:BP	response to decreased oxygen levels	12886	8921	GO:0070482
query_1	TRUE	1.82331550162146e-05	227	119	14	0.117647058823529	0.0616740088105727	GO:0070482	GO:BP	response to oxygen levels	12886	15030	GO:0009628
query_1	TRUE	0.000476667554259232	398	119	16	0.134453781512605	0.0402010050251256	GO:0005975	GO:BP	carbohydrate metabolic process	12886	1760	GO:0044238
query_1	TRUE	0.000802327706620727	192	119	11	0.092436974789916	0.0572916666666667	GO:0005996	GO:BP	monosaccharide metabolic process	12886	1780	GO:0005975,GO:0044281
query_1	TRUE	0.00889496401960001	74	119	6	0.0504201680672269	0.0810810810810811	GO:0006096	GO:BP	glycolytic process	12886	1855	GO:0006090,GO:0006091,GO:0009060,GO:0016052,GO:0019364,GO:0046032,GO:0046034,GO:0046496
query_1	TRUE	0.00889496401960001	102	119	7	0.0588235294117647	0.0686274509803922	GO:0009261	GO:BP	ribonucleotide catabolic process	12886	3270	GO:0009166,GO:0009259,GO:1901136
query_1	TRUE	0.00889496401960001	96	119	7	0.0588235294117647	0.0729166666666667	GO:0006090	GO:BP	pyruvate metabolic process	12886	1852	GO:0032787
query_1	TRUE	0.00889496401960001	174	119	9	0.0756302521008403	0.0517241379310345	GO:0019318	GO:BP	hexose metabolic process	12886	5347	GO:0005996
query_1	TRUE	0.00889496401960001	23	119	4	0.0336134453781513	0.173913043478261	GO:0032376	GO:BP	positive regulation of cholesterol transport	12886	7042	GO:0030301,GO:0032373,GO:0032374
query_1	TRUE	0.00889496401960001	390	119	13	0.109243697478992	0.0333333333333333	GO:0032787	GO:BP	monocarboxylic acid metabolic process	12886	7321	GO:0019752
query_1	TRUE	0.00889496401960001	107	119	7	0.0588235294117647	0.0654205607476635	GO:0036294	GO:BP	cellular response to decreased oxygen levels	12886	8922	GO:0036293,GO:0071453
query_1	TRUE	0.00889496401960001	23	119	4	0.0336134453781513	0.173913043478261	GO:0032373	GO:BP	positive regulation of sterol transport	12886	7039	GO:0015918,GO:0032370,GO:0032371
query_1	TRUE	0.00889496401960001	727	119	19	0.159663865546218	0.0261348005502063	GO:0009628	GO:BP	response to abiotic stimulus	12886	3392	GO:0050896
query_1	TRUE	0.00889496401960001	374	119	13	0.109243697478992	0.0347593582887701	GO:0044283	GO:BP	small molecule biosynthetic process	12886	10248	GO:0009058,GO:0044281
query_1	TRUE	0.00889496401960001	136	119	8	0.0672268907563025	0.0588235294117647	GO:0006006	GO:BP	glucose metabolic process	12886	1790	GO:0019318
query_1	TRUE	0.00889496401960001	183	119	9	0.0756302521008403	0.0491803278688525	GO:1901136	GO:BP	carbohydrate derivative catabolic process	12886	19877	GO:0009056,GO:1901135
query_1	TRUE	0.00889496401960001	100	119	7	0.0588235294117647	0.07	GO:0071456	GO:BP	cellular response to hypoxia	12886	15552	GO:0001666,GO:0033554,GO:0036294
query_1	TRUE	0.00896963002959771	2	119	2	0.0168067226890756	1	GO:0071376	GO:BP	cellular response to corticotropin-releasing hormone stimulus	12886	15492	GO:0043435,GO:0071375
