metric	value
analysis	two-sample isoform usage effect sizes; no p-values
sampleA_total_Salmon_NumReads	187811
sampleB_total_Salmon_NumReads	186682
sampleA_nonzero_transcripts	16952
sampleB_nonzero_transcripts	17107
quant_transcripts_joined_to_GENCODE	384354
genes_ranked	1458
min_gene_reads_each_sample	20
min_abs_usage_delta	0.25
candidate_gene_count	740
top_candidate_gene_symbol	SPG11
top_candidate_gene_id	ENSG00000104133.16
top_candidate_transcript	ENST00000683186
top_candidate_max_abs_usage_delta	1
