metric	value
analysis	splice-compatible transcript effect sizes; no p-values
sampleA_sam_records	189586
sampleA_mapped_primary	189586
sampleA_assigned_reads	166345
sampleA_ambiguous_reads_fractionally_split	129940
sampleA_unassigned_reads	23241
sampleB_sam_records	188538
sampleB_mapped_primary	188538
sampleB_assigned_reads	165283
sampleB_ambiguous_reads_fractionally_split	129047
sampleB_unassigned_reads	23255
reference_transcripts_with_exons	196520
reference_genes_with_multiple_transcripts	22207
genes_ranked_min_reads_each_sample	438
min_gene_reads_each_sample	50.0
min_abs_usage_delta	0.5
candidate_gene_count	1
top_candidate_gene_symbol	DEFB110
top_candidate_gene_id	ENSG00000203970.3
top_candidate_max_abs_usage_delta	1.000000
top_candidate_robust_score	13.892444
top_candidate_top_transcript	ENST00000371148.2
