# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
1	ENSG00000104133.16	SPG11	4	22.001	23	1	1	ENST00000683186	0	1	0	23	0	14.8128	7.95075	1
2	ENSG00000203970.4	DEFB110	2	198	202	1	1	ENST00000371148	0	1	0	202	0	6485.29	11.0802	1
3	ENSG00000254087.8	LYN	3	83	78	1	1	ENST00000519728	0	1	0	78	0	65.4786	9.70847	1
4	ENSG00000171848.16	RRM2	3	77	90	1	1	ENST00000304567	1	0	77	0	109.346	0	-9.68119	-1
5	ENSG00000149428.21	HYOU1	2	65	67	1	1	ENST00000532519	0	1	0	67	0	76.9545	9.48944	1
6	ENSG00000110367.14	DDX6	2	63	72	1	1	ENST00000534980	0	1	0	72	0	57.8094	9.59314	1
7	ENSG00000111679.17	PTPN6	3	63	64	1	1	ENST00000318974	1	0	63	0	140.822	0	-9.39208	-1
8	ENSG00000196305.19	IARS1	4	63	63	1	1	ENST00000443024	1	0	63	0	63.5745	0	-9.39208	-1
9	ENSG00000155660.11	PDIA4	3	61	88	1	1	ENST00000652332	0	1	0	88	0	165.004	9.88231	1
10	ENSG00000165732.14	DDX21	2	82	57	1	1	ENST00000354185	1	0	82	0	79.3546	0	-9.77185	-1
11	ENSG00000198624.13	CCDC69	3	66	55	1	1	ENST00000355417	1	0	66	0	89.557	0	-9.45909	-1
12	ENSG00000152332.16	UHMK1	3	52	65	1	1	ENST00000489294	1	0	52	0	26.8459	0	-9.11569	-1
13	ENSG00000112697.17	TMEM30A	2	49	50	1	1	ENST00000230461	1	0	49	0	50.2179	0	-9.03012	-1
14	ENSG00000197102.14	DYNC1H1	2	53	49	1	1	ENST00000645149	0	1	0	49	0	16.6562	9.0388	1
15	ENSG00000101265.16	RASSF2	2	48	46	1	1	ENST00000379376	0	1	0	46	0	43.1432	8.94783	1
16	ENSG00000121210.16	TMEM131L	3	52	46	1	1	ENST00000409959	0	1	0	46	0	45.6469	8.94783	1
17	ENSG00000198961.10	PJA2	3	47	44	1	1	ENST00000361189	0	1	0	44	0	45.0842	8.88383	1
18	ENSG00000020633.19	RUNX3	3	41	46	1	1	ENST00000338888	1	0	41	0	44.6433	0	-8.7735	-1
19	ENSG00000116133.13	DHCR24	2	41	51	1	1	ENST00000371269	1	0	41	0	43.9708	0	-8.7735	-1
20	ENSG00000055917.17	PUM2	2	39	44	1	1	ENST00000338086	1	0	39	0	28.419	0	-8.70152	-1
21	ENSG00000090861.17	AARS1	3	45	39	1	1	ENST00000676211	0	1	0	39	0	59.7987	8.7102	1
22	ENSG00000156515.25	HK1	3	39	41	1	1	ENST00000359426	0	1	0	41	0	57.7265	8.78218	1
23	ENSG00000166181.13	API5	3	40	39	1	1	ENST00000378852	0	1	0	39	0	53.1352	8.7102	1
24	ENSG00000152102.18	FAM168B	2	37	42	1	1	ENST00000389915	0	1	0	42	0	38.2293	8.81687	1
25	ENSG00000168918.14	INPP5D	3	37	43	1	1	ENST00000445964	1	0	37	0	33.9745	0	-8.62576	-1
26	ENSG00000048828.18	FAM120A	2	45	35	1	1	ENST00000277165	0	1	0	35	0	33.642	8.55447	1
27	ENSG00000112118.20	MCM3	2	46	34	1	1	ENST00000596288	1	0	46	0	69.728	0	-8.93915	-1
28	ENSG00000197442.11	MAP3K5	2	34	39	1	1	ENST00000359015	1	0	34	0	29.5974	0	-8.50409	-1
29	ENSG00000102158.22	MAGT1	3	36	33	1	1	ENST00000358075	0	1	0	33	0	41.0175	8.46981	1
30	ENSG00000164091.12	WDR82	2	33	35	1	1	ENST00000296490	0	1	0	35	0	40.9272	8.55447	1
31	ENSG00000173692.14	PSMD1	3	34	33	1	1	ENST00000678460	1	0	34	0	48.2827	0	-8.50409	-1
32	ENSG00000122884.13	P4HA1	2	32	36	1	1	ENST00000307116	1	0	32	0	55.1842	0	-8.41687	-1
33	ENSG00000124201.15	ZNFX1	3	32	32	1	1	ENST00000371752	0	1	0	32	0	21.6926	8.42555	1
34	ENSG00000064666.15	CNN2	2	31	39	1	1	ENST00000263097	0	1	0	39	0	96.9248	8.7102	1
35	ENSG00000112851.16	ERBIN	2	31	37	1	1	ENST00000699002	0	1	0	37	0	28.8106	8.63443	1
36	ENSG00000124422.12	USP22	2	31	33	1	1	ENST00000261497	1	0	31	0	26.811	0	-8.37121	-1
37	ENSG00000150093.20	ITGB1	3	32	31	1	1	ENST00000488427	0	1	0	31	0	42.3212	8.37988	1
38	ENSG00000189057.11	FAM111B	3	31	35	1	1	ENST00000411426	1	0	31	0	42.7988	0	-8.37121	-1
39	ENSG00000142599.20	RERE	4	31	30	1	1	ENST00000400908	1	0	31	0	17.0666	0	-8.37121	-1
40	ENSG00000145833.16	DDX46	3	30	33	1	1	ENST00000354283	1	0	30	0	35.8857	0	-8.32405	-1
41	ENSG00000162434.14	JAK1	3	29	33	1	1	ENST00000672179	1	0	29	0	26.5886	0	-8.27529	-1
42	ENSG00000165025.15	SYK	2	41	29	1	1	ENST00000375746	0	1	0	29	0	28.8745	8.28396	1
43	ENSG00000179295.19	PTPN11	3	40	29	1	1	ENST00000687906	0	1	0	29	0	23.8234	8.28396	1
44	ENSG00000067057.19	PFKP	2	28	34	1	1	ENST00000381125	0	1	0	34	0	67.5348	8.51276	1
45	ENSG00000077150.21	NFKB2	3	28	31	1	1	ENST00000189444	1	0	28	0	43.3037	0	-8.22483	-1
46	ENSG00000079785.16	DDX1	2	28	35	1	1	ENST00000676916	0	1	0	35	0	73.2841	8.55447	1
47	ENSG00000100697.17	DICER1	3	41	28	1	1	ENST00000675540	0	1	0	28	0	13.076	8.2335	1
48	ENSG00000198492.16	YTHDF2	2	28	28	1	1	ENST00000373812	0	1	0	28	0	52.9855	8.2335	1
49	ENSG00000160633.13	SAFB	3	34.329	27.263	1	1	ENST00000592224	1	0	34.329	0	53.0532	0	-8.51794	-1
50	ENSG00000028137.19	TNFRSF1B	2	27	32	1	1	ENST00000376259	1	0	27	0	33.5563	0	-8.17254	-1
51	ENSG00000084676.16	NCOA1	2	27	35	1	1	ENST00000395856	0	1	0	35	0	25.1113	8.55447	1
52	ENSG00000100393.16	EP300	2	27	31	1	1	ENST00000263253	0	1	0	31	0	17.1537	8.37988	1
53	ENSG00000110075.15	PPP6R3	2	34	27	1	1	ENST00000265636	1	0	34	0	31.9618	0	-8.50409	-1
54	ENSG00000113161.17	HMGCR	4	27	30	1	1	ENST00000287936	1	0	27	0	26.947	0	-8.17254	-1
55	ENSG00000197312.13	DDI2	2	27	38	1	1	ENST00000480945	0	1	0	38	0	17.216	8.67281	1
56	ENSG00000198677.13	SKIC3	3	36	27	1	1	ENST00000698490	1	0	36	0	28.3618	0	-8.58633	-1
57	ENSG00000058673.17	ZC3H11A	3	38.188	26.815	1	1	ENST00000367210	0	1	0	26.815	0	22.3318	8.17133	1
58	ENSG00000112237.13	CCNC	4	28	26	1	1	ENST00000520429	1	0	28	0	62.8506	0	-8.22483	-1
59	ENSG00000131238.18	PPT1	3	39	26	1	1	ENST00000642050	1	0	39	0	81.9038	0	-8.70152	-1
60	ENSG00000133226.19	SRRM1	4	26	29	1	1	ENST00000705663	1	0	26	0	30.765	0	-8.11829	-1
61	ENSG00000178252.19	WDR6	2	27	25.717	1	1	ENST00000448293	1	0	27	0	36.883	0	-8.17254	-1
62	ENSG00000132305.22	IMMT	2	25	33	1	1	ENST00000254636	0	1	0	33	0	65.9091	8.46981	1
63	ENSG00000167081.18	PBX3	4	25	31	1	1	ENST00000373489	0	1	0	31	0	56.4882	8.37988	1
64	ENSG00000170242.19	USP47	2	25	28	1	1	ENST00000339865	0	1	0	28	0	17.5609	8.2335	1
65	ENSG00000185627.19	PSMD13	6	28.001	25	1	1	ENST00000532097	0	1	0	25	0	88.116	8.07058	1
66	ENSG00000187605.17	TET3	2	29	25	1	1	ENST00000305799	1	0	29	0	11.2902	0	-8.27529	-1
67	ENSG00000080603.17	SRCAP	3	32	24.524	1	1	ENST00000411466	0	1	0	24.524	0	9.93059	8.04295	1
68	ENSG00000173757.11	STAT5B	3	30.658	24.42	1	1	ENST00000698809	1	0	30.658	0	27.6105	0	-8.35525	-1
69	ENSG00000065000.20	AP3D1	2	24	26	1	1	ENST00000643116	1	0	24	0	21.2915	0	-8.00324	-1
70	ENSG00000067955.15	CBFB	3	26	24	1	1	ENST00000290858	0	1	0	24	0	39.2746	8.01191	1
71	ENSG00000110422.12	HIPK3	3	24	27	1	1	ENST00000379016	1	0	24	0	14.4494	0	-8.00324	-1
72	ENSG00000124406.17	ATP8A1	3	31	24	1	1	ENST00000264449	0	1	0	24	0	14.2314	8.01191	1
73	ENSG00000132294.15	EFR3A	2	27	24	1	1	ENST00000254624	1	0	27	0	22.2522	0	-8.17254	-1
74	ENSG00000159592.11	GPBP1L1	3	26	24	1	1	ENST00000290795	1	0	26	0	33.1626	0	-8.11829	-1
75	ENSG00000169032.11	MAP2K1	3	24	39	1	1	ENST00000691937	1	0	24	0	46.7054	0	-8.00324	-1
76	ENSG00000180448.11	ARHGAP45	3	24	32	1	1	ENST00000313093	1	0	24	0	25.4894	0	-8.00324	-1
77	ENSG00000205937.12	RNPS1	4	23.999	30	1	1	ENST00000397086	0	1	0	30	0	77.8366	8.33272	1
78	ENSG00000071626.17	DAZAP1	3	23	28	1	1	ENST00000233078	1	0	23	0	50.7998	0	-7.94209	-1
79	ENSG00000112992.18	NNT	2	23	23	1	1	ENST00000653251	1	0	23	0	25.8817	0	-7.94209	-1
80	ENSG00000135677.11	GNS	3	23	27	1	1	ENST00000418919	1	0	23	0	21.2334	0	-7.94209	-1
81	ENSG00000139697.14	SBNO1	2	25	23	1	1	ENST00000267176	1	0	25	0	9.82338	0	-8.06191	-1
82	ENSG00000142230.13	SAE1	3	23	24	1	1	ENST00000596995	1	0	23	0	52.9347	0	-7.94209	-1
83	ENSG00000149187.19	CELF1	3	23	38	1	1	ENST00000687097	0	1	0	38	0	22.7532	8.67281	1
84	ENSG00000165916.9	PSMC3	3	24	23	1	1	ENST00000602866	0	1	0	23	0	96.6593	7.95075	1
85	ENSG00000168259.17	DNAJC7	3	23	23.968	1	1	ENST00000674214	1	0	23	0	68.1323	0	-7.94209	-1
86	ENSG00000171603.18	CLSTN1	2	24	23	1	1	ENST00000435891	1	0	24	0	28.6444	0	-8.00324	-1
87	ENSG00000186469.9	GNG2	4	23	27	1	1	ENST00000556766	0	1	0	27	0	38.3468	8.18121	1
88	ENSG00000163939.19	PBRM1	5	25.213	22.001	1	1	ENST00000707071	1	0	25.213	0	13.9132	0	-8.07411	-1
89	ENSG00000005889.16	ZFX	2	22	30	1	1	ENST00000304543	1	0	22	0	12.7649	0	-7.87822	-1
90	ENSG00000076685.19	NT5C2	4	22	23.893	1	1	ENST00000404739	1	0	22	0	28.6947	0	-7.87822	-1
91	ENSG00000077235.18	GTF3C1	2	22	28	1	1	ENST00000356183	1	0	22	0	13.7391	0	-7.87822	-1
92	ENSG00000089053.13	ANAPC5	5	27.999	22	1	1	ENST00000261819	0	1	0	22	0	44.6768	7.88688	1
93	ENSG00000100266.19	PACSIN2	3	24	22	1	1	ENST00000263246	0	1	0	22	0	34.5981	7.88688	1
94	ENSG00000133872.14	SARAF	3	22	29	1	1	ENST00000256255	1	0	22	0	53.0933	0	-7.87822	-1
95	ENSG00000138821.14	SLC39A8	2	22	22	1	1	ENST00000394833	1	0	22	0	31.4509	0	-7.87822	-1
96	ENSG00000143702.17	CEP170	2	23	22	1	1	ENST00000366543	1	0	23	0	15.1686	0	-7.94209	-1
97	ENSG00000145685.14	LHFPL2	2	23	22	1	1	ENST00000380345	0	1	0	22	0	21.9651	7.88688	1
98	ENSG00000168016.15	TRANK1	3	22	26	1	1	ENST00000429976	0	1	0	26	0	11.9936	8.12695	1
99	ENSG00000122674.12	CCZ1	2	22	21.135	1	1	ENST00000325974	0	1	0	21.135	0	46.8507	7.82926	1
100	ENSG00000075292.20	ZNF638	3	21	23	1	1	ENST00000264447	0	1	0	23	0	17.4039	7.95075	1
101	ENSG00000100342.22	APOL1	3	28	21	1	1	ENST00000319136	1	0	28	0	43.4926	0	-8.22483	-1
102	ENSG00000117724.15	CENPF	2	21	32	1	1	ENST00000366955	1	0	21	0	8.93462	0	-7.8114	-1
103	ENSG00000127616.22	SMARCA4	3	21	29	1	1	ENST00000643549	1	0	21	0	16.7389	0	-7.8114	-1
104	ENSG00000153207.16	AHCTF1	3	24	21	1	1	ENST00000648844	1	0	24	0	11.8697	0	-8.00324	-1
105	ENSG00000155380.13	SLC16A1	2	21	26	1	1	ENST00000369626	0	1	0	26	0	35.0291	8.12695	1
106	ENSG00000156030.14	MIDEAS	2	21	34	1	1	ENST00000394071	1	0	21	0	12.0069	0	-7.8114	-1
107	ENSG00000166734.20	GOLM2	2	30	21	1	1	ENST00000299957	1	0	30	0	34.4114	0	-8.32405	-1
