Epigenome ID (EID)	ORDER	GROUP	COLOR	Epigenome Mnemonic	Standardized Epigenome name
E017	1	IMR90	#E41A1C	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line
E002	2	ESC	#924965	ESC.WA7	ES-WA7 Cells
E008	3	ESC	#924965	ESC.H9	H9 Cells
E001	4	ESC	#924965	ESC.I3	ES-I3 Cells
E015	5	ESC	#924965	ESC.HUES6	HUES6 Cells
E014	6	ESC	#924965	ESC.HUES48	HUES48 Cells
E016	7	ESC	#924965	ESC.HUES64	HUES64 Cells
E003	8	ESC	#924965	ESC.H1	H1 Cells
E024	9	ESC	#924965	ESC.4STAR	ES-UCSF4  Cells
E020	10	iPSC	#69608A	IPSC.20B	iPS-20b Cells
E019	11	iPSC	#69608A	IPSC.18	iPS-18 Cells
E018	12	iPSC	#69608A	IPSC.15b	iPS-15b Cells
E021	13	iPSC	#69608A	IPSC.DF.6.9	iPS DF 6.9 Cells
E022	14	iPSC	#69608A	IPSC.DF.19.11	iPS DF 19.11 Cells
E007	15	ES-deriv	#4178AE	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells
E009	16	ES-deriv	#4178AE	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells
E010	17	ES-deriv	#4178AE	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells
E013	18	ES-deriv	#4178AE	ESDR.CD56.MESO	hESC Derived CD56+ Mesoderm Cultured Cells
E012	19	ES-deriv	#4178AE	ESDR.CD56.ECTO	hESC Derived CD56+ Ectoderm Cultured Cells
E011	20	ES-deriv	#4178AE	ESDR.CD184.ENDO	hESC Derived CD184+ Endoderm Cultured Cells
E004	21	ES-deriv	#4178AE	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells
E005	22	ES-deriv	#4178AE	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells
E006	23	ES-deriv	#4178AE	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells
E062	24	Blood & T-cell	#55A354	BLD.PER.MONUC.PC	Primary mononuclear cells from peripheral blood
