E002	2	ESC	#924965	ESC.WA7	ES-WA7 Cells
E008	3	ESC	#924965	ESC.H9	H9 Cells
E001	4	ESC	#924965	ESC.I3	ES-I3 Cells
E015	5	ESC	#924965	ESC.HUES6	HUES6 Cells
E014	6	ESC	#924965	ESC.HUES48	HUES48 Cells
E016	7	ESC	#924965	ESC.HUES64	HUES64 Cells
E003	8	ESC	#924965	ESC.H1	H1 Cells
E024	9	ESC	#924965	ESC.4STAR	ES-UCSF4  Cells
E013	18	ES-deriv	#4178AE	ESDR.CD56.MESO	hESC Derived CD56+ Mesoderm Cultured Cells
E012	19	ES-deriv	#4178AE	ESDR.CD56.ECTO	hESC Derived CD56+ Ectoderm Cultured Cells
E011	20	ES-deriv	#4178AE	ESDR.CD184.ENDO	hESC Derived CD184+ Endoderm Cultured Cells
E071	64	Brain	#C5912B	BRN.HIPP.MID	Brain Hippocampus Middle
E074	65	Brain	#C5912B	BRN.SUB.NIG	Brain Substantia Nigra
E068	66	Brain	#C5912B	BRN.ANT.CAUD	Brain Anterior Caudate
E069	67	Brain	#C5912B	BRN.CING.GYR	Brain Cingulate Gyrus
E072	68	Brain	#C5912B	BRN.INF.TMP	Brain Inferior Temporal Lobe
E067	69	Brain	#C5912B	BRN.ANG.GYR	Brain Angular Gyrus
E073	70	Brain	#C5912B	BRN.DL.PRFRNTL.CRTX	Brain_Dorsolateral_Prefrontal_Cortex
E070	71	Brain	#C5912B	BRN.GRM.MTRX	Brain Germinal Matrix
E082	72	Brain	#C5912B	BRN.FET.F	Fetal Brain Female
E081	73	Brain	#C5912B	BRN.FET.M	Fetal Brain Male
E066	108	Other	#999999	LIV.ADLT	Liver
