BSS00004	Cancer	A172	Brain	GLIOBLASTOMA			adult	53	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO934VEN	A172
BSS00039	Mesench	adipocyte_originated_from_mesenchymal_stem_cell	Adipose	ADIPOCYTE FROM MSC			adult	41,59	year	female	in vitro differentiated cells	#B65C73	Tissue	Roadmap 2015	ENCDO477HWZ,ENCDO535TMW	adipocyte originated from mesenchymal stem cell
BSS00043	Adipose	adipose_tissue_male_adult_(34_years)		ADIPOSE TISSUE			adult	34	year	male	tissue	#AF5B39	Tissue	Roadmap (New)	ENCDO058AAA	adipose tissue male adult (34 years)
BSS00045	Endocrine	adrenal_gland_embryo_(96_days)		ADRENAL GLAND			embryonic	96	day	unknown/mixed	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO226BUZ	adrenal gland embryo (96 days)
BSS00046	Endocrine	adrenal_gland_female_adult_(30_years)		ADRENAL GLAND			adult	30	year	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO424HVB	adrenal gland female adult (30 years)
BSS00050	Endocrine	adrenal_gland_female_embryo_(108_days)		ADRENAL GLAND			embryonic	108	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO012PVK	adrenal gland female embryo (108 days)
BSS00051	Endocrine	adrenal_gland_female_embryo_(113_days)		ADRENAL GLAND			embryonic	113	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO676JUB	adrenal gland female embryo (113 days)
BSS00052	Endocrine	adrenal_gland_female_embryo_(85_days)		ADRENAL GLAND			embryonic	85	day	female	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO527XLA	adrenal gland female embryo (85 days)
BSS00054	Endocrine	adrenal_gland_male_adult_(34_years)		ADRENAL GLAND			adult	34	year	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO058AAA	adrenal gland male adult (34 years)
BSS00057	Endocrine	adrenal_gland_male_embryo_(101_day)		ADRENAL GLAND			embryonic	101	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO148CGW	adrenal gland male embryo (101 day)
BSS00058	Endocrine	adrenal_gland_male_embryo_(108_days)		ADRENAL GLAND			embryonic	108	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO132ASK	adrenal gland male embryo (108 days)
BSS00059	Endocrine	adrenal_gland_male_embryo_(85_days)		ADRENAL GLAND			embryonic	85	day	male	tissue	#99C1FF	Tissue	Roadmap (New)	ENCDO355UBP	adrenal gland male embryo (85 days)
BSS00060	Endocrine	adrenal_gland_male_embryo_(97_days)		ADRENAL GLAND			embryonic	97	day	male	tissue	#99C1FF	Tissue	Roadmap 2015	ENCDO826VAK	adrenal gland male embryo (97 days)
BSS00071	Brain	Ammon_s_horn_male_adult_(84_years)		AMMONS HORN			adult	84	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB	Ammon's horn male adult (84 years)
BSS00074	Placenta & EEM	amnion_male_embryo_(16_weeks)		AMNION			embryonic	16	week	male	tissue	#E10000	Tissue	Roadmap 2015	ENCDO150YZC	amnion male embryo (16 weeks)
BSS00077	Brain	angular_gyrus_female_adult_(75_years)		ANGULAR GYRUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	angular gyrus female adult (75 years)
BSS00078	Brain	angular_gyrus_male_adult_(81_year)		ANGULAR GYRUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	angular gyrus male adult (81 year)
BSS00079	Heart	aorta_female_adult_(30_years)		AORTA			adult	30	year	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO424HVB	aorta female adult (30 years)
BSS00080	Heart	aorta_male_adult_(34_years)		AORTA			adult	34	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO058AAA	aorta male adult (34 years)
BSS00089	Brain	astrocyte		ASTROCYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE 2012	ENCDO916IIE	astrocyte
BSS00090	Brain	astrocyte_of_the_cerebellum		ASTROCYTE CEREBELLUM			unknown/mixed	unknown		unknown/mixed	primary cell	#C5912B	Neural	ENCODE (New)	ENCDO227AAA	astrocyte of the cerebellum
