Unnamed: 0	Group	BSSID	Extended Info	Unnamed: 4	Group.1	BSSID.1	Extended Info.1	Unnamed: 8	Group.2	BSSID.2	Extended Info.2
1	Adipose	BSS00038	ADIPOCYTE	288	Digestive	BSS01654	STOMACH	575.0	Kidney	BSS01533	RENAL PELVIS
2	Adipose	BSS00043	ADIPOSE TISSUE	289	Digestive	BSS01651	STOMACH	576.0	Kidney	BSS01497	RENAL PELVIS
3	Adipose	BSS01671	ADIPOSE TISSUE	290	Digestive	BSS01639	STOMACH	577.0	Kidney	BSS01498	RENAL PELVIS
4	Adipose	BSS01665	ADIPOSE TISSUE	291	Digestive	BSS01284	STOMACH MUCOSA	578.0	Kidney	BSS01153	RENAL PELVIS
5	Adipose	BSS01666	ADIPOSE TISSUE	292	Digestive	BSS01848	TRANSVERSE COLON	579.0	Kidney	BSS01534	RENAL PELVIS
6	Adipose	BSS01668	ADIPOSE TISSUE	293	Digestive	BSS01851	TRANSVERSE COLON	580.0	Kidney	BSS01499	RENAL PELVIS
7	Adipose	BSS01669	ADIPOSE TISSUE	294	Digestive	BSS01849	TRANSVERSE COLON	581.0	Liver	BSS00553	HEPATIC STELLATE CELL
8	Adipose	BSS01667	ADIPOSE TISSUE	295	Digestive	BSS01850	TRANSVERSE COLON	582.0	Liver	BSS00554	HEPATOCYTE
9	Adipose	BSS01394	OMENTAL FAT PAD	296	Endocrine	BSS00282	ENDOCRINE PANCREAS	583.0	Liver	BSS00511	LIVER
10	Adipose	BSS01393	OMENTAL FAT PAD	297	Endocrine	BSS00283	ENDOCRINE PANCREAS	584.0	Liver	BSS01164	LIVER
11	Blood & T-cell	BSS00188	CD4 T CELL	298	Endocrine	BSS00284	ENDOCRINE PANCREAS	585.0	Liver	BSS01170	LIVER
12	Blood & T-cell	BSS00185	CD4 T CELL	299	Endocrine	BSS00281	ENDOCRINE PANCREAS	586.0	Liver	BSS01169	LIVER
13	Blood & T-cell	BSS00189	CD4 T CELL	300	Endocrine	BSS01403	OVARY	587.0	Liver	BSS01159	LIVER
14	Blood & T-cell	BSS00190	CD4 T CELL	301	Endocrine	BSS01401	OVARY	588.0	Liver	BSS01168	LIVER
15	Blood & T-cell	BSS00183	CD4 T CELL	302	Endocrine	BSS01402	OVARY	589.0	Liver	BSS01519	LIVER
16	Blood & T-cell	BSS00186	CD4 T CELL	303	Endocrine	BSS01399	OVARY	590.0	Liver	BSS01158	LIVER
17	Blood & T-cell	BSS00191	CD4 T CELL	304	Endocrine	BSS01719	TESTIS	591.0	Lung	BSS01195	LUNG
18	Blood & T-cell	BSS00192	CD4 T CELL	305	Endocrine	BSS01718	TESTIS	592.0	Lung	BSS01142	LUNG
19	Blood & T-cell	BSS00274	CD4 T CELL	306	Endocrine	BSS01715	TESTIS	593.0	Lung	BSS01525	LUNG
20	Blood & T-cell	BSS00195	CD8 T CELL	307	Endocrine	BSS00052	ADRENAL GLAND	594.0	Lung	BSS01143	LUNG
21	Blood & T-cell	BSS00196	CD8 T CELL	308	Endocrine	BSS00050	ADRENAL GLAND	595.0	Lung	BSS01526	LUNG
22	Blood & T-cell	BSS00198	CD8 T CELL	309	Endocrine	BSS00051	ADRENAL GLAND	596.0	Lung	BSS01137	LUNG
23	Blood & T-cell	BSS00200	CD8 T CELL	310	Endocrine	BSS00059	ADRENAL GLAND	597.0	Lung	BSS01520	LUNG
24	Blood & T-cell	BSS00193	CD8 T CELL	311	Endocrine	BSS00057	ADRENAL GLAND	598.0	Lung	BSS01138	LUNG
25	Blood & T-cell	BSS00194	CD8 T CELL	312	Endocrine	BSS00058	ADRENAL GLAND	599.0	Lung	BSS01521	LUNG
26	Blood & T-cell	BSS00197	CD8 T CELL	313	Endocrine	BSS00045	ADRENAL GLAND	600.0	Lung	BSS01139	LUNG
27	Blood & T-cell	BSS01420	MONONUCLEAR CELL	314	Endocrine	BSS00046	ADRENAL GLAND	601.0	Lung	BSS01192	LUNG
28	Blood & T-cell	BSS01421	MONONUCLEAR CELL	315	Endocrine	BSS00047	ADRENAL GLAND	602.0	Lung	BSS01522	LUNG
29	Blood & T-cell	BSS01279	MONONUCLEAR CELL	316	Endocrine	BSS00048	ADRENAL GLAND	603.0	Lung	BSS01140	LUNG
30	Blood & T-cell	BSS01419	MONONUCLEAR CELL	317	Endocrine	BSS00054	ADRENAL GLAND	604.0	Lung	BSS01523	LUNG
31	Blood & T-cell	BSS01423	MONONUCLEAR CELL	318	Endocrine	BSS00060	ADRENAL GLAND	605.0	Lung	BSS01141	LUNG
32	Blood & T-cell	BSS01424	MONONUCLEAR CELL	319	Endocrine	BSS00055	ADRENAL GLAND	606.0	Lung	BSS01524	LUNG
33	Blood & T-cell	BSS01347	NAIVE T CELL	320	Endocrine	BSS00056	ADRENAL GLAND	607.0	Lung	BSS01205	LUNG
34	Blood & T-cell	BSS01348	NAIVE T CELL	321	Endocrine	BSS01831	THYROID GLAND	608.0	Lung	BSS01147	LUNG
35	Blood & T-cell	BSS01346	NAIVE T CELL	322	Endocrine	BSS01834	THYROID GLAND	609.0	Lung	BSS01529	LUNG
36	Blood & T-cell	BSS01688	T CELL	323	Endocrine	BSS01832	THYROID GLAND	610.0	Lung	BSS01148	LUNG
37	Blood & T-cell	BSS01687	T CELL	324	Endocrine	BSS01835	THYROID GLAND	611.0	Lung	BSS01149	LUNG
38	Blood & T-cell	BSS01689	T CELL	325	Endothelial	BSS00143	BRAIN MICROVASCULAR ENDOTHELIAL CELL	612.0	Lung	BSS01530	LUNG
39	Blood & T-cell	BSS01684	T CELL	326	Endothelial	BSS00387	GLOMERULUS ENDOTHELIAL CELL	613.0	Lung	BSS01202	LUNG
40	Blood & T-cell	BSS01691	T1 CELL	327	Endothelial	BSS01077	KIDNEY CAPILLARY ENDOTHELIAL CELL	614.0	Lung	BSS01144	LUNG
41	Blood & T-cell	BSS01692	T1 CELL	328	Endothelial	BSS01206	LUNG MICROVASCULAR ENDOTHELIAL CELL	615.0	Lung	BSS01527	LUNG
42	Blood & T-cell	BSS01690	T1 CELL	329	Endothelial	BSS01465	PULMONARY ARTERY ENDOTHELIAL CELL	616.0	Lung	BSS01203	LUNG
43	Blood & T-cell	BSS01693	T17 CELL	330	Endothelial	BSS00298	UMBILICAL VEIN ENDOTHELIAL CELL	617.0	Lung	BSS01145	LUNG
44	Blood & T-cell	BSS01694	T17 CELL	331	Endothelial	BSS00296	UMBILICAL VEIN ENDOTHELIAL CELL	618.0	Lung	BSS01146	LUNG
45	Blood & T-cell	BSS01695	T17 CELL	332	Endothelial	BSS00258	DERMIS BLOOD VESSEL ENDOTHELIAL CELL	619.0	Lung	BSS01528	LUNG
46	Blood & T-cell	BSS01697	T2 CELL	333	Endothelial	BSS00260	DERMIS BLOOD VESSEL ENDOTHELIAL CELL	620.0	Lung	BSS01204	LUNG
47	Blood & T-cell	BSS01698	T2 CELL	334	Endothelial	BSS00262	DERMIS LYMPHATIC VESSEL ENDOTHELIAL CELL	621.0	Lung	BSS01189	LUNG
48	Blood & T-cell	BSS01696	T2 CELL	335	Endothelial	BSS00264	DERMIS LYMPHATIC VESSEL ENDOTHELIAL CELL	622.0	Lung	BSS01188	LUNG
49	Blood & T-cell	BSS01478	TREG CELL	336	Epithelial	BSS00704	BONE MARROW EPITHELIAL CELL	623.0	Lung	BSS01187	LUNG
50	Blood & T-cell	BSS01479	TREG CELL	337	Epithelial	BSS00218	CHOROID PLEXUS EPITHELIAL CELL	624.0	Lung	BSS01198	LUNG
51	Blood & T-cell	BSS01480	TREG CELL	338	Epithelial	BSS00223	COLON EPITHELIAL CELL	625.0	Lung	BSS01186	LUNG
52	Bone	BSS00084	BONE ARM	339	Epithelial	BSS00307	ESOPHAGUS EPITHELIAL CELL	626.0	Lung	BSS01869	LUNG
53	Bone	BSS00330	BONE FEMUR	340	Epithelial	BSS00743	IRIS PIGMENT EPITHELIAL CELL	627.0	Lung	BSS01196	LUNG
54	Bone	BSS01154	BONE LEG	341	Epithelial	BSS01385	NON-PIGMENTED CILIARY EPITHELIAL CELL	628.0	Lung	BSS01197	LUNG
55	Bone	BSS00705	BONE MARROW STROMA	342	Epithelial	BSS01092	GLOMERULUS EPITHELIAL CELL	629.0	Lung	BSS01871	LUNG
56	Bone	BSS01397	OSTEOBLAST	343	Epithelial	BSS00389	GLOMERULUS VISCERAL EPITHELIAL CELL	630.0	Lung	BSS01201	LUNG
57	Brain	BSS00071	AMMONS HORN	344	Epithelial	BSS01080	KIDNEY EPITHELIAL CELL	631.0	Lung	BSS01190	LUNG
58	Brain	BSS00077	ANGULAR GYRUS	345	Epithelial	BSS00310	PROXIMAL TUBULE EPITHELIAL CELL	632.0	Lung	BSS01870	LUNG
59	Brain	BSS00078	ANGULAR GYRUS	346	Epithelial	BSS00701	PROXIMAL TUBULE EPITHELIAL CELL	633.0	Lung	BSS01193	LUNG
60	Brain	BSS00089	ASTROCYTE	347	Epithelial	BSS01491	RENAL CORTICAL EPITHELIAL CELL	634.0	Lymphoblastoid	BSS00403	LYMPHOBLASTOID CELL LINE
61	Brain	BSS00090	ASTROCYTE CEREBELLUM	348	Epithelial	BSS01505	RETINAL EPITHELIAL CELL	635.0	Lymphoblastoid	BSS00462	LYMPHOBLASTOID CELL LINE
62	Brain	BSS00091	ASTROCYTE HIPPOCAMPUS	349	Epithelial	BSS01103	TUBULE CELL	636.0	Lymphoblastoid	BSS00456	LYMPHOBLASTOID CELL LINE
63	Brain	BSS00092	ASTROCYTE SPINAL CORD	350	Epithelial	BSS01102	TUBULE CELL	637.0	Lymphoblastoid	BSS00457	LYMPHOBLASTOID CELL LINE
64	Brain	BSS00135	BRAIN	351	Epithelial	BSS00153	BRONCHIAL EPITHELIAL CELL	638.0	Lymphoblastoid	BSS00438	LYMPHOBLASTOID CELL LINE
65	Brain	BSS00136	BRAIN	352	Epithelial	BSS00150	BRONCHIAL EPITHELIAL CELL	639.0	Lymphoblastoid	BSS00473	LYMPHOBLASTOID CELL LINE
66	Brain	BSS00129	BRAIN	353	Epithelial	BSS00703	PANCREATIC DUCT EPITHELIAL CELL	640.0	Lymphoblastoid	BSS00471	LYMPHOBLASTOID CELL LINE
67	Brain	BSS00130	BRAIN	354	Epithelial	BSS00075	AMNION EPITHELIAL CELL	641.0	Lymphoblastoid	BSS00474	LYMPHOBLASTOID CELL LINE
68	Brain	BSS00131	BRAIN	355	Epithelial	BSS00308	PROSTATE EPITHELIAL CELL	642.0	Lymphoblastoid	BSS00404	LYMPHOBLASTOID CELL LINE
69	Brain	BSS00133	BRAIN	356	Epithelial	BSS00309	PROSTATE EPITHELIAL CELL	643.0	Lymphoblastoid	BSS00405	LYMPHOBLASTOID CELL LINE
70	Brain	BSS00138	BRAIN	357	Epithelial	BSS01539	PROSTATE EPITHELIAL CELL	644.0	Lymphoblastoid	BSS00472	LYMPHOBLASTOID CELL LINE
71	Brain	BSS00139	BRAIN	358	Epithelial	BSS01538	PROSTATE EPITHELIAL CELL	645.0	Lymphoblastoid	BSS00428	LYMPHOBLASTOID CELL LINE
72	Brain	BSS00140	BRAIN	359	Epithelial	BSS01217	BREAST EPITHELIAL CELL	646.0	Lymphoblastoid	BSS00454	LYMPHOBLASTOID CELL LINE
73	Brain	BSS00142	BRAIN	360	Epithelial	BSS01224	BREAST EPITHELIAL CELL	647.0	Lymphoblastoid	BSS00427	LYMPHOBLASTOID CELL LINE
74	Brain	BSS00126	BRAIN	361	Epithelial	BSS01225	BREAST EPITHELIAL CELL	648.0	Lymphoblastoid	BSS00452	LYMPHOBLASTOID CELL LINE
75	Brain	BSS00127	BRAIN	362	Epithelial	BSS00356	FORESKIN KERATINOCYTE	649.0	Lymphoblastoid	BSS00395	LYMPHOBLASTOID CELL LINE
76	Brain	BSS00125	BRAIN	363	Epithelial	BSS00357	FORESKIN KERATINOCYTE	650.0	Lymphoblastoid	BSS00439	LYMPHOBLASTOID CELL LINE
77	Brain	BSS00132	BRAIN	364	Epithelial	BSS00358	FORESKIN KERATINOCYTE	651.0	Mesench	BSS00039	ADIPOCYTE FROM MSC
78	Brain	BSS00134	BRAIN	365	Epithelial	BSS00359	FORESKIN KERATINOCYTE	652.0	Mesench	BSS00250	AMNIOTIC FLUID FROM MSC
79	Brain	BSS00141	BRAIN	366	Epithelial	BSS00360	FORESKIN KERATINOCYTE	653.0	Mesench	BSS00279	EMBRYONIC FACIAL PROMINENCE
80	Brain	BSS00174	CAUDATE NUCLEUS	367	Epithelial	BSS00362	FORESKIN KERATINOCYTE	654.0	Mesench	BSS01260	MESENCHYMAL STEM CELL
81	Brain	BSS00175	CAUDATE NUCLEUS	368	Epithelial	BSS00363	FORESKIN KERATINOCYTE	655.0	Muscle	BSS01293	ARM MUSCLE
82	Brain	BSS00173	CAUDATE NUCLEUS	369	Epithelial	BSS00364	FORESKIN KERATINOCYTE	656.0	Muscle	BSS01294	ARM MUSCLE
83	Brain	BSS00201	CEREBELLAR CORTEX	370	Epithelial	BSS00365	FORESKIN KERATINOCYTE	657.0	Muscle	BSS01290	ARM MUSCLE
84	Brain	BSS00205	CEREBELLUM	371	Epithelial	BSS00366	FORESKIN KERATINOCYTE	658.0	Muscle	BSS00352	ARM MUSCLE
85	Brain	BSS00207	CEREBELLUM	372	Epithelial	BSS00355	FORESKIN KERATINOCYTE	659.0	Muscle	BSS01291	ARM MUSCLE
86	Brain	BSS00206	CEREBELLUM	373	Epithelial	BSS00361	FORESKIN KERATINOCYTE	660.0	Muscle	BSS01292	ARM MUSCLE
87	Brain	BSS00219	CINGULATE GYRUS	374	Epithelial	BSS00367	FORESKIN KERATINOCYTE	661.0	Muscle	BSS01303	ARM MUSCLE
88	Brain	BSS00220	CINGULATE GYRUS	375	Epithelial	BSS00354	FORESKIN KERATINOCYTE	662.0	Muscle	BSS01304	ARM MUSCLE
89	Brain	BSS00369	FRONTAL CORTEX	376	Epithelial	BSS01071	KERATINOCYTE	663.0	Muscle	BSS01295	ARM MUSCLE
90	Brain	BSS00371	FRONTAL CORTEX	377	Epithelial	BSS01068	KERATINOCYTE	664.0	Muscle	BSS01296	ARM MUSCLE
91	Brain	BSS00385	GERMINAL MATRIX	378	Epithelial	BSS01209	MAMMARY EPITHELIAL CELL	665.0	Muscle	BSS01297	ARM MUSCLE
92	Brain	BSS00386	GLOBUS PALLIDUS	379	Epithelial	BSS01211	MAMMARY EPITHELIAL CELL	666.0	Muscle	BSS01298	ARM MUSCLE
93	Brain	BSS01125	HIPPOCAMPUS	380	Epithelial	BSS01213	MAMMARY EPITHELIAL CELL	667.0	Muscle	BSS01299	ARM MUSCLE
94	Brain	BSS01126	HIPPOCAMPUS	381	Epithelial	BSS01185	MAMMARY LUMINAL EPITHELIAL CELL	668.0	Muscle	BSS01300	ARM MUSCLE
95	Brain	BSS01124	HIPPOCAMPUS	382	Epithelial	BSS01340	MAMMARY MYOEPITHELIAL CELL	669.0	Muscle	BSS01301	ARM MUSCLE
96	Brain	BSS00729	INFERIOR PARIETAL CORTEX	383	Epithelial	BSS01341	MAMMARY MYOEPITHELIAL CELL	670.0	Muscle	BSS01289	ARM MUSCLE
97	Brain	BSS01250	MEDULLA OBLONGATA	384	Epithelial	BSS01181	SKIN LEG	671.0	Muscle	BSS01308	BACK MUSCLE
98	Brain	BSS01270	MIDBRAIN	385	Epithelial	BSS01182	SKIN LEG	672.0	Muscle	BSS01309	BACK MUSCLE
99	Brain	BSS01271	MIDDLE FRONTAL AREA	386	Epithelial	BSS01587	SKIN OF BODY	673.0	Muscle	BSS01305	BACK MUSCLE
100	Brain	BSS01272	MIDDLE FRONTAL AREA	387	ES-deriv	BSS00112	BIPOLAR NEURON DERIV	674.0	Muscle	BSS01306	BACK MUSCLE
101	Brain	BSS01273	MIDDLE FRONTAL GYRUS	388	ES-deriv	BSS01366	NEURAL DERIV	675.0	Muscle	BSS01307	BACK MUSCLE
102	Brain	BSS01388	OCCIPITAL LOBE	389	ES-deriv	BSS00272	NEURAL PROGENITOR DERIV	676.0	Muscle	BSS01315	BACK MUSCLE
103	Brain	BSS01451	PONS	390	ES-deriv	BSS01372	NEURAL PROGENITOR DERIV	677.0	Muscle	BSS01316	BACK MUSCLE
104	Brain	BSS01452	POSTERIOR CINGULATE CORTEX	391	ES-deriv	BSS01370	NEURAL PROGENITOR DERIV	678.0	Muscle	BSS01317	BACK MUSCLE
105	Brain	BSS01469	PUTAMEN	392	ES-deriv	BSS01371	NEURAL PROGENITOR DERIV	679.0	Muscle	BSS01310	BACK MUSCLE
