group	color	category
Adipose	#AF5B39	Tissue
Mesench	#B65C73	Tissue
Sm. Muscle	#F182BC	Tissue
Myosat	#E67326	Tissue
Heart	#D56F80	Tissue
Kidney	#660000	Tissue
Muscle	#C2655D	Tissue
Digestive	#C58DAA	Tissue
Urinary	#A783D6	Tissue
Lung	#D9D2E9	Tissue
Eye	#EAD1DC	Neural
PNS	#DDB796	Neural
Brain	#C5912B	Neural
Neurosph	#FFD924	Neural
Placenta & EEM	#E10000	Tissue
Stromal	#FF720C	Primary Cell
Epithelial	#FF9D0C	Primary Cell
Endothelial	#FFCA0C	Primary Cell
ESC	#924965	Stem-like
iPSC	#69608A	Stem-like
ES-deriv	#4178AE	Stem-like
Bone	#6FB7EB	Tissue
Liver	#5151E7	Tissue
Reproductive	#3383FF	Tissue
Pancreas	#87A3E1	Tissue
Endocrine	#99C1FF	Tissue
HSC & B-cell	#55A354	Immune
Blood & T-cell	#678C69	Immune
Lymphoblastoid	#4D9C8D	Immune
Spleen	#85CF66	Immune
Thymus	#DAB92E	Immune
Cancer	#000000	Other
Other	#999999	Other
