BSS00277	ESC	ELF-1		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	ENCODE (New)	ENCDO524DZC	ELF-1
BSS00315	ESC	ES-I3		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO840PTG	ES-I3
BSS00478	ESC	H1-hESC		ESC			embryonic	unknown		male	cell line	#924965	Stem-like	Roadmap 2015	ENCDO000AAW	H1-hESC
BSS00483	ESC	H7-hESC		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO221AAA	H7-hESC
BSS00484	ESC	H9		ESC			embryonic	5	day	female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO222AAA	H9
BSS00511	Liver	liver_male_adult_(32 years)		LIVER			adult	32	year	male	tissue	#5151E7	Tissue	Roadmap (New)	ENCDO060AAA	heart left ventricle male adult (32 years)
BSS00556	ES-deriv	hepatocyte_originated_from_H9	Liver	HEPATOCYTE DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO222AAA	hepatocyte originated from H9
BSS00715	ESC	HUES48		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO741IWK	HUES48
BSS00716	ESC	HUES6		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO734LQV	HUES6
BSS00717	ESC	HUES64		ESC			embryonic	unknown		male	cell line	#924965	Stem-like	Roadmap 2015	ENCDO424FTP	HUES64
BSS01159	Liver	liver_female_adult_(25_years)		LIVER			adult	25	year	female	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO776UMN	liver female adult (25 years)
BSS01168	Liver	liver_male_adult_(31_year)		LIVER			adult	31	year	male	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO832GKP	liver male adult (31 year)
BSS01169	Liver	liver_male_adult_(32_years)		LIVER			adult	32	year	male	tissue	#5151E7	Tissue	Roadmap (New)	ENCDO060AAA	liver male adult (32 years)
BSS01170	Liver	liver_male_adult_(78_years)		LIVER			adult	78	year	male	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO232KQV	liver male adult (78 years)
BSS01271	Brain	middle_frontal_area_46_female_adult_(75_years)		MIDDLE FRONTAL AREA			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	middle frontal area 46 female adult (75 years)
BSS01272	Brain	middle_frontal_area_46_male_adult_(81_year)		MIDDLE FRONTAL AREA			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	middle frontal area 46 male adult (81 year)
BSS01866	ESC	UCSF-4		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO499GAU	UCSF-4
