Unnamed: 0	id	mark	(low quality tracks)	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	id.1	mark.1	potential.abswap
1	BSS01365	H3K4me2	47	BSS01857	H3K9ac	93	BSS00734	H3K27ac	1.0	BSS00333	H3K36me3	H3K27ac
2	BSS01104	H3K4me2	48	BSS01832	H3K36me3	94	BSS01715	H3K9me3	2.0	BSS00333	H3K27ac	H3K36me3
3	BSS01365	H3K79me2	49	BSS01841	H3K36me3	95	BSS00325	H3K9me3	3.0	BSS01857	H3K9ac	H3K79me2
4	BSS00556	H3K4me3	50	BSS01424	H3K4me3	96	BSS01850	H3K27me3	4.0	BSS01857	H3K79me2	H3K9ac
5	BSS01104	H3K4me3	51	BSS00055	H3K4me1	97	BSS01407	H3K27me3	5.0	BSS00141	H3K9me3	H3K9ac
6	BSS01263	H3K4me3	52	BSS00087	H3K4me1	98	BSS00381	H3K4me1	6.0	BSS00132	H3K4me1	H3K36me3
7	BSS01815	ATAC-seq	53	BSS00080	H3K4me1	99	BSS00395	H3K27me3	7.0	BSS01420	H3K4me1	H3K4me3
8	BSS01263	H3K4me2	54	BSS00325	H3K36me3	100	BSS00381	H3K9me3				
9	BSS01475	H3K9ac	55	BSS00556	H3K36me3	101	BSS00321	H3K4me1		id	mark	potential.sampswap
10	BSS01196	H3K9ac	56	BSS01340	H3K9ac	102	BSS01424	H3K27ac	1.0	BSS00089	DNase-seq	BSS00339
11	BSS00093	H3K4me3	57	BSS00284	H3K36me3	103	BSS00124	H3K36me3	2.0	BSS00095	DNase-seq	BSS01452
12	BSS01506	ATAC-seq	58	BSS00055	H3K36me3	104	BSS01507	H3K27me3	3.0	BSS00476	DNase-seq	BSS01397
13	BSS01667	H3K9ac	59	BSS00281	H3K4me1	105	BSS01715	H3K36me3	4.0	BSS01397	DNase-seq	BSS00334
14	BSS01480	H3K4me3	60	BSS01543	H3K36me3	106	BSS01209	H3K27me3	5.0	BSS00112	H3K27ac	BSS01366
15	BSS00484	H3K79me2	61	BSS01835	H3K4me1	107	BSS01832	H3K9me3	6.0	BSS01261	H3K27ac	BSS00387
16	BSS01715	ATAC-seq	62	BSS01080	H3K36me3	108	BSS01850	H3K36me3	7.0	BSS01538	H3K27ac	BSS00703
17	BSS00123	H3K4me3	63	BSS00056	H3K4me3	109	BSS01411	H3K36me3	8.0	BSS00762	H3K27me3	BSS00547
18	BSS01834	H3K4me3	64	BSS01389	H2AFZ	110	BSS01370	H3K36me3	9.0	BSS01211	H3K27me3	BSS01224
19	BSS01835	H3K4me3	65	BSS00493	H3K36me3	111	BSS01366	H3K9ac	10.0	BSS00377	H3K36me3	BSS01715
20	BSS01366	H3K79me2	66	BSS01835	H3K36me3	112	BSS01870	H3K27me3	11.0	BSS00361	H3K4me1	BSS00365
21	BSS01402	ATAC-seq	67	BSS00284	H3K4me1	113	BSS01834	H3K4me1	12.0	BSS00762	H3K4me1	BSS01038
22	BSS01371	H3K9ac	68	BSS01389	H4K20me1	114	BSS01887	H3K36me3	13.0	BSS01197	H3K4me1	BSS01144
23	BSS01370	H3K9ac	69	BSS00054	H3K4me1	115	BSS01831	H3K9me3	14.0	BSS00093	H3K4me3	BSS00702
24	BSS00284	H3K4me3	70	BSS00122	H3K9me3	116	BSS01630	H3K4me1	15.0	BSS01104	H3K4me3	BSS01365
25	BSS00197	H3K9ac	71	BSS00123	H3K9me3	117	BSS01459	H3K9me3	16.0	BSS01480	H3K4me3	BSS00702
26	BSS01341	H3K9ac	72	BSS01850	H3K9me3	118	BSS01424	H3K9me3	17.0	BSS00368	H3K9ac	BSS00207
27	BSS00122	ATAC-seq	73	BSS01213	H4K20me1	119	BSS00377	H3K36me3	18.0	BSS00517	H3K9ac	BSS00502
28	BSS00055	H3K27ac	74	BSS00093	H3K36me3	120	BSS00159	H3K27me3	19.0	BSS00190	H3K9me3	BSS00196
29	BSS01870	H3K4me3	75	BSS00132	H3K4me1	121	BSS01507	H3K4me1				
