metric	value
result_lines	296
result_md5	864b06501a76b44b3037072e25c99725
encode_md5	b7a2a2b82c9b5aeedd1e489e1e0f8ad2
encode_peak_count	192882
top_peak_count	1000
top_chr1_peak_count	93
top_qvalue_min	629.70111
top_threshold_tie_count	1
ucsc_api_item_count	511
ucsc_candidate_coordinate_count	313
vcf_sample_count	3202
vcf_samples_already_lexicographic	True
vcf_queried_record_count	317
vcf_output_record_count	295
vcf_excluded_wrong_position	10
vcf_excluded_non_snv	12
vcf_observed_allele_discordant	30
vcf_duplicate_output_coordinates	0
gt_0_0	701790
gt_0_1	150978
gt_1_1	90586
gt_missing_or_other	1236
bcftools_stderr	
