	disease	cell_type	individual
Control_#1_B_cell	normal	B cell	Control #1
Control_#2_B_cell	normal	B cell	Control #2
Control_#3_B_cell	normal	B cell	Control #3
SARS_CoV2_pos_Mild_B_cell	COVID-19	B cell	SARS-CoV2 pos Mild
SARS_CoV2_pos_Severe_#1_B_cell	COVID-19	B cell	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_B_cell	COVID-19	B cell	SARS-CoV2 pos Severe #2
SARS_CoV2_pos_Severe_#3_B_cell	COVID-19	B cell	SARS-CoV2 pos Severe #3
Control_#1_T_cell	normal	T cell	Control #1
Control_#2_T_cell	normal	T cell	Control #2
Control_#3_T_cell	normal	T cell	Control #3
SARS_CoV2_pos_Mild_T_cell	COVID-19	T cell	SARS-CoV2 pos Mild
SARS_CoV2_pos_Severe_#1_T_cell	COVID-19	T cell	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_T_cell	COVID-19	T cell	SARS-CoV2 pos Severe #2
SARS_CoV2_pos_Severe_#3_T_cell	COVID-19	T cell	SARS-CoV2 pos Severe #3
Control_#3_erythroid_lineage_cell	normal	erythroid lineage cell	Control #3
SARS_CoV2_pos_Mild_erythroid_lineage_cell	COVID-19	erythroid lineage cell	SARS-CoV2 pos Mild
SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	COVID-19	erythroid lineage cell	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	COVID-19	erythroid lineage cell	SARS-CoV2 pos Severe #2
Control_#1_monocyte	normal	monocyte	Control #1
Control_#2_monocyte	normal	monocyte	Control #2
Control_#3_monocyte	normal	monocyte	Control #3
SARS_CoV2_pos_Mild_monocyte	COVID-19	monocyte	SARS-CoV2 pos Mild
SARS_CoV2_pos_Severe_#1_monocyte	COVID-19	monocyte	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_monocyte	COVID-19	monocyte	SARS-CoV2 pos Severe #2
Control_#1_neutrophil	normal	neutrophil	Control #1
Control_#2_neutrophil	normal	neutrophil	Control #2
Control_#3_neutrophil	normal	neutrophil	Control #3
SARS_CoV2_pos_Mild_neutrophil	COVID-19	neutrophil	SARS-CoV2 pos Mild
SARS_CoV2_pos_Severe_#1_neutrophil	COVID-19	neutrophil	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_neutrophil	COVID-19	neutrophil	SARS-CoV2 pos Severe #2
Control_#1_platelet	normal	platelet	Control #1
Control_#3_platelet	normal	platelet	Control #3
SARS_CoV2_pos_Severe_#1_platelet	COVID-19	platelet	SARS-CoV2 pos Severe #1
SARS_CoV2_pos_Severe_#2_platelet	COVID-19	platelet	SARS-CoV2 pos Severe #2
