cell_type	eye	n_cells	mean_inflammation	median_inflammation	mean_type_score
astrocyte	0	38	5.7693182021624307e-05	-0.02386053960643455	0.3101657995257461
astrocyte	1	48	-0.021190532983166796	-0.032318959971945845	0.24576920078198117
microglial cell	0	24	-0.021384488339929845	-0.026709506889144502	0.13225015170714824
microglial cell	1	28	-0.028623401438631218	-0.03659227329170059	0.1440793100056062
RPE cell	0	33	-0.011208997980951511	-0.04156450565926775	0.372569882353663
RPE cell	1	36	-0.020696435381949686	-0.033550321697472095	0.28404169178009037
cone cell	0	325	-0.038665335558090756	-0.052567992277279166	1.0984929206223892
cone cell	1	421	-0.031323818869265545	-0.04442342249807232	1.001433906351959
rod cell	0	6297	-0.014983613056683758	-0.029097398440680187	1.321961098629008
rod cell	1	6826	-0.011791793539018075	-0.02742341142857003	1.2620704889252081
horizontal cell	0	219	-0.025532164043186017	-0.04264495176877192	0.8464605859053552
horizontal cell	1	229	-0.020499115612710075	-0.03434159426029794	0.8176797168631393
bipolar cell	0	995	-0.027790318302675088	-0.037824573402175446	0.7410320648544796
bipolar cell	1	1059	-0.02565758798413404	-0.03579317830607504	0.7026330652853809
RGC	0	70	-0.03507350622404119	-0.04695434608535919	0.2748015766115416
RGC	1	58	-0.02933002874531571	-0.05068954437194702	0.22426919187451233
T cells	0	2	-0.013272834803632842	-0.013272834803632842	0.1371361827850342
T cells	1	2	-0.040556271233873994	-0.040556271233873994	0.1565683152940538
macrophage	0	15	-0.0005506788800379044	-0.034455263065192886	0.060978576700348106
macrophage	1	21	-0.016841140476318416	-0.026750363902242964	0.035755367135063075
Schwann cell	0	17	0.03331777415790168	0.005092265175069874	0.19590656590929217
Schwann cell	1	15	-0.04348632614525171	-0.04778304319821283	0.15881193683412337
Pericyte	0	10	-0.02351408869284554	-0.04128444266462613	0.26077490994663144
Pericyte	1	24	-0.021700777618457557	-0.03061299811384243	0.2379715392945403
B cell	0	27	-0.030624115090926857	-0.04360302177842012	0.06592744623437341
B cell	1	23	-0.018402540330411884	-0.038171294218074824	0.057466733827107194
fibroblast	0	22	-0.024246919151990922	-0.03319824291374497	0.2893239265608065
fibroblast	1	36	-0.029989088097252523	-0.046635923978083124	0.22644849809010825
muller glia cell	0	542	0.09412353692470697	0.09164530161794987	1.0094537270656059
muller glia cell	1	517	-0.019305122563244577	-0.03691936255934721	0.8348085965417175
endothelial cell	0	10	0.045250028713994826	0.01651495555289495	0.45113858017240255
endothelial cell	1	12	-0.018969786219139872	-0.03321926006095443	0.33628156784602575
