gene	wilcoxon_score	logfoldchanges	pvals	pvals_adj
CCL5	18.078909	9.264041	4.672362203635061e-73	1.7101312901524689e-68
DCBLD2	17.554403	2.579107	5.504234186569422e-69	1.007302377313137e-64
RGS16	17.386066	2.9260292	1.052106667899358e-67	1.28360520505948e-63
ABI1	16.727093	2.4377074	8.320039229461593e-63	7.613043895938094e-59
LYN	16.598856	3.243224	7.103117898691506e-62	5.199624364200157e-58
RAF1	16.510818	2.4753988	3.0669155695834798e-61	1.8708696127054157e-57
HPN	16.302887	7.6367087	9.413957739554578e-60	4.922289531791959e-56
SLC1A2	16.215452	3.0150237	3.9218194416921523e-59	1.7942814173171808e-55
MXD1	15.961692	2.4994285	2.3624147006958133e-57	9.607415606685273e-54
IL15	15.846721	2.6297007	1.481117188964726e-56	5.421037023329794e-53
SLC7A2	15.789536	3.2584639	3.6727046172457223e-56	1.2220423790528243e-52
F3	15.471054	2.3789954	5.440877755261394e-54	1.6595130560026856e-50
PTGER2	15.431558	30.402525	1.0041670555721248e-53	2.827193723153488e-50
ATP2A2	15.423116	2.6564937	1.1444654742291577e-53	2.9920414873043856e-50
IFNGR2	15.355179	3.0148032	3.2700844180455453e-53	7.979223985658999e-50
PSEN1	15.171566	2.92491	5.4559096710331375e-52	1.2480734366842743e-48
NFKB1	15.110966	2.8377564	1.3711625575196057e-51	2.952112986339711e-48
ATP2B1	15.055992	2.112911	3.153325318466297e-51	6.411936665621384e-48
PTGIR	14.911977	30.166843	2.754744640808525e-50	5.306653084117517e-47
SLC4A4	14.700024	2.783636	6.443695391676158e-49	1.1792284751536953e-45
IFNAR1	14.683844	3.1546035	8.181819561216753e-49	1.426013227429021e-45
KIF1B	14.66686	1.5782892	1.0509851143134283e-48	1.7485048258629906e-45
RNF144B	14.468373	3.1035833	1.9195879764977788e-47	3.0547321533824e-44
EIF2AK2	14.22808	3.2152615	6.1343394462853515e-46	9.355123253062089e-43
OSMR	14.097631	2.9474385	3.9273099044211115e-45	5.749738792468684e-42
PDPN	14.076225	3.2625604	5.317529876919541e-45	7.485650424043543e-42
HIF1A	14.048688	1.3488109	7.847403309960578e-45	1.0637881798069152e-41
ADM	13.793018	3.237694	2.8076270015818307e-43	3.670069853032021e-40
