cell_type	n_eye_0	n_eye_1	mean_inflammation_eye_0	mean_inflammation_eye_1	median_inflammation_eye_0	median_inflammation_eye_1	delta_mean_inflammation_eye1_minus_eye0	abs_delta_mean_inflammation
muller glia cell	542	517	0.09412353692470697	-0.019305122563244577	0.09164530161794987	-0.03691936255934721	-0.11342865948795156	0.11342865948795156
Schwann cell	17	15	0.03331777415790168	-0.04348632614525171	0.005092265175069874	-0.04778304319821283	-0.07680410030315339	0.07680410030315339
endothelial cell	10	12	0.045250028713994826	-0.018969786219139872	0.01651495555289495	-0.03321926006095443	-0.0642198149331347	0.0642198149331347
T cells	2	2	-0.013272834803632842	-0.040556271233873994	-0.013272834803632842	-0.040556271233873994	-0.027283436430241153	0.027283436430241153
astrocyte	38	48	5.7693182021624307e-05	-0.021190532983166796	-0.02386053960643455	-0.032318959971945845	-0.02124822616518842	0.02124822616518842
macrophage	15	21	-0.0005506788800379044	-0.016841140476318416	-0.034455263065192886	-0.026750363902242964	-0.01629046159628051	0.01629046159628051
B cell	27	23	-0.030624115090926857	-0.018402540330411884	-0.04360302177842012	-0.038171294218074824	0.012221574760514973	0.012221574760514973
RPE cell	33	36	-0.011208997980951511	-0.020696435381949686	-0.04156450565926775	-0.033550321697472095	-0.009487437400998175	0.009487437400998175
cone cell	325	421	-0.038665335558090756	-0.031323818869265545	-0.052567992277279166	-0.04442342249807232	0.0073415166888252115	0.0073415166888252115
microglial cell	24	28	-0.021384488339929845	-0.028623401438631218	-0.026709506889144502	-0.03659227329170059	-0.007238913098701373	0.007238913098701373
RGC	70	58	-0.03507350622404119	-0.02933002874531571	-0.04695434608535919	-0.05068954437194702	0.005743477478725483	0.005743477478725483
fibroblast	22	36	-0.024246919151990922	-0.029989088097252523	-0.03319824291374497	-0.046635923978083124	-0.0057421689452616005	0.0057421689452616005
horizontal cell	219	229	-0.025532164043186017	-0.020499115612710075	-0.04264495176877192	-0.03434159426029794	0.005033048430475941	0.005033048430475941
rod cell	6297	6826	-0.014983613056683758	-0.011791793539018075	-0.029097398440680187	-0.02742341142857003	0.003191819517665683	0.003191819517665683
bipolar cell	995	1059	-0.027790318302675088	-0.02565758798413404	-0.037824573402175446	-0.03579317830607504	0.002132730318541047	0.002132730318541047
Pericyte	10	24	-0.02351408869284554	-0.021700777618457557	-0.04128444266462613	-0.03061299811384243	0.0018133110743879834	0.0018133110743879834
