section	group	file	n_terms	n_pairs	mean_patristic_distance
per_tree	animals	1003258at2759.faa.mafft.clipkit.treefile	3	3	1.5591328997999998
per_tree	animals	100698at2759.faa.mafft.clipkit.treefile	3	3	0.47042986953333327
per_tree	animals	1010730at2759.faa.mafft.clipkit.treefile	3	3	1.2812257515333334
per_tree	animals	1014314at2759.faa.mafft.clipkit.treefile	4	6	0.63988531770000001
per_tree	animals	1018517at2759.faa.mafft.clipkit.treefile	4	6	0.56677588683333335
per_tree	animals	1019762at2759.faa.mafft.clipkit.treefile	3	3	1.2219457336666666
per_tree	animals	1038775at2759.faa.mafft.clipkit.treefile	3	3	0.83039013759999991
per_tree	animals	1041560at2759.faa.mafft.clipkit.treefile	3	3	0.80221365933333333
per_tree	animals	1065019at2759.faa.mafft.clipkit.treefile	3	3	1.0825288678666667
per_tree	animals	1079827at2759.faa.mafft.clipkit.treefile	3	3	0.24679564853333333
per_tree	animals	1094121at2759.faa.mafft.clipkit.treefile	3	3	0.75242575826666658
per_tree	animals	1096688at2759.faa.mafft.clipkit.treefile	3	3	0.71925434339999994
per_tree	animals	1112002at2759.faa.mafft.clipkit.treefile	3	3	1.0809956647333334
per_tree	animals	1129824at2759.faa.mafft.clipkit.treefile	3	3	1.2589226904666668
per_tree	animals	1138059at2759.faa.mafft.clipkit.treefile	3	3	0.61597436773333325
per_tree	animals	1157302at2759.faa.mafft.clipkit.treefile	3	3	0.33052243246666663
per_tree	animals	1161199at2759.faa.mafft.clipkit.treefile	3	3	1.022787997
per_tree	animals	1173229at2759.faa.mafft.clipkit.treefile	4	6	1.3465436398166666
per_tree	animals	1193442at2759.faa.mafft.clipkit.treefile	4	6	0.85468011244999997
per_tree	animals	1194691at2759.faa.mafft.clipkit.treefile	3	3	0.58940207833333336
per_tree	animals	1200489at2759.faa.mafft.clipkit.treefile	3	3	1.2634072330666666
per_tree	animals	1217666at2759.faa.mafft.clipkit.treefile	3	3	0.47258090773333333
per_tree	animals	1249159at2759.faa.mafft.clipkit.treefile	4	6	0.81738607278333342
per_tree	animals	1251252at2759.faa.mafft.clipkit.treefile	3	3	0.82079344473333327
per_tree	animals	1260807at2759.faa.mafft.clipkit.treefile	3	3	1.0687310068666667
per_tree	animals	1264469at2759.faa.mafft.clipkit.treefile	3	3	1.4902947420666666
per_tree	animals	1269244at2759.faa.mafft.clipkit.treefile	3	3	1.1610125099333333
per_tree	animals	1269649at2759.faa.mafft.clipkit.treefile	4	6	0.57398094314999992
per_tree	animals	1284731at2759.faa.mafft.clipkit.treefile	3	3	1.0719411247333335
per_tree	animals	1287094at2759.faa.mafft.clipkit.treefile	3	3	0.97962248980000011
per_tree	animals	1287401at2759.faa.mafft.clipkit.treefile	3	3	0.40560412646666671
per_tree	animals	1291729at2759.faa.mafft.clipkit.treefile	3	3	1.2973927757333332
per_tree	animals	1304061at2759.faa.mafft.clipkit.treefile	3	3	0.42110754820000001
per_tree	animals	1338131at2759.faa.mafft.clipkit.treefile	3	3	0.38388545313333333
per_tree	animals	1342242at2759.faa.mafft.clipkit.treefile	4	6	1.6978771859000001
per_tree	animals	1346165at2759.faa.mafft.clipkit.treefile	3	3	1.4446200683333335
per_tree	animals	1346432at2759.faa.mafft.clipkit.treefile	4	6	1.0664543440833334
per_tree	animals	1355894at2759.faa.mafft.clipkit.treefile	3	3	0.38694382373333336
per_tree	animals	1358374at2759.faa.mafft.clipkit.treefile	3	3	0.88338879600000009
per_tree	animals	1364586at2759.faa.mafft.clipkit.treefile	3	3	1.1996138339333331
per_tree	animals	1370285at2759.faa.mafft.clipkit.treefile	3	3	1.2883555197999998
per_tree	animals	1379600at2759.faa.mafft.clipkit.treefile	3	3	0.95813016006666663
per_tree	animals	1382842at2759.faa.mafft.clipkit.treefile	3	3	0.90143612653333338
per_tree	animals	1405073at2759.faa.mafft.clipkit.treefile	4	6	0.34475838495
per_tree	animals	1421503at2759.faa.mafft.clipkit.treefile	3	3	0.43520266699999999
per_tree	animals	1423847at2759.faa.mafft.clipkit.treefile	3	3	0.69811296580000004
per_tree	animals	1428854at2759.faa.mafft.clipkit.treefile	4	6	1.3544034616500003
