cells	leiden
s1_cell1	4
s1_cell2	12
s1_cell3	9
s1_cell4	6
s1_cell5	4
s1_cell6	4
s1_cell7	4
s1_cell8	4
s1_cell9	4
s1_cell10	4
s1_cell11	5
s1_cell12	4
s1_cell13	4
s1_cell14	5
s1_cell15	4
s1_cell16	10
s1_cell17	1
s1_cell18	11
s1_cell19	4
s1_cell20	5
s1_cell21	5
s1_cell22	11
s1_cell23	4
s1_cell24	8
s1_cell25	18
s1_cell26	5
s1_cell27	6
s1_cell28	5
s1_cell29	10
s1_cell30	4
s1_cell31	12
s1_cell32	4
s1_cell33	5
s1_cell34	12
s1_cell35	5
s1_cell36	4
s1_cell37	5
s1_cell38	4
s1_cell39	15
s1_cell40	11
s1_cell41	4
s1_cell42	5
s1_cell43	4
s1_cell44	12
s1_cell45	12
s1_cell46	5
s1_cell47	4
s1_cell48	5
s1_cell49	1
s1_cell50	8
s1_cell51	4
s1_cell52	8
s1_cell53	5
s1_cell54	4
s1_cell55	12
s1_cell56	5
s1_cell57	1
s1_cell58	4
s1_cell59	12
s1_cell60	11
s1_cell61	4
s1_cell62	5
s1_cell63	21
s1_cell64	5
s1_cell65	12
s1_cell66	4
s1_cell67	4
s1_cell68	4
s1_cell69	4
s1_cell70	4
s1_cell71	7
s1_cell72	12
s1_cell73	12
s1_cell74	4
s1_cell75	11
s1_cell76	4
s1_cell77	1
s1_cell78	4
s1_cell79	4
s1_cell80	4
s1_cell81	12
s1_cell82	12
s1_cell83	17
s1_cell84	12
s1_cell85	4
s1_cell86	6
s1_cell87	11
s1_cell88	5
s1_cell89	4
s1_cell90	10
s1_cell91	12
s1_cell92	5
s1_cell93	1
s1_cell94	4
s1_cell95	4
s1_cell96	4
s1_cell97	4
s1_cell98	4
s1_cell99	12
s1_cell100	1
s1_cell101	4
s1_cell102	1
s1_cell103	1
s1_cell104	11
s1_cell105	4
s1_cell106	4
s1_cell107	5
s1_cell108	5
s1_cell109	4
s1_cell110	11
s1_cell111	12
s1_cell112	4
s1_cell113	4
s1_cell114	4
s1_cell115	4
s1_cell116	4
s1_cell117	4
s1_cell118	6
s1_cell119	11
s1_cell120	1
s1_cell121	5
s1_cell122	10
s1_cell123	4
s1_cell124	4
s1_cell125	1
s1_cell126	4
s1_cell127	10
s1_cell128	1
s1_cell129	4
s1_cell130	5
s1_cell131	6
s1_cell132	4
s1_cell133	18
s1_cell134	11
s1_cell135	1
s1_cell136	4
s1_cell137	4
s1_cell138	5
s1_cell139	4
s1_cell140	4
s1_cell141	4
s1_cell142	5
s1_cell143	4
s1_cell144	12
s1_cell145	4
s1_cell146	4
s1_cell147	4
s1_cell148	11
s1_cell149	6
s1_cell150	1
s1_cell151	11
s1_cell152	1
s1_cell153	10
s1_cell154	4
s1_cell155	12
s1_cell156	7
s1_cell157	4
s1_cell158	14
s1_cell159	4
s1_cell160	4
s1_cell161	4
s1_cell162	4
s1_cell163	14
s1_cell164	4
s1_cell165	5
s1_cell166	10
s1_cell167	4
s1_cell168	6
s1_cell169	1
s1_cell170	4
s1_cell171	5
s1_cell172	6
s1_cell173	4
s1_cell174	6
s1_cell175	1
s1_cell176	10
s1_cell177	12
s1_cell178	4
s1_cell179	4
s1_cell180	14
s1_cell181	4
s1_cell182	4
s1_cell183	4
s1_cell184	1
s1_cell185	4
s1_cell186	13
s1_cell187	4
s1_cell188	11
s1_cell189	8
s1_cell190	4
s1_cell191	4
s1_cell192	1
s1_cell193	12
s1_cell194	6
s1_cell195	12
s1_cell196	4
s1_cell197	1
s1_cell198	1
s1_cell199	14
s1_cell200	4
s1_cell201	9
s1_cell202	10
