cell_type_1	cell_type_2	pearson_log2p1
cortex	endodermis	0.94535110
cortex	epidermis	0.93302452
cortex	meristems	0.92203858
cortex	pericycle	0.91067885
cortex	phloem	0.81517854
cortex	provascular	0.90619020
cortex	root_cap	0.88205299
cortex	root_hair	0.91847961
cortex	xylem	0.91936851
endodermis	epidermis	0.90823396
endodermis	meristems	0.90949889
endodermis	pericycle	0.92554960
endodermis	phloem	0.80733334
endodermis	provascular	0.93605539
endodermis	root_cap	0.87115917
endodermis	root_hair	0.89309273
endodermis	xylem	0.92104168
epidermis	meristems	0.91314446
epidermis	pericycle	0.88994527
epidermis	phloem	0.82475000
epidermis	provascular	0.88671542
epidermis	root_cap	0.89032591
epidermis	root_hair	0.94540773
epidermis	xylem	0.91316772
meristems	pericycle	0.89586563
meristems	phloem	0.83214277
meristems	provascular	0.91796521
meristems	root_cap	0.84944703
meristems	root_hair	0.85814575
meristems	xylem	0.88411851
pericycle	phloem	0.82742517
pericycle	provascular	0.93400214
pericycle	root_cap	0.86054230
pericycle	root_hair	0.87903293
pericycle	xylem	0.91323537
phloem	provascular	0.81527377
phloem	root_cap	0.78096373
phloem	root_hair	0.79175021
phloem	xylem	0.81479823
provascular	root_cap	0.84937193
provascular	root_hair	0.85936027
provascular	xylem	0.91352021
root_cap	root_hair	0.86469829
root_cap	xylem	0.89666956
root_hair	xylem	0.89192373
