cell_type	rank	gene_id	specificity_log2	expression	other_mean_log2
cortex	1	TraesCS2D03G0925700	4.948512	277.94	3.175299
cortex	2	TraesCS1A03G0817100	4.945751	402.69	3.711353
cortex	3	TraesCS1D03G0787300	4.902587	864.51	4.854820
cortex	4	TraesCS2B03G1096400	4.855249	113.4	1.982694
cortex	5	TraesCS2A03G0988000	4.821451	269.83	3.259792
cortex	6	TraesCS4D03G0728600	4.560324	66.7	1.520760
cortex	7	TraesCS2B03G1096500	4.529444	181.18	2.979777
cortex	8	TraesCS1D03G0787400	4.476926	624.41	4.811732
cortex	9	TraesCS3A03G0974500	4.350818	241.83	3.572985
cortex	10	TraesCS4D03G0728500	4.345373	177.62	3.135377
cortex	11	TraesCS3B03G1121400	4.311813	136.21	2.788429
cortex	12	TraesCS1D03G0534600	4.204847	203.99	3.474563
cortex	13	TraesCS1A03G0554700	4.201056	415.99	4.502813
cortex	14	TraesCS3D03G0911000	4.190618	530.79	4.864095
cortex	15	TraesCS1B03G0646400	4.074423	749.27	5.476843
cortex	16	TraesCS7B03G1036600	3.993201	64.32	2.036252
cortex	17	TraesCS7D03G1113400	3.973156	46.7	1.602761
cortex	18	TraesCS1B03G0086800	3.969256	157.29	3.337170
cortex	19	TraesCS4B03G0814800	3.921001	532.74	5.138993
cortex	20	TraesCS7A03G1168100	3.856083	25.08	0.848789
cortex	21	TraesCS1A03G0123400	3.847078	42.05	1.580863
cortex	22	TraesCS1A03G0026200	3.735159	90.16	2.775170
cortex	23	TraesCS3B03G1120300	3.656175	238.37	4.246924
cortex	24	TraesCS2B03G1383800LC	3.654991	2226.52	7.466231
cortex	25	TraesCS7B03G1036400	3.637119	43.78	1.847663
cortex	26	TraesCS7D03G1113800	3.613880	23.78	1.017225
cortex	27	TraesCS1D03G0534700	3.554602	528.2	5.493068
cortex	28	TraesCS7D03G1113700	3.513157	47.03	2.072707
cortex	29	TraesCS7B03G1036700	3.452846	20.86	0.997375
cortex	30	TraesCS4B03G0814000	3.433455	19.24	0.905683
cortex	31	TraesCS6B03G0811700	3.370182	51.46	2.342964
cortex	32	TraesCS4A03G0003300	3.322409	18.59	0.969637
cortex	33	TraesCS1A03G0118300	3.301227	76.11	2.967619
cortex	34	TraesCS7B03G1036900	3.259534	16.97	0.907984
cortex	35	TraesCS2D03G1173300	3.252177	84.43	3.164494
cortex	36	TraesCS3D03G0910600	3.234263	21.3	1.244708
cortex	37	TraesCS2B03G1389900	3.214677	19.78	1.162446
cortex	38	TraesCS7A03G0865300	3.190264	18.81	1.117893
cortex	39	TraesCS2D03G1029100	3.155504	23.78	1.475601
cortex	40	TraesCS1D03G0014100	3.140334	15.13	0.871341
cortex	41	TraesCS6B03G0925100	3.127823	45.51	2.411646
cortex	42	TraesCS7B03G1035800	3.117413	12.97	0.686848
cortex	43	TraesCS6D03G0536900	3.056743	34.38	2.088119
cortex	44	TraesCS1B03G0087800	3.047187	108.21	3.723774
cortex	45	TraesCS4D03G0745500	3.015394	30.27	1.951313
cortex	46	TraesCS4D03G0666100	3.009527	30.59	1.971869
cortex	47	TraesCS1A03G0968700LC	3.004256	12.43	0.743131
cortex	48	TraesCS2A03G0987800	2.999703	8.32	0.220627
cortex	49	TraesCS7A03G1345700	2.990656	55.67	2.833857
cortex	50	TraesCS7D03G1271400	2.990002	47.24	2.602156
endodermis	1	TraesCS6A03G0661900	5.446399	448.09	3.364462
endodermis	2	TraesCS3A03G0779600	5.435763	171.53	1.994940
endodermis	3	TraesCS3B03G0898100	5.205104	505.61	3.779627
endodermis	4	TraesCS1B03G0906800	5.109217	83.95	1.299325
endodermis	5	TraesCS3D03G0720200	5.091495	305.58	3.168624
endodermis	6	TraesCS6D03G0550200	5.008205	229.05	2.837599
endodermis	7	TraesCS2B03G0825500	4.919343	209.88	2.800936
endodermis	8	TraesCS1B03G0906900	4.916859	200.55	2.738135
endodermis	9	TraesCS6B03G0815900	4.910292	257.9	3.105960
endodermis	10	TraesCS2D03G0692900	4.908027	275.52	3.203213
endodermis	11	TraesCS2A03G0749000	4.865774	366.04	3.654019
endodermis	12	TraesCS2D03G0265800	4.694967	54.76	1.106192
endodermis	13	TraesCS7B03G0218800	4.689248	627.22	4.605878
endodermis	14	TraesCS1B03G0907000	4.638074	206.6	3.059588
endodermis	15	TraesCS2A03G0926700	4.625633	128.35	2.389503
endodermis	16	TraesCS5B03G0538700	4.613620	144.07	2.566986
endodermis	17	TraesCS2D03G0866300	4.565810	87.23	1.897387
endodermis	18	TraesCS1A03G0789700	4.544706	72.55	1.655948
endodermis	19	TraesCS3D03G0402300	4.528930	172.39	2.908947
endodermis	20	TraesCS7B03G0646000	4.528905	35.41	0.657358
endodermis	21	TraesCS5A03G0526900	4.494088	99.67	2.159402
endodermis	22	TraesCS3B03G0508500	4.480086	282.78	3.668543
endodermis	23	TraesCS3A03G0428900	4.459204	40.08	0.901161
endodermis	24	TraesCS3D03G0402800	4.439490	252.37	3.545612
endodermis	25	TraesCS3A03G0429700	4.416199	826.04	5.275615
endodermis	26	TraesCS6D03G0764800	4.404733	50.61	1.284846
endodermis	27	TraesCS2D03G0230400	4.379085	73.24	1.835040
endodermis	28	TraesCS7A03G1218100	4.354590	203.66	3.322495
endodermis	29	TraesCS7B03G1305600	4.337244	75.49	1.919955
endodermis	30	TraesCS1D03G0755500	4.335426	44.74	1.179959
endodermis	31	TraesCS5D03G0492700	4.330922	120.05	2.588538
endodermis	32	TraesCS3B03G0507600	4.321838	37.66	0.950931
endodermis	33	TraesCS7D03G0401600	4.300119	640.35	5.024849
endodermis	34	TraesCS4A03G0235400	4.297240	58.9	1.607244
endodermis	35	TraesCS1A03G0789900	4.269355	48.54	1.361167
endodermis	36	TraesCS3B03G0507900	4.246090	54.59	1.550663
endodermis	37	TraesCS2B03G0309500	4.218184	76.01	2.048790
endodermis	38	TraesCS6A03G0889900	4.217575	46.81	1.361666
endodermis	39	TraesCS4B03G0533000	4.201670	44.74	1.313715
endodermis	40	TraesCS4B03G0883700	4.181642	67.54	1.917233
endodermis	41	TraesCS2D03G0321300	4.158583	646.57	5.180309
endodermis	42	TraesCS3A03G0429900	4.150840	189.15	3.420155
endodermis	43	TraesCS2B03G1018700	4.144053	46.12	1.414214
endodermis	44	TraesCS7D03G0773100	4.141311	41.28	1.260593
endodermis	45	TraesCS2A03G0254700	4.126892	45.09	1.399490
endodermis	46	TraesCS3D03G1192600	4.111404	203.83	3.566879
endodermis	47	TraesCS7D03G1158700	4.100118	403.87	4.561197
endodermis	48	TraesCS5A03G0962700	4.096809	56.31	1.743906
endodermis	49	TraesCS3D03G0402600	4.095572	730.17	5.418491
endodermis	50	TraesCS2A03G0303400	4.070783	82.57	2.314130
epidermis	1	TraesCS7B03G1286700	3.936537	104.65	2.786612
epidermis	2	TraesCS6B03G0004100	3.826864	272.74	4.269798
epidermis	3	TraesCS2A03G0309200	3.797521	215.81	3.962766
epidermis	4	TraesCS4B03G0974300	3.786550	47.2	1.804411
epidermis	5	TraesCS2A03G0305200	3.739027	76.97	2.545821
epidermis	6	TraesCS7D03G0132500LC	3.716858	49.37	1.937635
epidermis	7	TraesCS4D03G0042600	3.696191	26.41	1.080439
epidermis	8	TraesCS2B03G0426800	3.664982	115.12	3.194491
epidermis	9	TraesCS2A03G0296100	3.659575	155.07	3.626475
epidermis	10	TraesCS2A03G0306300	3.650895	54.38	2.140398
epidermis	11	TraesCS2D03G0322900	3.625137	57.15	2.236570
epidermis	12	TraesCS2B03G0426900	3.609933	111.61	3.205258
epidermis	13	TraesCS2D03G0324500	3.526736	651.92	5.824027
epidermis	14	TraesCS7D03G0969900LC	3.509499	321.13	4.822000
epidermis	15	TraesCS4A03G0829000	3.494916	108.32	3.277498
epidermis	16	TraesCS2D03G0943000LC	3.472547	25.06	1.231218
epidermis	17	TraesCS2A03G0309100LC	3.412913	124.1	3.554025
epidermis	18	TraesCS2D03G0324400	3.409347	316.5	4.901266
epidermis	19	TraesCS3D03G0655100	3.387384	35.68	1.809538
epidermis	20	TraesCSU03G0511900	3.375092	123.43	3.584098
epidermis	21	TraesCS6B03G0242600	3.372530	72.63	2.829692
epidermis	22	TraesCS6D03G0703200	3.358704	104.58	3.363489
epidermis	23	TraesCS5D03G1172700	3.357737	83.18	3.037669
epidermis	24	TraesCS2D03G0800100	3.352267	100.54	3.313637
epidermis	25	TraesCS1A03G0045800	3.307856	16.83	0.848379
epidermis	26	TraesCS1D03G0362900	3.290538	32.39	1.770806
epidermis	27	TraesCS2B03G1534500	3.283797	61.41	2.679909
epidermis	28	TraesCSU03G0141200	3.283422	83.71	3.121038
epidermis	29	TraesCS4D03G0838900	3.282495	38.82	2.032927
epidermis	30	TraesCS7D03G1239500	3.277241	102.41	3.414990
epidermis	31	TraesCS1A03G0810500	3.275346	128.36	3.739901
epidermis	32	TraesCS2B03G0308300	3.269736	24.98	1.429594
epidermis	33	TraesCS7B03G0854100	3.264064	1498.1	7.285817
epidermis	34	TraesCS2B03G1540400	3.259962	60.74	2.688172
epidermis	35	TraesCS5B03G1313300	3.228324	136.29	3.872758
epidermis	36	TraesCS6B03G0105800	3.223157	27.08	1.588314
epidermis	37	TraesCS7D03G1077100	3.218133	311.93	5.071564
epidermis	38	TraesCS2B03G0426600LC	3.203299	81.39	3.161098
epidermis	39	TraesCS2D03G0321400	3.194884	40.09	2.165832
epidermis	40	TraesCS3A03G0771000	3.187610	51.39	2.523610
epidermis	41	TraesCS5D03G1150900	3.184019	21.09	1.281302
epidermis	42	TraesCS2B03G0951100	3.181842	93.06	3.373668
epidermis	43	TraesCS4B03G0951400	3.181259	126.12	3.808788
epidermis	44	TraesCS2B03G0105800	3.172297	46.68	2.403016
epidermis	45	TraesCS4A03G1056600LC	3.168114	436.26	5.604234
epidermis	46	TraesCS2A03G0858000	3.153886	72.11	3.038111
epidermis	47	TraesCS2A03G0722800	3.153010	53.34	2.610933
epidermis	48	TraesCS2B03G0424700	3.148268	12.72	0.629940
epidermis	49	TraesCS5B03G1085700	3.144886	36.5	2.083933
epidermis	50	TraesCS7A03G0992500LC	3.137420	329.14	5.229514
meristems	1	TraesCS7D03G0259100	4.595583	458.88	4.249531
