marker_depth	reference_label	observed_sample	marker_count	mean_log2_specificity	median_log2_specificity	fraction_gene_max	weighted_mean_specificity
25	cortex	cortex	25	3.46797271	3.65499122	0.92000000	3.56419897
25	cortex	endodermis	25	-0.29683832	-0.75453953	0.08000000	-0.36620031
25	cortex	epidermis	25	-0.03853431	-0.32586503	0.00000000	-0.06405518
25	cortex	meristems	25	1.01525803	0.74955655	0.00000000	1.08483892
25	cortex	pericycle	25	-0.78227358	-0.75314892	0.00000000	-0.78442228
25	cortex	phloem	25	-1.11829268	-1.10713990	0.00000000	-1.14269640
25	cortex	provascular	25	-1.57149283	-1.61517717	0.00000000	-1.54686013
25	cortex	root_cap	25	-1.10543522	-1.47212020	0.00000000	-1.20130950
25	cortex	root_hair	25	0.51835563	0.35677434	0.00000000	0.52666341
25	cortex	xylem	25	-0.08871942	-0.09782224	0.00000000	-0.07015751
25	endodermis	cortex	25	-0.14892819	-0.34699082	0.00000000	-0.22825145
25	endodermis	endodermis	25	4.16174392	4.15858338	1.00000000	4.18797676
25	endodermis	epidermis	25	-0.65151570	-0.73546073	0.00000000	-0.66705837
25	endodermis	meristems	25	-0.01495243	0.16354010	0.00000000	0.00504128
25	endodermis	pericycle	25	-0.32301252	-0.38473423	0.00000000	-0.30586574
25	endodermis	phloem	25	-1.42813268	-1.38387987	0.00000000	-1.46578273
25	endodermis	provascular	25	-1.41157339	-1.61557189	0.00000000	-1.40687788
25	endodermis	root_cap	25	-0.44142529	-0.67419259	0.00000000	-0.41170666
25	endodermis	root_hair	25	-0.02273117	-0.09879927	0.00000000	-0.04766668
25	endodermis	xylem	25	0.28052745	0.17233523	0.00000000	0.34019147
25	epidermis	cortex	25	-0.86961491	-0.86736951	0.00000000	-0.91369527
25	epidermis	endodermis	25	-1.06409494	-1.06263387	0.00000000	-1.04946509
25	epidermis	epidermis	25	3.09610331	3.13742049	0.84000000	3.12783888
25	epidermis	meristems	25	-1.06691011	-1.16888365	0.00000000	-1.04278849
25	epidermis	pericycle	25	-0.91983792	-0.89890627	0.00000000	-0.87053030
25	epidermis	phloem	25	0.11672418	0.24661973	0.00000000	0.13882860
25	epidermis	provascular	25	-2.02050625	-2.03729198	0.00000000	-2.01720944
25	epidermis	root_cap	25	0.89405758	1.02849883	0.00000000	0.86706267
25	epidermis	root_hair	25	1.35197811	1.05950905	0.16000000	1.29830748
25	epidermis	xylem	25	0.48210094	0.44567158	0.00000000	0.46165095
25	meristems	cortex	25	-0.72438395	-0.70717257	0.00000000	-0.73373318
25	meristems	endodermis	25	-1.40639566	-1.44214072	0.00000000	-1.39310540
25	meristems	epidermis	25	0.73031156	0.80552311	0.00000000	0.73567301
