record_type	cluster	count	matrix_overlap	rank	gene_id	avg_log2FC
summary	0 - Unknown	43	43			
top_logFC	0 - Unknown			1	TraesCS5B03G1052800	0.46464168
top_logFC	0 - Unknown			2	TraesCS5A03G1006700	0.4346195
top_logFC	0 - Unknown			3	TraesCS1B03G0069700	0.41175426
top_logFC	0 - Unknown			4	TraesCS2B03G1501600	0.40517646
top_logFC	0 - Unknown			5	TraesCS3D03G0061500	0.36607273
summary	1 - Epidermis	353	353			
top_logFC	1 - Epidermis			1	TraesCS3A03G0754700LC	1.024765
top_logFC	1 - Epidermis			2	TraesCS3B03G0861400	0.92213955
top_logFC	1 - Epidermis			3	TraesCS1B03G0651500	0.80935077
top_logFC	1 - Epidermis			4	TraesCS4A03G1056600LC	0.78514116
top_logFC	1 - Epidermis			5	TraesCS6A03G0967600	0.78201608
summary	10 - Xylem	459	459			
top_logFC	10 - Xylem			1	TraesCS5D03G0377000	1.7001025
top_logFC	10 - Xylem			2	TraesCS5A03G0388600	1.6697153
top_logFC	10 - Xylem			3	TraesCS5B03G0387000	1.6387428
top_logFC	10 - Xylem			4	TraesCS1D03G0049400	1.5195717
top_logFC	10 - Xylem			5	TraesCS1A03G0062800	1.4787959
summary	10 - Xylem 	3	3			
top_logFC	10 - Xylem 			1	TraesCS5A03G0586500	0.43413592
top_logFC	10 - Xylem 			2	TraesCS7D03G0019800	0.32454201
top_logFC	10 - Xylem 			3	TraesCS4D03G0740600	0.27444694
summary	11 - Endodermis/Phloem	658	658			
top_logFC	11 - Endodermis/Phloem			1	TraesCS3D03G0686200	1.3603868
top_logFC	11 - Endodermis/Phloem			2	TraesCS4D03G0661400	1.3323761
top_logFC	11 - Endodermis/Phloem			3	TraesCS5B03G1379500	1.3240453
top_logFC	11 - Endodermis/Phloem			4	TraesCS5D03G1233700	1.3029711
top_logFC	11 - Endodermis/Phloem			5	TraesCS7B03G1179800	1.2939233
summary	12 - G2/M	556	556			
top_logFC	12 - G2/M			1	TraesCS2D03G0803000	1.3471223
top_logFC	12 - G2/M			2	TraesCS3B03G0839200LC	1.3439313
top_logFC	12 - G2/M			3	TraesCS2A03G0863000	1.3434489
top_logFC	12 - G2/M			4	TraesCS2B03G0955500	1.2361009
top_logFC	12 - G2/M			5	TraesCS3B03G0523500	1.0262425
summary	13 - Phloem	396	396			
top_logFC	13 - Phloem			1	TraesCS2B03G0108200	1.6782252
top_logFC	13 - Phloem			2	TraesCS2D03G0068900	1.638011
top_logFC	13 - Phloem			3	TraesCS3B03G0900500	1.6256899
top_logFC	13 - Phloem			4	TraesCS2A03G0073400	1.5917217
top_logFC	13 - Phloem			5	TraesCS3D03G0721900	1.4938006
summary	14 - Root Cap	1139	1139			
top_logFC	14 - Root Cap			1	TraesCS7D03G0226600	1.3317675
top_logFC	14 - Root Cap			2	TraesCS3D03G0697200	1.1461101
top_logFC	14 - Root Cap			3	TraesCS2D03G0971100	1.1449596
top_logFC	14 - Root Cap			4	TraesCS3D03G0382600	1.1294987
top_logFC	14 - Root Cap			5	TraesCS2A03G1032300	1.1148942
summary	2 - Cortex	165	165			
top_logFC	2 - Cortex			1	TraesCS1D03G0787300	0.91086438
top_logFC	2 - Cortex			2	TraesCS1D03G0787400	0.86892935
top_logFC	2 - Cortex			3	TraesCS4B03G0814800	0.82212627
top_logFC	2 - Cortex			4	TraesCS1B03G0646400	0.77471305
top_logFC	2 - Cortex			5	TraesCS3D03G0911000	0.75630204
summary	3 - G1/S	651	651			
top_logFC	3 - G1/S			1	TraesCS2B03G1047100	1.1497111
top_logFC	3 - G1/S			2	TraesCS1B03G1035400	1.129468
top_logFC	3 - G1/S			3	TraesCS1A03G0723300	1.1008086
top_logFC	3 - G1/S			4	TraesCS6A03G0197200	1.0953516
top_logFC	3 - G1/S			5	TraesCS4B03G0567900	1.0824651
summary	4 - Provascular Cells	273	273			
top_logFC	4 - Provascular Cells			1	TraesCS3A03G0016400	0.93107723
top_logFC	4 - Provascular Cells			2	TraesCS1B03G0051800	0.77473007
top_logFC	4 - Provascular Cells			3	TraesCS3D03G0013700	0.75905549
top_logFC	4 - Provascular Cells			4	TraesCS5A03G0363500	0.71094745
top_logFC	4 - Provascular Cells			5	TraesCS2A03G0412800	0.71005821
summary	5 - Unknown	668	668			
top_logFC	5 - Unknown			1	TraesCS3B03G0310600	0.69994218
top_logFC	5 - Unknown			2	TraesCS3A03G0246200	0.68646962
top_logFC	5 - Unknown			3	TraesCS3D03G0079600	0.67223044
top_logFC	5 - Unknown			4	TraesCS3D03G0080400	0.66778091
top_logFC	5 - Unknown			5	TraesCS4D03G0298500	0.6625977
summary	6 - Pericycle	354	354			
top_logFC	6 - Pericycle			1	TraesCS5A03G1163200LC	1.1855129
top_logFC	6 - Pericycle			2	TraesCS4D03G0748700	1.1296181
top_logFC	6 - Pericycle			3	TraesCS4B03G0840800	1.128615
top_logFC	6 - Pericycle			4	TraesCS3A03G1146800	1.1052507
top_logFC	6 - Pericycle			5	TraesCS7A03G0757500	1.0335621
summary	7 - Epidermis	520	520			
top_logFC	7 - Epidermis			1	TraesCS2D03G0324500	1.3948616
top_logFC	7 - Epidermis			2	TraesCS7A03G0992500LC	1.2014657
top_logFC	7 - Epidermis			3	TraesCS2D03G0324400	1.1655441
top_logFC	7 - Epidermis			4	TraesCS2A03G0309200	1.128653
top_logFC	7 - Epidermis			5	TraesCS5D03G1173000	0.95034401
summary	8 - Root Hair	444	444			
