marker_depth	metric	diagonal_total	optimal_total	optimal_is_identity	all_row_winners_identity	best_swap_pair	best_swap_delta	optimal_assignment
25	mean_log2_specificity	47.29339788	47.29339788	True	True	cortex,meristems	-6.46735780	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
25	median_log2_specificity	50.55007012	50.55007012	True	True	epidermis,root_hair	-6.75982723	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
25	fraction_gene_max	8.84000000	8.84000000	True	True	pericycle,phloem	-1.36000000	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
25	weighted_mean_specificity	47.73643104	47.73643104	True	True	cortex,meristems	-6.41294568	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
50	mean_log2_specificity	43.82243240	43.82243240	True	True	pericycle,provascular	-5.64931530	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
50	median_log2_specificity	44.43891858	44.43891858	True	True	pericycle,provascular	-5.59805660	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
50	fraction_gene_max	8.82000000	8.82000000	True	True	pericycle,provascular	-1.36000000	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
50	weighted_mean_specificity	44.74954275	44.74954275	True	True	pericycle,provascular	-5.83313570	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
100	mean_log2_specificity	38.40431610	38.40431610	True	True	epidermis,root_hair	-4.68793296	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
100	median_log2_specificity	38.73916663	38.73916663	True	True	pericycle,provascular	-4.80895825	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
100	fraction_gene_max	8.49000000	8.49000000	True	True	pericycle,provascular	-1.32000000	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
100	weighted_mean_specificity	40.13588133	40.13588133	True	True	epidermis,root_hair	-5.06889082	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
all	mean_log2_specificity	25.15149076	25.15149076	True	True	epidermis,meristems	-2.68508509	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
all	median_log2_specificity	22.35634799	22.35634799	True	True	epidermis,meristems	-1.40571907	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
all	fraction_gene_max	7.24673754	7.24673754	True	False	epidermis,meristems	-0.53916619	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
all	weighted_mean_specificity	29.00050568	29.00050568	True	True	root_cap,xylem	-3.16882682	cortex->cortex;endodermis->endodermis;epidermis->epidermis;meristems->meristems;pericycle->pericycle;phloem->phloem;provascular->provascular;root_cap->root_cap;root_hair->root_hair;xylem->xylem
