metric	cell_type	value
gene_count	ALL	54538
cell_type_count	ALL	10
sum	cortex	997307.07
positive_genes	cortex	53687
mean	cortex	18.2864621
sum	endodermis	997728.98
positive_genes	endodermis	52200
mean	endodermis	18.29419817
sum	epidermis	997122.56
positive_genes	epidermis	54162
mean	epidermis	18.28307895
sum	meristems	997149.66
positive_genes	meristems	53737
mean	meristems	18.28357586
sum	pericycle	997160
positive_genes	pericycle	52652
mean	pericycle	18.28376545
sum	phloem	994532.88
positive_genes	phloem	41585
mean	phloem	18.235595
sum	provascular	997864.03
positive_genes	provascular	53443
mean	provascular	18.29667443
sum	root_cap	996148.16
positive_genes	root_cap	43728
mean	root_cap	18.26521251
sum	root_hair	997064.92
positive_genes	root_hair	51740
mean	root_hair	18.28202208
sum	xylem	997370.11
positive_genes	xylem	51017
mean	xylem	18.28761799
