trainable_count	251221292
all_variable_count	251280712
name	shape	param_count	trainable
enformer/heads/head_human/linear/b:0	[5313]	5313	1
enformer/heads/head_human/linear/w:0	[3072, 5313]	16321536	1
enformer/heads/head_mouse/linear/b:0	[1643]	1643	1
enformer/heads/head_mouse/linear/w:0	[3072, 1643]	5047296	1
enformer/trunk/stem/conv1_d/b:0	[768]	768	1
enformer/trunk/stem/conv1_d/w:0	[15, 4, 768]	46080	1
enformer/trunk/stem/pointwise_conv_block/cross_replica_batch_norm/offset:0	[768]	768	1
enformer/trunk/stem/pointwise_conv_block/cross_replica_batch_norm/scale:0	[768]	768	1
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/stem/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/stem/pointwise_conv_block/conv1_d/b:0	[768]	768	1
enformer/trunk/stem/pointwise_conv_block/conv1_d/w:0	[1, 768, 768]	589824	1
enformer/trunk/stem/softmax_pooling/linear/w:0	[768, 768]	589824	1
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/cross_replica_batch_norm/offset:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/cross_replica_batch_norm/scale:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/conv1_d/b:0	[768]	768	1
