# This file was produced by samtools stats (1.22+htslib-1.22) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 1 infile
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	9b180108	6ac49fe8	794b09f2
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	431396	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	431396
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	431396
SN	last fragments:	0
SN	reads mapped:	426889
SN	reads mapped and paired:	0	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	4507
SN	reads properly paired:	0	# proper-pair bit set
SN	reads paired:	0	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5568	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	554
SN	total length:	60279864	# ignores clipping
SN	total first fragment length:	60279864	# ignores clipping
SN	total last fragment length:	0	# ignores clipping
SN	bases mapped:	59726440	# ignores clipping
SN	bases mapped (cigar):	59386491	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	256196	# from NM fields
SN	error rate:	4.314045e-03	# mismatches / bases mapped (cigar)
SN	average length:	140
SN	average first fragment length:	140
SN	average last fragment length:	0
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	0
SN	average quality:	32.2
SN	insert size average:	0.0
SN	insert size standard deviation:	0.0
SN	inward oriented pairs:	0
SN	outward oriented pairs:	0
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	2667	0	0	0	0	9	474	2040	9	0	2	0	2630	6	255	1	3	0	3	116	146	9	143	5202	30	5009	12563	2	161827	237361	22	362	505	0	0	0	0	0	0	0	0
FFQ	2	0	9	2779	6	24	115	59	60	465	219	196	313	83	2	168	190	220	85	540	60	141	33	461	964	534	2468	5544	29000	21806	79952	39189	77955	24514	94751	44590	3856	34	8	3	0	0	0	0
FFQ	3	0	9	2668	88	26	27	139	189	194	335	134	212	47	175	139	217	121	19	222	11	108	98	376	1135	5018	15132	16540	55155	43052	81774	31545	102512	54495	18702	675	25	61	14	6	1	0	0	0
FFQ	4	0	5	2732	14	28	144	176	224	260	91	227	57	209	178	277	77	17	50	93	304	212	334	315	497	726	722	21221	15803	51937	47619	9116	22105	106105	16511	100268	31920	34	786	2	0	0	0	0
FFQ	5	0	75	2817	25	147	162	429	171	324	135	356	317	339	436	391	239	303	226	481	165	698	1637	1633	1674	3064	3473	5201	20632	17513	38820	90947	14370	50512	84826	11493	36139	40408	817	1	0	0	0	0
FFQ	6	0	9	3002	4	36	104	19	95	141	92	417	157	159	92	155	192	90	90	182	183	398	417	753	228	517	786	428	1413	20850	34003	68432	46715	32615	25212	29021	42837	107188	13300	1064	0	0	0	0
FFQ	7	0	7	3192	1	32	165	13	106	277	182	255	175	177	39	86	263	259	100	117	121	335	365	757	363	620	721	557	1202	12388	24499	47939	63585	31548	24499	29483	56689	72691	57588	0	0	0	0	0
FFQ	8	0	69	3254	41	338	147	353	302	189	203	236	369	243	190	381	984	437	503	334	520	518	808	924	2689	2699	3646	14936	14709	13205	38931	63788	28358	36293	39513	52816	56960	50710	798	0	2	0	0	0
FFQ	9	0	47	3373	2	82	104	25	229	172	285	181	142	66	143	237	179	178	92	102	233	291	494	648	391	716	566	652	3377	11459	17659	63625	14696	24200	53229	68262	115803	48492	86	80	798	0	0	0
FFQ	10	0	46	3502	11	82	78	44	163	160	202	218	93	72	386	143	242	104	116	98	229	372	195	375	714	581	647	696	1247	5329	7062	31961	95036	15111	55184	59984	76779	48573	24708	68	785	0	0	0
FFQ	11	0	17	3642	0	45	165	41	75	111	107	438	121	190	73	216	158	167	95	118	276	299	410	791	269	785	493	905	943	5822	25582	75083	26682	30723	33438	52130	59193	107688	3242	73	790	0	0	0
FFQ	12	0	76	3755	30	174	41	253	246	252	253	136	40	402	207	254	227	79	505	848	682	588	200	684	413	1657	2322	2722	7316	17517	23554	106286	23772	26152	29280	64781	73852	40886	114	67	773	0	0	0
FFQ	13	0	62	3864	14	119	109	30	224	135	353	238	156	89	205	185	253	78	80	92	247	433	203	437	901	363	1225	489	2569	12345	27022	83265	21361	33549	34791	66445	71696	64480	2425	78	784	0	2	0
FFQ	14	0	43	3995	32	158	174	269	299	234	233	33	300	327	196	254	111	523	835	729	653	349	634	354	1729	2691	1846	3744	5000	9965	25296	66073	37392	63118	78814	65553	54502	3979	26	61	80	224	568	0
FFQ	15	0	17	4135	3	68	138	33	94	150	175	293	195	192	96	309	225	125	150	58	280	384	268	469	632	385	1081	492	1689	2393	29118	58328	44668	58412	100127	44298	65023	13327	2293	404	62	241	566	0
FFQ	16	0	10	4269	38	90	67	197	163	311	225	190	130	326	178	248	203	467	475	978	311	741	347	719	304	2021	3425	3683	4023	10905	34103	60160	49141	55956	87903	48589	59231	296	37	76	52	221	587	0
FFQ	17	0	9	4366	2	28	146	29	85	166	169	251	209	168	95	231	220	168	129	127	294	199	424	491	772	337	981	506	1892	2228	25728	70602	58623	54447	85535	43395	63241	11727	2170	348	62	197	594	0
FFQ	18	0	15	4468	8	33	117	33	165	153	258	194	164	118	266	151	272	155	26	115	188	454	319	583	720	458	925	463	2232	2273	23905	54487	72235	47797	71589	59514	52859	30183	2235	412	59	203	587	0
FFQ	19	0	20	4566	9	35	90	45	185	161	275	186	194	71	218	207	207	179	125	145	297	645	535	525	199	766	572	828	1749	2753	23633	70106	61138	53236	79610	42727	66602	13119	4179	387	74	206	587	0
FFQ	20	0	10	4672	1	8	84	98	41	170	148	256	227	209	59	298	155	187	58	200	225	240	231	711	456	526	734	863	1760	1719	21280	55258	72403	47892	69316	60736	54076	30768	3993	447	74	228	573	0
FFQ	21	0	10	4759	9	39	117	22	183	161	239	207	165	113	234	129	290	87	26	221	135	326	241	843	502	426	722	745	1602	1925	9464	57382	47329	59562	66636	65452	61312	44376	4088	437	78	217	578	0
FFQ	22	0	10	4876	4	35	139	140	183	271	179	256	62	231	219	152	291	166	182	297	715	467	422	613	492	1113	816	2408	3152	4843	26757	53771	65213	50766	70544	62632	47882	28865	1293	69	78	213	572	0
FFQ	23	0	16	4981	0	42	128	31	93	157	153	258	179	183	89	213	220	180	105	186	256	266	332	703	565	446	666	795	1614	1595	10817	57612	45507	59618	65430	65149	63875	45273	2345	464	87	202	556	0
FFQ	24	0	6	5082	13	23	141	28	192	163	256	249	167	74	289	207	300	134	215	292	548	561	655	603	478	1173	697	2433	4071	7953	15528	53553	41835	60399	67814	69503	57018	37772	41	70	89	180	581	0
FFQ	25	0	5	5196	0	33	141	26	96	141	151	260	166	227	104	119	324	160	160	188	95	394	499	583	642	321	852	605	2003	1830	9676	40255	57708	56145	53609	80931	50754	63084	2470	583	95	196	558	0
FFQ	26	0	8	5291	5	63	107	19	166	178	239	179	214	126	195	141	351	75	164	144	111	323	595	697	609	553	422	1059	1562	3622	10130	39224	57851	54077	53984	83860	50504	62257	1367	72	74	206	557	0
FFQ	27	0	8	5419	7	58	119	13	203	168	235	243	175	99	222	181	309	88	97	128	152	374	579	848	520	299	665	553	1934	2501	9056	40617	57891	54474	54471	83011	50202	63111	1446	77	76	205	545	0
FFQ	28	0	25	5543	59	110	91	230	290	163	360	103	167	330	297	221	254	165	697	498	808	740	344	1158	611	1612	2360	2161	3906	6729	13205	52885	43538	59972	65964	62197	61598	41034	40	71	65	207	551	0
FFQ	29	0	21	5713	15	37	112	50	154	168	257	264	192	53	238	228	234	169	89	137	136	268	511	579	890	466	687	937	1587	3330	6460	30079	69293	54613	52134	83429	46820	61648	8443	79	66	213	542	0
FFQ	30	0	18	5842	17	53	111	99	176	247	189	308	138	141	232	363	223	114	172	172	665	620	718	836	286	1369	942	1663	2849	6213	9639	27987	68345	52540	55344	78031	45238	62012	6530	63	66	221	534	0
FFQ	31	0	135	6179	97	366	242	409	426	205	327	547	852	734	664	799	1143	833	502	1259	1916	1942	2001	4255	3342	5388	5693	7807	12121	11406	8373	49685	40305	66094	62396	51908	46278	33761	35	74	77	220	514	0
FFQ	32	0	20	6197	7	31	45	120	95	174	217	183	308	134	116	179	262	167	206	115	125	172	475	593	764	764	624	731	2020	2768	6219	32159	69886	54512	53200	82474	45276	60837	8227	89	71	234	497	0
FFQ	33	0	34	6392	34	45	145	64	170	148	157	198	263	119	150	102	370	220	121	143	143	403	513	593	824	438	632	683	2078	1419	4338	28279	66054	60334	50935	78506	44288	66703	13551	872	76	244	488	0
FFQ	34	0	47	6586	30	43	122	88	184	141	139	186	258	165	131	131	331	181	222	84	132	312	365	487	606	1044	661	1076	1820	2731	9058	26503	63095	60869	51246	79662	44332	65378	11067	913	71	227	512	0
FFQ	35	0	39	6776	32	43	133	106	224	199	150	314	162	53	228	258	228	183	114	112	185	235	493	574	1016	524	800	1054	1369	2571	6323	30206	68476	55599	52854	77829	47364	59168	12630	1785	62	227	496	0
FFQ	36	0	39	7006	4	73	126	33	218	159	164	219	233	204	129	146	303	169	277	63	281	135	562	484	674	1013	671	1167	1920	2431	8785	32296	66334	56876	52257	76359	48387	60222	8832	1084	53	251	490	0
FFQ	37	0	41	7220	31	30	138	106	208	176	145	299	195	51	237	243	241	150	89	234	159	247	479	568	769	683	855	733	2244	2160	7294	30780	68538	55272	53073	75719	46672	59352	13009	1820	56	234	509	0
FFQ	38	0	64	7437	35	53	126	151	242	193	299	249	120	163	463	121	261	108	177	159	686	553	1101	487	658	494	1571	1962	2704	5453	13004	27556	67198	53279	52249	78231	45092	60801	6566	89	45	242	505	0
FFQ	39	0	67	7670	47	37	137	99	210	183	148	303	164	49	219	295	218	161	53	199	111	255	548	636	942	449	520	1029	1582	2634	5767	28892	65733	61802	48182	75102	43682	65880	14857	1151	55	236	497	0
FFQ	40	0	57	7897	77	19	68	180	90	159	163	102	320	183	76	248	220	283	162	108	142	296	481	563	816	670	848	742	2364	1790	5714	28978	66982	61007	48790	74243	43869	65258	14636	1277	59	248	482	0
FFQ	41	0	73	8128	46	28	67	205	109	182	172	312	293	60	192	341	115	282	71	143	223	325	507	599	743	574	642	873	1366	2561	6687	29933	68118	56573	50489	76256	47795	58263	14245	2136	62	251	492	0
FFQ	42	0	84	8340	66	19	83	212	90	184	190	120	370	141	90	245	219	267	182	135	127	356	524	534	789	665	922	697	2222	1883	6258	26781	65042	61838	46957	75745	43168	64598	17357	2120	71	237	481	0
FFQ	43	0	79	8557	59	22	74	190	124	173	187	105	387	122	74	233	242	238	155	148	162	476	437	608	578	882	544	1289	1470	3267	7208	28232	63918	60709	47341	73795	43961	65779	16305	1365	58	254	462	0
FFQ	44	0	88	8809	57	22	89	203	116	171	151	106	402	173	82	212	264	176	229	131	107	347	578	668	587	604	924	957	1310	3193	8439	28245	63660	60651	50597	71995	40977	62958	18713	2349	70	243	446	0
FFQ	45	0	88	9053	58	31	81	225	128	192	167	128	390	146	78	225	252	215	180	84	196	407	438	663	768	810	1052	909	1957	3379	7257	27230	63713	60923	49050	71040	42084	63933	19135	2462	67	251	449	0
FFQ	46	0	79	9313	81	13	93	259	113	155	176	92	415	148	74	327	218	230	195	90	347	335	623	694	599	790	725	1168	1521	3224	7384	28263	63132	61659	46531	71803	42311	63473	19714	2544	60	255	430	0
