gene_name	ENSG	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GDA	ENSG00000119125	2813.07525508533	1.27704247763307	0.0857681005516365	14.889480697596	3.85754011721278e-50	5.37779667740633e-46
ALDH1A3	ENSG00000184254	19012.7862762261	1.61950887343078	0.140795085579084	11.5025951848377	1.28007733586593e-30	8.92277906965349e-27
AHRR	ENSG00000063438	910.742676324409	2.12815283802156	0.186572670217524	11.4065625771468	3.87751394986724e-30	1.80188073250331e-26
ADGRF1	ENSG00000153292	5269.36720728857	0.83369249855281	0.0772885760522262	10.7867493637023	3.97605286583925e-27	1.38575382506662e-23
CYP1A1	ENSG00000140465	297.914887321681	2.03186850931214	0.204451550832615	9.93814182889539	2.84076582687596e-23	6.88086156991522e-20
NR2F2	ENSG00000185551	2535.99022539866	0.971060306552751	0.0977512210837912	9.93399668859758	2.96142094681094e-23	6.88086156991522e-20
SMAD3	ENSG00000166949	6171.04033882238	0.74782729917329	0.0814537901271434	9.18100063859504	4.27103890775269e-20	8.50607905899719e-17
CDKN1A	ENSG00000124762	9967.6973689033	1.2004572082834	0.136134182465377	8.81819089477187	1.1632381651976e-18	2.02708790762747e-15
FDXR	ENSG00000161513	2653.86175205792	0.787546295363672	0.0914347506083025	8.613205483957	7.10455872416161e-18	1.10049614637263e-14
ANKRD37	ENSG00000186352	125.627889699513	-1.99553625784081	0.240635602159805	-8.29277230771359	1.10639004889698e-16	1.54241836716728e-13
ENSG00000251095	ENSG00000251095	332.812697455087	1.33438465073027	0.162494186046282	8.2118916571588	2.17730696306675e-16	2.75943967019215e-13
ZBED2	ENSG00000177494	383.011818962122	1.22363345997819	0.151140764823881	8.09598562905284	5.68025297176887e-16	6.59903388995248e-13
BTG2	ENSG00000159388	1259.50944990767	0.785053856102584	0.0971349926726263	8.08209106216179	6.36655348251471e-16	6.82739400767212e-13
C1orf116	ENSG00000182795	1335.16663906269	0.789630596318451	0.0978407994064428	8.070565664925	6.99732186335005e-16	6.96783314978307e-13
FAS	ENSG00000026103	490.08709989155	1.14756143581483	0.143616242531743	7.99047110260655	1.34424074240466e-15	1.24933734599089e-12
AJUBA	ENSG00000129474	1113.05119711359	0.876484094641067	0.110569432343888	7.92700184907407	2.24499947461501e-15	1.95609610472549e-12
DDIT3	ENSG00000175197	364.966123165293	-1.23043143837381	0.159512517977952	-7.71369829760876	1.22223212180367e-14	1.00230223588617e-11
ZMAT3	ENSG00000172667	1324.08995889369	0.944402384185484	0.123128656021539	7.67004541997336	1.71935455322372e-14	1.28674201046825e-11
TP53INP1	ENSG00000164938	1288.60945388544	0.863636804628228	0.112635899346639	7.66750929000326	1.7536832507637e-14	1.28674201046825e-11
NR1D1	ENSG00000126368	2305.36104065599	-1.00853451388466	0.131971828506198	-7.64204395210977	2.13800163161891e-14	1.49029403731996e-11
SULF2	ENSG00000196562	357.089299957592	1.45759323423047	0.194064145505779	7.51088373605347	5.87295344213749e-14	3.89880209223042e-11
FAM83H	ENSG00000180921	4434.64305930166	0.702985950780761	0.0958529183842777	7.33400675358121	2.23371833297701e-13	1.41546669454693e-10
PPP1R15A	ENSG00000087074	1963.73428082069	-0.645332474197452	0.0887301481496412	-7.27297866232698	3.51645885081372e-13	2.13143273213887e-10
